"codeSystem","instanceType","code","codeSystemVersion","decode","uuid:ID","id"
"http://www.cdisc.org","Code","C44276","2023-12-15","Unit of Temperature","543517c2-84bd-4558-a5ab-9e8f944d1876","Code_444"
"http://www.cdisc.org","Code","C12674","2023-12-15","Axilla","d1edd6c7-cfd2-42b7-a133-f001998cef25","Code_445"
"http://www.cdisc.org","Code","C12394","2023-12-15","Ear","cdcf1890-64ba-4308-8b0e-dca47b935392","Code_446"
"http://www.cdisc.org","Code","C89803","2023-12-15","Forehead","4834aa8f-a539-4d2e-889f-7b0907457422","Code_447"
"http://www.cdisc.org","Code","C12421","2023-12-15","Oral Cavity","fbc4d982-88d0-4e01-b033-0a5308b239ea","Code_448"
"http://www.cdisc.org","Code","C12390","2023-12-15","Rectum","aa72930c-acef-43e7-9441-b8d2e5344c60","Code_449"
"http://www.cdisc.org","Code","C13717","2023-12-15","Anatomic Site","9dd898b1-0064-4476-8e12-8b5d7489f27d","Code_450"
"http://www.cdisc.org","Code","C174446","2023-12-15","TEMP","b9d8da4d-4176-4069-b5f0-051567912ceb","Code_451"
"http://www.cdisc.org","Code","C25208","2023-12-15","WEIGHT","3f3c1574-eadb-422c-883d-71a27a833c35","Code_452"
"http://www.cdisc.org","Code","C77140","2023-12-15","Clinical Test Result","5fde8422-be3f-41c2-9e38-ccafcde12a72","Code_453"
"http://www.cdisc.org","Code","C48531","2023-12-15","Pound","504ad906-fb99-4976-8a8b-782f8cd66031","Code_454"
"http://www.cdisc.org","Code","C48155","2023-12-15","Gram","9e6c4ab9-d652-47b1-9bf3-261c63ee6960","Code_455"
"http://www.cdisc.org","Code","C28252","2023-12-15","Kilogram","ae424825-1b4a-4468-b6e5-accda2b0cdee","Code_456"
"http://www.cdisc.org","Code","C48208","2023-12-15","Unit of Weight","4097e744-8176-4ce7-b6ad-7bea75099166","Code_457"
"http://www.cdisc.org","Code","C25208","2023-12-15","WEIGHT","e75f631e-cd58-473d-a1f2-a6794a742dc5","Code_458"
"http://www.cdisc.org","Code","C25347","2023-12-15","HEIGHT","6b52915f-fddd-479c-b2fe-4d1112057213","Code_459"
"http://www.cdisc.org","Code","C77140","2023-12-15","Clinical Test Result","2458a3f4-e021-48ed-8508-b9f0741a0ec2","Code_460"
"http://www.cdisc.org","Code","C49668","2023-12-15","Centimeter","fc4e019f-80e5-4918-8630-f5bd58835214","Code_461"
"http://www.cdisc.org","Code","C48500","2023-12-15","Inch","579ccf96-eb9f-4c7b-b306-bf5cf3e1fb5d","Code_462"
"http://www.cdisc.org","Code","C41139","2023-12-15","Meter","c89f333a-62ad-4a27-b9a6-64d3f91e5ffe","Code_463"
"http://www.cdisc.org","Code","C168688","2023-12-15","Unit of Height","4808ffed-ad9f-49b0-abf1-0fde50de75c4","Code_464"
"http://www.cdisc.org","Code","C25347","2023-12-15","HEIGHT","b2a65c14-8431-45ff-994e-2ff5d5293a69","Code_465"
"http://www.cdisc.org","Code","C64433","2023-12-15","ALT","f6c2fc01-39f5-482b-89f9-af5c423b7db0","Code_466"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","b9dc941b-82b4-44b8-9fe8-d1ba347012f1","Code_467"
"http://www.cdisc.org","Code","C67456","2023-12-15","Unit per Liter","035ec8a3-ed08-4f87-8a4d-dec334e34e88","Code_468"
"http://www.cdisc.org","Code","C67397","2023-12-15","Microkatal per Liter","0c0a7028-a47b-4618-a09a-a2dcb2b548e6","Code_469"
"http://www.cdisc.org","Code","C67376","2023-12-15","International Unit per Liter","7a544a60-7414-4c75-af6f-8774b562ea2b","Code_470"
"http://www.cdisc.org","Code","C70510","2023-12-15","Nanokatal per Liter","43931741-c6e0-4579-a962-9c4596347c48","Code_471"
"http://www.cdisc.org","Code","C67365","2023-12-15","Unit of Catalytic Activity Concentration","fedf206c-d69f-47a8-affd-10ae833c52f2","Code_472"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","4541246c-6893-4a89-8879-0502e6db94e2","Code_473"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","779bebb5-b3aa-407f-861f-4d66c013a689","Code_474"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","98843719-be07-473c-8490-0d4d31456bb8","Code_475"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","aaf90073-3aa2-4921-a8ef-fe0bc4cc62d1","Code_476"
"http://www.cdisc.org","Code","C64433","2023-12-15","ALT","54d90e9b-6736-44d3-81ca-cf303d6aaeb8","Code_477"
"http://www.cdisc.org","Code","C64431","2023-12-15","ALB","2607134e-c908-4a55-9c63-329cb43deae7","Code_478"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","6619b4ba-a2bb-482a-a384-b3384a77b473","Code_479"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","95eb0d54-0153-46ba-9d86-1c39ed0c737d","Code_480"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","830d4117-7183-4074-a1e8-a5389c993419","Code_481"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","4f84d565-c5b8-48c9-b1cd-52fb5df527ea","Code_482"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","6cba849d-7ac9-4669-8341-d2f62c300e15","Code_483"
"http://www.cdisc.org","Code","C64431","2023-12-15","ALB","2969210e-ecee-4763-8c1a-a5366f308265","Code_484"
"http://www.cdisc.org","Code","C64432","2023-12-15","ALP","b8500e13-beba-4681-af44-934984c29d49","Code_485"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","46a0094d-587e-4e86-a51b-06658f0f2918","Code_486"
"http://www.cdisc.org","Code","C67456","2023-12-15","Unit per Liter","eacb683e-0f62-443a-9dc1-28db2d64343f","Code_487"
"http://www.cdisc.org","Code","C67397","2023-12-15","Microkatal per Liter","f85f0ceb-5678-47ef-946c-8648fba8a0e7","Code_488"
"http://www.cdisc.org","Code","C67376","2023-12-15","International Unit per Liter","fa82f1eb-4df9-40b0-bddb-17d837e36ce1","Code_489"
"http://www.cdisc.org","Code","C67365","2023-12-15","Unit of Catalytic Activity Concentration","2318aca0-8602-43d9-b01f-6db8ce361563","Code_490"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","af681ab4-4828-4929-89c2-edd836eff87c","Code_491"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","a10e83d2-3cc1-4b18-a22c-da9868bb46e3","Code_492"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","2e6d5723-edf3-46bd-8b99-c823e49b6e1c","Code_493"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","dc1f3bf5-64de-41ae-87b2-b455f317b950","Code_494"
"http://www.cdisc.org","Code","C64432","2023-12-15","ALP","ec48f6dd-defc-42c2-9cfb-1a761ca622ad","Code_495"
"http://www.cdisc.org","Code","C64467","2023-12-15","AST","e0e5ad59-2253-41b1-bd8a-3be01709d0e8","Code_496"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","1dc5cc29-490e-40a7-9fb5-fb3970c407a0","Code_497"
"http://www.cdisc.org","Code","C67456","2023-12-15","Unit per Liter","05c3e372-4817-40c5-b8ab-7a2789bbc9b7","Code_498"
"http://www.cdisc.org","Code","C67397","2023-12-15","Microkatal per Liter","561bb7b7-eb37-4c89-bc99-9809e1b961a7","Code_499"
"http://www.cdisc.org","Code","C67376","2023-12-15","International Unit per Liter","110c508b-31d5-4e68-8775-0a9a9cf504cf","Code_500"
"http://www.cdisc.org","Code","C67365","2023-12-15","Unit of Catalytic Activity Concentration","6c17cba1-5db8-418c-9195-360df852dc38","Code_501"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","8322b26d-3ad2-4748-ab3d-c0af6f4d205b","Code_502"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","3ce92225-21f3-4daf-a8dc-8150b9d44ed6","Code_503"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","1601196e-834f-4306-be7c-99bbfbc96177","Code_504"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","4e25ed70-717f-4535-887f-8e7aee96a99c","Code_505"
"http://www.cdisc.org","Code","C64467","2023-12-15","AST","fb9814c0-a235-4887-85c0-b1388d810a98","Code_506"
"http://www.cdisc.org","Code","C64547","2023-12-15","CREAT","3cbfa006-bb4e-49cb-a11d-4632f9e22c4a","Code_507"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","f433f00a-8a9b-450e-9a6f-883be19bf37b","Code_508"
"http://www.cdisc.org","Code","C67015","2023-12-15","Milligram per Deciliter","827c3c58-a693-4c3f-ad2e-b183abb6500f","Code_509"
"http://www.cdisc.org","Code","C64572","2023-12-15","Microgram per Milliliter","40ed7c74-6058-46c7-9401-cfda8c978395","Code_510"
"http://www.cdisc.org","Code","C64387","2023-12-15","Millimole per Liter","c81da9b2-da9b-4058-9113-785feb15e26f","Code_511"
"http://www.cdisc.org","Code","C48508","2023-12-15","Micromole per Liter","84cd9f42-74d0-4aaf-9b82-51c4f017208b","Code_512"
"http://www.cdisc.org","Code","C48207","2023-12-15","Unit of Concentration","bb292d12-4a7b-41a1-96e1-70a8726afd88","Code_513"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","7c575525-10bb-4b97-b3d8-1486a02d41ec","Code_514"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","54fcd7f0-4853-4fd4-a3e2-2b02d3459b0c","Code_515"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","5077dd73-96b9-4e30-a6a2-0e9378cb7f12","Code_516"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","202fd552-1c5a-4a4d-90e4-31cbced72464","Code_517"
"http://www.cdisc.org","Code","C64547","2023-12-15","CREAT","d9c14093-d923-458a-b9f6-f0da87d351ff","Code_518"
"http://www.cdisc.org","Code","C64853","2023-12-15","K","543edb54-5622-4a89-9c6a-215151a79fb3","Code_519"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","be7134c0-595d-4d89-b21f-362ceee6f531","Code_520"
"http://www.cdisc.org","Code","C67474","2023-12-15","Milliequivalent per Liter","5bfe86e2-3dfb-4880-a739-eff8231027e1","Code_521"
"http://www.cdisc.org","Code","C67473","2023-12-15","Milliequivalent per Deciliter","3434e7cd-2c6c-4bf5-a48e-4b106b12cbd8","Code_522"
"http://www.cdisc.org","Code","C64387","2023-12-15","Millimole per Liter","2d9db956-e41a-4605-827a-8cf65ae0f575","Code_523"
"http://www.cdisc.org","Code","C64567","2023-12-15","Molarity Unit","31169b81-d4a5-49a1-a87c-f244a037d6cd","Code_524"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","2883d273-43a4-46c3-a935-7538644a6f3b","Code_525"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","d38ac5fe-0290-4d68-9e92-b3754344db21","Code_526"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","8f793b65-b7f1-4064-a55e-05ceaf678d57","Code_527"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","3d089928-924f-4e7d-be7d-a6950ef9948b","Code_528"
"http://www.cdisc.org","Code","C64853","2023-12-15","K","c95f2e0d-4b03-47b9-b840-3ae83bad5226","Code_529"
"http://www.cdisc.org","Code","C64809","2023-12-15","SODIUM","e4ca4e82-a1f0-4eac-a612-770d27473ccc","Code_530"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","a98f8b0b-47d9-45d7-8235-506f738cac89","Code_531"
"http://www.cdisc.org","Code","C67474","2023-12-15","Milliequivalent per Liter","ffc094e8-ea14-4055-aaf6-48603c95cc92","Code_532"
"http://www.cdisc.org","Code","C67473","2023-12-15","Milliequivalent per Deciliter","5c6d066e-5d7a-41ec-9408-b7123167776d","Code_533"
"http://www.cdisc.org","Code","C64387","2023-12-15","Millimole per Liter","350917ce-6879-4aea-9703-b55d2a86a61c","Code_534"
"http://www.cdisc.org","Code","C64567","2023-12-15","Molarity Unit","1c7f0770-059f-4430-abd0-0b3e6918553b","Code_535"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","bd217af7-b225-45f3-a07f-c8631c7ba0ad","Code_536"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","fe2e7270-156b-4f8c-b6cc-85fc1c563baa","Code_537"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","d8eedabb-4590-4475-af03-b52e5daa683c","Code_538"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","9359d61c-3071-4162-af3d-4a157363207c","Code_539"
"http://www.cdisc.org","Code","C64809","2023-12-15","SODIUM","6d497425-2642-49ad-a21a-9fed0221d8a7","Code_540"
"http://www.cdisc.org","Code","C64849","2023-12-15","HBA1C","f71efe4a-fd17-4877-9c38-d4a5c32842ff","Code_541"
"http://www.cdisc.org","Code","C36292","2023-12-15","Laboratory Test Result","bda8cf9d-cb36-4825-bf04-090da0b853c1","Code_542"
"http://www.cdisc.org","Code","C64783","2023-12-15","Gram per Deciliter","f6f078d2-8520-4247-a1a6-3f403e5f2fcd","Code_543"
"http://www.cdisc.org","Code","No Concept Code","2023-12-15","LBORRESU","8e9e78d3-0949-4d04-ad79-eb5d6558ca9e","Code_544"
"http://www.cdisc.org","Code","C70713","2023-12-15","Biospecimen Type","96df51de-fac5-4621-8366-5283407f4154","Code_545"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","7495df23-aa55-4036-afdf-2682203715e6","Code_546"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","6d09b377-a9a7-4698-ba9d-cc922cc93459","Code_547"
"http://www.cdisc.org","Code","C83309","2023-12-15","Laboratory Test Fasting Status","27dc4ac3-2f73-41e7-8404-768b4a4d55fc","Code_548"
"http://www.cdisc.org","Code","C64849","2023-12-15","HBA1C","1c3ae23b-55c8-4ac4-9e7c-db31f7a40cd9","Code_549"
"http://www.cdisc.org","Code","C78541","2023-12-15","Adverse Event Verbatim Description","dbce15c6-94d5-47e3-8570-ce32205d0f0d","Code_145"
"http://www.cdisc.org","Code","C83344","2023-12-15","Adverse Event Dictionary Derived Term","9a5cfbb8-97f4-4679-8694-64008b8de24b","Code_146"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","e89b6fbf-d8a6-4063-9040-0fad623da66f","Code_147"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","ffab0e3d-c1e1-47f0-b920-d1eb724b96c1","Code_148"
"http://www.cdisc.org","Code","C87840","2023-12-15","Adverse Event Pre-specified","8269eeb6-c07f-4391-a213-7ef06b7d4fab","Code_149"
"http://www.cdisc.org","Code","C83205","2023-12-15","Adverse Event Location","88c81bc0-3f36-4eb8-92e9-f5da0c69bee6","Code_150"
"http://www.cdisc.org","Code","C53253","2023-12-15","Severity of Adverse Event","f42833f4-a3a7-43f2-b5bd-7399b009336c","Code_151"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","c6ae9f28-aa64-44cc-b944-fc9e7bff0c67","Code_152"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","d7dec8c5-3312-40b6-8cdd-f1717d3c1b1f","Code_153"
"http://www.cdisc.org","Code","C53252","2023-12-15","Seriousness of Adverse Event","973cf443-1be6-457a-b51c-77a093ae1aa9","Code_154"
"http://www.cdisc.org","Code","C83013","2023-12-15","Adverse Event Action Taken with Study Treatment","2745bb3e-5042-4c90-8647-1be232975e1b","Code_155"
"http://www.cdisc.org","Code","C83109","2023-12-15","Other Actions taken in Response to Adverse Event","019516e6-3cd0-46a6-b757-b4bae6eba912","Code_156"
"http://www.cdisc.org","Code","C41358","2023-12-15","Adverse Event Attribution to Product or Procedure","8c9129d9-c4be-48b4-9a70-9185fae96c70","Code_157"
"http://www.cdisc.org","Code","C83210","2023-12-15","Adverse Event Relationship to Non Study Treatment","bbcec237-ca2d-4cbb-a012-75e73a68258d","Code_158"
"http://www.cdisc.org","Code","C83208","2023-12-15","Adverse Event Pattern","5d2a2549-918b-4774-ad72-2c5d638ef1b8","Code_159"
"http://www.cdisc.org","Code","C49489","2023-12-15","Adverse Event Outcome","902460aa-cf13-435e-9dda-6a835946c646","Code_160"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","7fc5e2ae-12ed-4e39-8294-dd3dd2e39ef7","Code_161"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","1021ab70-914f-4b15-83a1-a7bc73743982","Code_162"
"http://www.cdisc.org","Code","C83211","2023-12-15","Adverse Event Involves Cancer","a5a65bf9-8b5a-40ce-b64c-c17ec1401adc","Code_163"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","9fcd9a05-664b-4546-b8a0-6848200eaa5b","Code_164"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","1b9a305e-2fa1-41cf-9cf3-b783d30afcd1","Code_165"
"http://www.cdisc.org","Code","C83117","2023-12-15","Adverse Event Seriousness Due to Congenital Anomaly","befb189b-fd89-4010-887d-6d79fbfa8d0f","Code_166"
"http://www.cdisc.org","Code","C49487","2023-12-15","No","c4da5ed0-632e-4f6c-9007-1cc619190b4a","Code_167"
"http://www.cdisc.org","Code","C49488","2023-12-15","Yes","f8445fcc-c9e6-4d23-a667-1a46c7a88fc5","Code_168"
