"reference","name","uuid:ID","instanceType","id","synonyms","label"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","fc1e1acb-3609-4f08-8de6-ec41f5666bec","BiomedicalConcept","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood","d077f028-4d9d-4837-9a44-bccf47e1f07f","BiomedicalConcept","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified","6202ec49-01f2-44b2-8081-8732e494a2b2","BiomedicalConcept","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","7b011af7-bf9f-443c-9051-c459f2862402","BiomedicalConcept","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","7508b213-2b04-4c56-98bf-0e4156dcb16b","BiomedicalConcept","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","70c7e140-c087-4248-ace8-369bfc532511","BiomedicalConcept","BiomedicalConcept_4","['Temperature', 'Body Temperature']","Temperature"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","bec7f06e-1ed4-46e2-a183-544273a5e033","BiomedicalConcept","BiomedicalConcept_5","['Weight', 'Body Weight']","Weight"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","14a2913d-a8c0-46cb-b411-279203ccea13","BiomedicalConcept","BiomedicalConcept_6","['Height', 'Body Height']","Height"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","6fd2aa32-7f38-4284-bb70-520ed8823f78","BiomedicalConcept","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","1a6393db-ad9f-4492-8c28-e6e9f22faaf7","BiomedicalConcept","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","7ecd2489-6089-419e-92a8-7b5220405ba5","BiomedicalConcept","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","c7d0f04e-1c29-4d31-b2ce-96d95a635499","BiomedicalConcept","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","4244f401-6027-46fa-be73-111280b3f3d6","BiomedicalConcept","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","333369c4-1465-459f-9c35-78a964ad16b9","BiomedicalConcept","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine","d3868445-93bc-408c-af3d-96a3b7198434","BiomedicalConcept","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","841ea91b-e87b-40f8-9d40-407a9b8f9e7b","BiomedicalConcept","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","3be11c74-8851-4c23-bc79-6ebc286cf5fb","BiomedicalConcept","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","155992b5-a0c6-414f-88dd-40cf4bdf3efa","BiomedicalConcept","BiomedicalConcept_16","['Heart Rate']","Heart Rate"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure","316cb820-68c3-4908-93d5-3c78836f91ba","BiomedicalConcept","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure","f082b22e-4919-400c-89a4-51fe3c78bcea","BiomedicalConcept","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate","001fd337-dc3b-4f9d-b072-c5d688912246","BiomedicalConcept","BiomedicalConcept_19","['Heart Rate']","Heart Rate"
