"uuid:ID","identifier","text","id","name","instanceType","description","label"
"a820022c-d64a-4347-a1f0-e0c93a626048","13","<p>Episode of depression meeting DSM-IV criteria within 3 months of screening.</p>","EligibilityCriterion_13","EX05","EligibilityCriterion","","Depression criteria"
"11338cd4-dd70-4686-b8ec-d6ea69117a0c","14","<p>A history within the last 5 years of the following:</p>
<ol type=""a"">
<li><p>Schizophrenia</p></li>
<li><p>Bipolar Disease</p></li>
<li><p>Ethanol or psychoactive drug abuse or dependence. </p></li>
</ol>","EligibilityCriterion_14","EX06","EligibilityCriterion","","Schizophrenia, Bipolar, Ethanol or psychoactive abuse criteria"
"b9706418-f394-429c-92dd-1f2d80bbacdc","15","<p>A history of syncope within the last 5 years.</p>","EligibilityCriterion_15","EX07","EligibilityCriterion","","Syncope criteria"
"260f3994-a4f4-4445-86fe-667f20c23a76","16b","<p>Evidence from ECG recording at screening of any of the following conditions :</p>
<ol type=""a"">
<li><p>Left bundle branch block</p></li>
<li><p>Bradycardia ≤50 beats per minute</p></li>
<li><p>Sinus pauses &gt;2 seconds</p></li>
<li><p>Second or third degree heart block unless treated with a pacemaker</p></li>
<li><p>Wolff-Parkinson-White syndrome</p></li>
<li><p>Sustained supraventricular tachyarrhythmia including SVT≥10 sec, atrial fibrillation, atrial flutter.</p></li>
<li><p>Ventricular tachycardia at a rate of ≥120 beats per minute lasting≥10 seconds.</p></li>
</ol>","EligibilityCriterion_16","EX08","EligibilityCriterion","","ECG Criteria"
"7095afbe-e319-4a7b-b4e3-93ddfcab69d5","17","<p>A history within the last 5 years of a serious cardiovascular disorder, including</p>
<ol type=""a"">
<li><p>Clinically significant arrhythmia</p></li>
<li><p>Symptomatic sick sinus syndrome not treated with a pacemaker</p></li>
<li><p>Congestive heart failure refractory to treatment</p></li>
<li><p>Angina except angina controlled with PRN nitroglycerin</p></li>
<li><p>Resting heart rate &lt;50 or &gt;100 beats per minute, on physical exam</p></li>
<li><p>Uncontrolled hypertension.</p></li>
</ol>","EligibilityCriterion_17","EX09","EligibilityCriterion","","Cardiovascular criteria"
"740c2bb7-7da7-4ab8-a8a5-981ba7126c61","18","<p>A history within the last 5 years of a serious gastrointestinal disorder, including 
<ol type=""a"">
<li><p>Chronic peptic/duodenal/gastric/esophageal ulcer that are untreated or refractory to treatment</p></li>
<li><p>Symptomatic diverticular disease</p></li>
<li><p>Inflammatory bowel disease</p></li>
<li><p>Pancreatitis</p></li>
<li><p>Hepatitis</p></li>
<li><p>Cirrhosis of the liver.</p></li>
</ol>","EligibilityCriterion_18","EX10","EligibilityCriterion","","Gastrointensinal criteria"
"585a326d-5d0c-4e95-a311-45ec4110ea7c","19","<p>A history within the last 5 years of a serious endocrine disorder, including</p>
<ol type=""a"">
<li><p>Uncontrolled Insulin Dependent Diabetes Mellitus (IDDM)</p></li>
<li><p>Diabetic ketoacidosis</p></li>
<li><p>Untreated hyperthyroidism</p></li>
<li><p>Untreated hypothyroidism</p></li>
<li><p>Other untreated endocrinological disorder</p></li>
</ol>","EligibilityCriterion_19","EX11","EligibilityCriterion","","Endocrine criteria"
"a3305e90-e0dd-4e68-a511-c9116935b72a","20","<p> A history within the last 5 years of a serious respiratory disorder, including</p>
<ol type=""a"">
<li><p>Asthma with bronchospasm refractory to treatment</p></li>
<li><p>Decompensated chronic obstructive pulmonary disease.</p></li>
</ol>","EligibilityCriterion_20","EX12","EligibilityCriterion","","Resporatory criteria"
"0c74a0dc-f38c-4794-8186-6f7bb7d27730","21","<p>A history within the last 5 years of a serious genitourinary disorder, including</p>
<ol type=""a"">
<li><p>Renal failure</p></li>
<li><p>Uncontrolled urinary retention.</p></li>
</ol>","EligibilityCriterion_21","EX13","EligibilityCriterion","","Genitourinary criteria"
"a4c3ce9a-906b-4d9a-85d0-af2e49c64ffb","22","<p>A history within the last 5 years of a serious rheumatologic disorder, including</p>
<ol type=""a"">
<li><p>Lupus</p></li>
<li><p>Temporal arteritis</p></li>
<li><p>Severe rheumatoid arthritis.</p></li>
</ol>","EligibilityCriterion_22","EX14","EligibilityCriterion","","Rheumatologic criteria"
"f17af72a-292b-4600-965f-80dad852ac31","23","<p>A known history of human immunodeficiency virus (HIV) within the last 5 years.</p>","EligibilityCriterion_23","EX15","EligibilityCriterion","","HIV criteria"
"3ccd781f-e150-4398-96bd-9f9a6c1d0351","24","<p>A history within the last 5 years of a serious infectious disease including</p>
<ol type=""a"">
<li><p>a)  Neurosyphilis</p></li>
<li><p>b)  Meningitis</p></li>
<li><p>c)  Encephalitis.</p></li>
</ol>","EligibilityCriterion_24","EX16","EligibilityCriterion","","Neurosyphilis, Meningitis,Encephalitis criteria"
"1327fa22-10a7-4208-8fb2-ca1264cf9370","25","<p>A history within the last 5 years of a primary or recurrent malignant disease with the exception of resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or in situ prostate cancer with a normal PSA postresection.</p>","EligibilityCriterion_25","EX17","EligibilityCriterion","","Malignant disease criteria"
"28610fa6-39f8-4847-9ae8-23fc5476b041","26","<p>Visual, hearing, or communication disabilities impairing the ability to participate in the study; (for example, inability to speak or understand English, illiteracy).</p>","EligibilityCriterion_26","EX18","EligibilityCriterion","","Ability to participate in study criteria"
"a18be6ad-bb2c-4b5f-a7f9-aeb111600a66","27b","<p>Laboratory test values exceeding the Lilly Reference Range III for the patient's age in any of the following analytes: ↑ creatinine, ↑ total bilirubin, ↑ SGOT, ↑ SGPT, ↑ alkaline phosphatase, ↑ GGT, ↑↓ hemoglobin, ↑↓ white blood cell count, ↑↓ platelet count, ↑↓ serum sodium, potassium, or calcium.</p>
<p>If values exceed these laboratory reference ranges, clinical significance will be judged by the monitoring physicians. If the monitoring physician determines that the deviation from the reference range is not clinically significant, the patient may be included in the study. This decision will be documented.</p>","EligibilityCriterion_27","EX19","EligibilityCriterion","","Laboratory values criteria"
"40188354-9486-4a99-a492-2f16c4927561","28b","<p>Central laboratory test values below reference range for folate, and Vitamin B 12 , and outside reference range for thyroid function tests.</p>
<ol type=""a"">
<li><p>Folate reference range 2.0 to 25.0 ng/mL. Patients will be allowed to enroll if their folate levels are above the upper end of the range if patients are taking vitamin supplements.</p>
<li><p>Vitamin B 12 reference range 130 to 900 pg/mL. Patients will be 
allowed to enroll if their B 12 levels are above the upper reference 
range if patients are taking oral vitamin supplements.</p>
<li><p>Thyroid functions</p>
<ol type=""i"">
<li><p>Thyroid Uptake reference range 25 to 38%. Patients will be allowed to enroll with results of 23 to 51% provided the remainder of the thyroid profile is normal and there are no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>TSH reference range 0.32 to 5.0. Patients will be allowed to enroll with results of 0.03 to 6.2 if patients are taking stable doses of exogenous thyroid supplements, with normal free thyroid index, and show no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>Total T4 reference range 4.5 to 12.5. Patients will be allowed to enroll with results of 4.1 to 13.4 if patients are taking stable doses of exogenous thyroid hormone, with normal free thyroid index, and show no clinical signs or symptoms of thyroid 
abnormality.</p></li>
<li><p>Free Thyroid Index reference range 1.1 to 4.6.</p></li>
</ol>
</ol>","EligibilityCriterion_28","EX20","EligibilityCriterion","","Central laboratory values criteria"
"06166350-0edb-4d51-a5a3-069828639b0f","29b","<p>Positive syphilis screening.</p>
<p>Positive syphilis screening. As determined by positive RPR followed up by confirmatory FTA-Abs. Confirmed patients are excluded unless there is a documented medical history of an alternative disease (for example, yaws) which caused the lab abnormality.</p>","EligibilityCriterion_29","EX21","EligibilityCriterion","","Syphilia criteria"
"8253db2b-9d1d-4fc1-ac5d-e77002457559","30b","<p>Glycosylated hemoglobin (A1C). Required only on patients with known diabetes mellitus or random blood sugar &gt;200 on screening labs. Patients will be excluded if levels are &gt;9.5%</p>","EligibilityCriterion_30","EX22","EligibilityCriterion","","Hemoglobin criteria"
