"uuid:ID","id","synonyms","name","instanceType","reference","label"
"bc18ff42-83f3-4c03-9c2c-141afd314ac6","BiomedicalConcept_6","['Height', 'Body Height']","Height","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"64f60047-bab8-4c09-8176-04e5e44775c4","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"3b08daad-6fd2-41ea-b264-d42d7f37e6fc","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"2fcd2ab5-2318-4c46-9773-b616e7908dd1","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"4abff328-f4ce-4bb2-a5a5-6e3885072a61","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"591d2969-4a14-4247-942c-f400f8ab4385","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"558d850d-bb26-4f79-a24e-2dda54bc46f5","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"408dfbaf-4de7-4433-b4a6-650e4a787e11","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"614fd65b-de50-45da-9015-07656f4cbba7","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"cc766547-b20e-432d-9959-e89f6465811d","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"b26bf941-11e1-414b-8a67-e99f3cf72cbb","BiomedicalConcept_16","['Heart Rate']","Heart Rate","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
"3787d991-b19c-4f0b-b706-dd6d45d48422","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"be9df2aa-5d50-4202-ad08-65b6ad39d830","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"b6047b11-c7f3-4866-af98-b14e37f9fc5d","BiomedicalConcept_19","['Heart Rate']","Heart Rate","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
