"decode","instanceType","uuid:ID","id","codeSystem","code","codeSystemVersion"
"Alzheimer's disease","Code","b0dbf590-87be-4576-89fe-12a5292f154c","Code_135","SNOMED","26929004","January 31, 2018"
"EXTENSION","Code","8fc768fb-6c4b-4dc2-aedc-d9c061ed7e8e","Code_143","http://www.cdisc.org","C99907x1","2023-12-15"
"ADAPTIVE","Code","90ed08db-7a26-4158-8f8b-9f1a8fef2a6a","Code_144","http://www.cdisc.org","C98704","2023-12-15"
"Parallel Study","Code","97077faf-c6e4-4fd5-ac80-e060cae07750","Code_141","http://www.cdisc.org","C82639","2023-12-15"
"Visit","Code","c4a5a2fa-16ef-4abe-ac63-6095a9cfbb90","Code_83","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","77241cbd-faad-4943-bfce-5dea1c839044","Code_84","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","904c9ecd-dd0e-4cde-9a55-1e1883a9112e","Code_85","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","0a917027-f508-4772-96e3-1c9172a6b341","Code_86","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","c8a3f26d-1921-4c47-8a7b-c4cd86df5557","Code_87","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","bc3e1216-5881-4a69-bb95-16f2f61182c4","Code_88","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","17d48ce1-d9b2-4858-aa71-41331554aed8","Code_89","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","d94ef38c-a482-4edc-8357-8190b965f08c","Code_90","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","210a61bb-a49d-4f42-8470-72f0e49b9940","Code_91","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","27e7a8fa-5211-4844-8006-d17b425db77a","Code_92","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","c02f1ed2-dd54-4878-9168-15fc6916d4c0","Code_93","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","c83ca68f-3b7a-4cef-b805-c0f7b7579c25","Code_94","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","f1c5f57b-752a-495d-8b67-a97e422c351a","Code_95","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","8259f643-9a95-4219-a249-446e91a48d5f","Code_96","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","980a6039-b90a-4205-8bd6-09e775cda566","Code_97","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","af12bff2-6573-4b22-9fc8-9dcd8812d3ae","Code_98","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","b8e82917-bfa4-469b-a802-cf6e7adf4daa","Code_99","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","7350bfe8-0ec2-44b2-8d68-e0bb62e8afa1","Code_100","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","b171d12e-027c-49a8-8c0f-5a28415911a0","Code_101","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","23cebafe-d0fa-4226-a7fc-5e9e8009075a","Code_102","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","35609ee3-0beb-4aa2-bd4e-22f555842349","Code_103","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","b8412c43-136a-4727-a7aa-6fba7f556584","Code_104","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","5fbe4070-adf8-4ec8-950d-1a09d575b881","Code_105","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","34879635-f8c7-4f0b-8d9a-632bb90fbf7e","Code_106","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","8b4d0192-0c3d-4c52-a2b8-d8edafdf3bc1","Code_107","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","4a821395-e5b8-435e-a509-a602448aab5e","Code_108","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","13dc3a02-a5b4-46b2-ad61-34e0122470e6","Code_109","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","119d8f84-65a3-48ae-a49f-c4a9da54572d","Code_110","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","cd91e1a1-3cae-4656-a098-b2a1b20ec692","Code_111","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","da04c095-bf52-41ea-88b1-1e445a7f49fb","Code_112","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","56737e41-9a31-4fd4-b048-f6a64b380287","Code_113","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","bd874d9c-4afe-4324-874e-27669dafd762","Code_114","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","70429b6e-8f7c-4914-af37-6c0f2e59c63a","Code_115","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","00451a02-88d2-4163-baa4-799de7bcc719","Code_116","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","32084cb2-0b20-49fc-adc0-35d02c2a0ae3","Code_117","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","4b00817d-4634-4bf3-988e-191bc04701f8","Code_118","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","17818c4d-a266-4574-ad24-e322ef8f2bc3","Code_119","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","b74ab53f-bf88-4ca1-a20a-17fea93dd9c9","Code_120","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","16005af1-e181-40c8-95ae-10c8e8751008","Code_121","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","e43d4806-11d6-46b3-b945-d61c271bf51e","Code_122","http://www.cdisc.org","C175574","2023-12-15"
"CT of head without contrast","Code","fe120ea0-7742-4741-8ec6-f62c722aa818","Code_80","SNOMED","383371000119108","January 31, 2018"
"Subject Supine","Code","159c6925-084c-47df-a10a-c6d8b10e295c","Code_81","SPONSOR","123","12"
"Subject Standing","Code","e6f72d16-50e3-4d21-b374-ae3d0e3f0ba5","Code_82","SPONSOR","124","12"
"Dictionary-derived Term","Code","69be2974-c8bf-47ea-b08c-ad0b016f3fb0","Code_429","http://www.cdisc.org","C82977","2023-12-15"
"Reported Event Term","Code","6586b30b-a246-4413-92c9-aec2a64c39db","Code_430","http://www.cdisc.org","C82571","2023-12-15"
"Observation Start Date Time","Code","7837c6c3-d821-4c22-a502-31242724b59c","Code_431","http://www.cdisc.org","C82517","2023-12-15"
"Informed Consent","Code","25f327de-4bcc-4e91-8ec8-238329c0f3bd","Code_432","http://www.cdisc.org","C16735","2023-12-15"
"Male","Code","cafd9e05-4eae-4df7-a572-9157494706a4","Code_433","http://www.cdisc.org","C20197","2023-12-15"
"Female","Code","ea993b9f-8f08-41bc-b989-cf813652af32","Code_434","http://www.cdisc.org","C16576","2023-12-15"
"Sex","Code","41cd0b3b-2986-4b17-b15c-c4414e4b00e1","Code_435","http://www.cdisc.org","C28421","2023-12-15"
"Sex","Code","9fd4fc80-9531-4c56-aa27-50aef3f0e50c","Code_436","http://www.cdisc.org","C28421","2023-12-15"
"Race","Code","d17c4b97-d1bd-4705-81c0-08ad4704cecf","Code_437","http://www.cdisc.org","C17049","2023-12-15"
"Race","Code","4dc94e7e-bea6-4c38-a3b5-12670ebc8160","Code_438","http://www.cdisc.org","C17049","2023-12-15"
"TEMP","Code","6b5dc7a9-1a6c-461f-9166-767301ee3a14","Code_439","http://www.cdisc.org","C174446","2023-12-15"
"Clinical Test Result","Code","314fbf12-c274-429f-b799-4c6a19296edd","Code_440","http://www.cdisc.org","C77140","2023-12-15"
"Degree Celsius","Code","22c0f00d-11f7-4e27-b061-2fb9c6d9a01a","Code_441","http://www.cdisc.org","C42559","2023-12-15"
"Degree Fahrenheit","Code","8ee39de9-4ea5-4769-afbb-0465e2813ad3","Code_442","http://www.cdisc.org","C44277","2023-12-15"
"Kelvin","Code","161d40a4-6c56-4ae1-951d-a7df31d3712a","Code_443","http://www.cdisc.org","C42537","2023-12-15"
"Unit of Temperature","Code","84809e57-e90a-4a66-8100-5b33e592f82b","Code_444","http://www.cdisc.org","C44276","2023-12-15"
"Axilla","Code","a25cf32d-5df6-48ef-9909-d587ad480f99","Code_445","http://www.cdisc.org","C12674","2023-12-15"
"Ear","Code","cefca31c-f35e-4ad1-a14b-c20d4742c277","Code_446","http://www.cdisc.org","C12394","2023-12-15"
"Forehead","Code","2e592be9-aa12-4db0-a5e6-0fe3d828ead5","Code_447","http://www.cdisc.org","C89803","2023-12-15"
"Oral Cavity","Code","4c1f4180-967f-425e-8c32-ffcef3359223","Code_448","http://www.cdisc.org","C12421","2023-12-15"
"Rectum","Code","7e14cd7a-fff5-40e1-92fe-76bdbecfa3cf","Code_449","http://www.cdisc.org","C12390","2023-12-15"
"Anatomic Site","Code","68d73bf7-eb03-4549-8f6b-2a3a8e814c6e","Code_450","http://www.cdisc.org","C13717","2023-12-15"
"TEMP","Code","3f0be95c-7d40-47b6-8679-6928e1d315ef","Code_451","http://www.cdisc.org","C174446","2023-12-15"
"WEIGHT","Code","b074a7f9-70fa-4f0c-8da1-92436f56c787","Code_452","http://www.cdisc.org","C25208","2023-12-15"
"Clinical Test Result","Code","fe0dce2c-2781-4adb-a797-6d313093be35","Code_453","http://www.cdisc.org","C77140","2023-12-15"
"Pound","Code","93d95ee4-815f-47d1-b0c3-f9738c8affae","Code_454","http://www.cdisc.org","C48531","2023-12-15"
"Gram","Code","c967ed0d-d4f7-4f04-9daa-71c66b21ef6c","Code_455","http://www.cdisc.org","C48155","2023-12-15"
"Kilogram","Code","5d8f232d-ce3c-4854-908f-0fe05478c6af","Code_456","http://www.cdisc.org","C28252","2023-12-15"
"Unit of Weight","Code","b98ae8b7-a1ba-4b4a-805e-d6e91605b2f8","Code_457","http://www.cdisc.org","C48208","2023-12-15"
"WEIGHT","Code","163e4d18-97f2-4415-8290-52fd960fd6d1","Code_458","http://www.cdisc.org","C25208","2023-12-15"
"HEIGHT","Code","06a8afaf-01bb-48ff-8652-7dc484fc207d","Code_459","http://www.cdisc.org","C25347","2023-12-15"
"Clinical Test Result","Code","0cc12cf7-86f8-4e7f-8eb0-485f73f43d66","Code_460","http://www.cdisc.org","C77140","2023-12-15"
"Centimeter","Code","2e4d8dbe-8062-4658-839a-6a1042fb2dc5","Code_461","http://www.cdisc.org","C49668","2023-12-15"
"Inch","Code","0e93fe19-8616-40a2-aed0-faa2277bfb6d","Code_462","http://www.cdisc.org","C48500","2023-12-15"
"Meter","Code","78e9cff8-8c17-4b64-84c7-55a5b57dca80","Code_463","http://www.cdisc.org","C41139","2023-12-15"
"Unit of Height","Code","1d654a9a-289b-4e5e-8de5-9242cfdbf0c5","Code_464","http://www.cdisc.org","C168688","2023-12-15"
"HEIGHT","Code","b4aad7fb-ecaf-47d4-82b2-f5ac11b86689","Code_465","http://www.cdisc.org","C25347","2023-12-15"
"ALT","Code","c1ed75e3-b1cf-44c0-bd29-3da48e706469","Code_466","http://www.cdisc.org","C64433","2023-12-15"
"Laboratory Test Result","Code","ea086dc7-13cb-4c58-b793-a3fedae19579","Code_467","http://www.cdisc.org","C36292","2023-12-15"
"Unit per Liter","Code","c4dc4891-795b-4e49-bfa9-807e73645c9b","Code_468","http://www.cdisc.org","C67456","2023-12-15"
"Microkatal per Liter","Code","bcf19c32-8cfa-4389-a577-2e287ccebe5a","Code_469","http://www.cdisc.org","C67397","2023-12-15"
"International Unit per Liter","Code","5fcc6a9d-a4c1-49e7-ba23-32c7271bc6fe","Code_470","http://www.cdisc.org","C67376","2023-12-15"
"Nanokatal per Liter","Code","97b07c23-2f9d-4ca7-b1af-267677915daa","Code_471","http://www.cdisc.org","C70510","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","6e3a2a0f-34e8-4fdd-99e1-475332dc1d7a","Code_472","http://www.cdisc.org","C67365","2023-12-15"
"Biospecimen Type","Code","40d6ba43-45be-4252-b07a-ce64fdfcbef0","Code_473","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","a13e1636-e713-4ecc-b701-d5966a83a42d","Code_474","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","e2a22122-613b-41bd-8c60-7fb29edc9902","Code_475","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","76d2a552-92cd-424e-9328-5d4cbacb4b5b","Code_476","http://www.cdisc.org","C83309","2023-12-15"
"ALT","Code","41306827-b816-438d-9442-79b5b1087975","Code_477","http://www.cdisc.org","C64433","2023-12-15"
"ALB","Code","e3aff244-3164-4ab9-9296-19f2a0411c25","Code_478","http://www.cdisc.org","C64431","2023-12-15"
"Laboratory Test Result","Code","0c3624ca-2ebf-43d1-a1ad-040d9b90da03","Code_479","http://www.cdisc.org","C36292","2023-12-15"
"Biospecimen Type","Code","ea629a54-265a-4749-9f25-0ae28f3acadf","Code_480","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","505500cd-5edf-4ee1-a7eb-02722303606b","Code_481","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","3fbf0951-ebde-48bd-8a4d-3f9ea3796134","Code_482","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","62b2fc70-3f11-4545-b529-df7dc2652d8b","Code_483","http://www.cdisc.org","C83309","2023-12-15"
"ALB","Code","e95098f6-b6bf-4a3c-a5fe-5dd815224f40","Code_484","http://www.cdisc.org","C64431","2023-12-15"
"ALP","Code","de520e41-a0e8-4d98-9404-d2a31965fc98","Code_485","http://www.cdisc.org","C64432","2023-12-15"
"Laboratory Test Result","Code","07f73c8f-e921-4083-a9a0-c712275cc6a8","Code_486","http://www.cdisc.org","C36292","2023-12-15"
"Unit per Liter","Code","2f33502b-c405-4d55-bb51-a7f4ff327aea","Code_487","http://www.cdisc.org","C67456","2023-12-15"
"Microkatal per Liter","Code","0b4fa692-a238-40b4-930d-5fcd836b9ca4","Code_488","http://www.cdisc.org","C67397","2023-12-15"
"International Unit per Liter","Code","0c4eb776-132b-48c5-96b8-dd080119f2ca","Code_489","http://www.cdisc.org","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","479b86be-c794-4413-b771-2d80fc148503","Code_490","http://www.cdisc.org","C67365","2023-12-15"
"Biospecimen Type","Code","c04172f0-a12b-4381-b25a-5d570b490db5","Code_491","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","54cc67b6-14cd-4933-aa7b-e71be609f05a","Code_492","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","dc0fb81b-97d4-42ba-9b24-0b71d2edaa5d","Code_493","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","c0adc144-2d0f-4467-8390-15cfda33b98c","Code_494","http://www.cdisc.org","C83309","2023-12-15"
"ALP","Code","11cff64b-19fb-440a-bddd-2f19fc1a17af","Code_495","http://www.cdisc.org","C64432","2023-12-15"
"AST","Code","d7fbba21-8c06-42bc-97d9-166e2e190054","Code_496","http://www.cdisc.org","C64467","2023-12-15"
"Laboratory Test Result","Code","fee06151-cdce-4bdf-b823-73f2af82a817","Code_497","http://www.cdisc.org","C36292","2023-12-15"
"Unit per Liter","Code","3f6f6296-95d8-485e-8072-621c5cc14a26","Code_498","http://www.cdisc.org","C67456","2023-12-15"
"Microkatal per Liter","Code","85793f0f-f8bb-491f-bccd-622587b63bbb","Code_499","http://www.cdisc.org","C67397","2023-12-15"
"International Unit per Liter","Code","544e34e8-1b84-4ef7-ac24-cd9ec96ac4e7","Code_500","http://www.cdisc.org","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","54e0980e-c954-44fd-9cdb-ee25fc950860","Code_501","http://www.cdisc.org","C67365","2023-12-15"
"Biospecimen Type","Code","5fd1ae0b-7860-4ad4-9706-ede7007c60d5","Code_502","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","b82d899e-7826-4506-bf84-b456b9070f84","Code_503","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","365e6993-23a0-40dc-8ab7-6784bd2ab2e9","Code_504","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","9e08fbd0-91fc-42ca-84ca-619e79b3ebd7","Code_505","http://www.cdisc.org","C83309","2023-12-15"
"AST","Code","51e19d0b-4a01-4af4-9169-2755e7b8ba8a","Code_506","http://www.cdisc.org","C64467","2023-12-15"
"CREAT","Code","b47e3591-4bea-4df6-8ca1-cac991aed852","Code_507","http://www.cdisc.org","C64547","2023-12-15"
"Laboratory Test Result","Code","d9ab47b1-3e33-4bcd-ac52-447418b7cb19","Code_508","http://www.cdisc.org","C36292","2023-12-15"
"Milligram per Deciliter","Code","dfabe9b9-f1fb-4842-a6c7-f636ce63e138","Code_509","http://www.cdisc.org","C67015","2023-12-15"
"Microgram per Milliliter","Code","034c4063-f15e-46fa-89c4-fb8db647f397","Code_510","http://www.cdisc.org","C64572","2023-12-15"
"Millimole per Liter","Code","428a3a15-305f-4008-8fcc-d8967d1fa746","Code_511","http://www.cdisc.org","C64387","2023-12-15"
"Micromole per Liter","Code","5b49d874-24c3-4f75-8bfc-565b845d5b58","Code_512","http://www.cdisc.org","C48508","2023-12-15"
"Unit of Concentration","Code","07f8d1af-9b77-470a-9353-a8be8947a1c4","Code_513","http://www.cdisc.org","C48207","2023-12-15"
"Biospecimen Type","Code","d9e3cc61-1fd5-4d61-bdc3-863b831ec6b3","Code_514","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","43adeb6a-d056-464a-991a-581ca9b33c20","Code_515","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","5aac7054-fc47-4417-b780-1bfc46b16e4b","Code_516","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","0e2a5f57-f5be-41d1-b260-5fcbcc69e07e","Code_517","http://www.cdisc.org","C83309","2023-12-15"
"CREAT","Code","e44f024e-af9f-4b76-95c3-d019b58d1fc6","Code_518","http://www.cdisc.org","C64547","2023-12-15"
"K","Code","a8b677f2-592b-4560-9890-9a7c166dcd5b","Code_519","http://www.cdisc.org","C64853","2023-12-15"
"Laboratory Test Result","Code","17f8571e-e58e-43b5-bb71-c5c72d59de62","Code_520","http://www.cdisc.org","C36292","2023-12-15"
"Milliequivalent per Liter","Code","a64a481e-9e4b-4917-acb0-4a7f51e3094b","Code_521","http://www.cdisc.org","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","888f274b-0584-421e-a214-3484975a6e2d","Code_522","http://www.cdisc.org","C67473","2023-12-15"
"Millimole per Liter","Code","43d97539-c3ce-4b88-9879-115bbc55bff2","Code_523","http://www.cdisc.org","C64387","2023-12-15"
"Molarity Unit","Code","c349a6dc-f549-4d65-a46c-316f5e83947b","Code_524","http://www.cdisc.org","C64567","2023-12-15"
"Biospecimen Type","Code","a66640a3-fc10-4f80-b8fb-7eee62ffa86e","Code_525","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","4466e969-0fad-4747-937d-c185325b608f","Code_526","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","73808868-6687-4ef2-883e-3af7f709cdf6","Code_527","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","29398164-182e-401d-91d5-29d5d85d4f53","Code_528","http://www.cdisc.org","C83309","2023-12-15"
"K","Code","46c631cb-85e8-4b6a-801d-9da232643d4a","Code_529","http://www.cdisc.org","C64853","2023-12-15"
"SODIUM","Code","dd07cd55-07c1-4766-b03a-efd547d30d56","Code_530","http://www.cdisc.org","C64809","2023-12-15"
"Laboratory Test Result","Code","5ed7315d-4581-4663-b9f2-0960a90a66e5","Code_531","http://www.cdisc.org","C36292","2023-12-15"
"Milliequivalent per Liter","Code","e5cd3514-89ca-4695-84c8-c9137667a3cd","Code_532","http://www.cdisc.org","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","e06c9084-d1fb-43da-a9bd-484126fda2f5","Code_533","http://www.cdisc.org","C67473","2023-12-15"
"Millimole per Liter","Code","6aaba6c3-08bb-419c-9ee8-7cec0c550715","Code_534","http://www.cdisc.org","C64387","2023-12-15"
"Molarity Unit","Code","689a711b-1c6e-483f-8ade-da4d4c2a9a94","Code_535","http://www.cdisc.org","C64567","2023-12-15"
"Biospecimen Type","Code","4e1a00aa-9773-4557-9e83-c191f3720120","Code_536","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","10f3d743-c56e-4f53-953c-392281a73827","Code_537","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","3b623559-068d-4d2b-a301-c00da17f8a2e","Code_538","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","6fd43143-3a3e-4330-9e18-eb266b18586b","Code_539","http://www.cdisc.org","C83309","2023-12-15"
"SODIUM","Code","2e37f398-79ff-4999-86b6-0e89f43fb09f","Code_540","http://www.cdisc.org","C64809","2023-12-15"
"HBA1C","Code","75f31dde-056a-435c-8ed5-14a82dfb762a","Code_541","http://www.cdisc.org","C64849","2023-12-15"
"Laboratory Test Result","Code","c345dc6b-7767-460b-8d77-f5cf1a6e39e0","Code_542","http://www.cdisc.org","C36292","2023-12-15"
"Gram per Deciliter","Code","cdf87cff-2a5d-49a5-a86f-c6188f028124","Code_543","http://www.cdisc.org","C64783","2023-12-15"
"LBORRESU","Code","2d509fb8-ba8c-4798-909d-138ddbf1deae","Code_544","http://www.cdisc.org","No Concept Code","2023-12-15"
"Biospecimen Type","Code","2c4737c3-1537-41b8-a9ff-3bdd90dc2bcf","Code_545","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","c0d0fe49-dbb3-44c7-bb2b-e00e08e56426","Code_546","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","cf80ee5e-b7ba-4088-92a5-02d3fa969a85","Code_547","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","fc9f2470-6312-4296-8e8d-917278da0882","Code_548","http://www.cdisc.org","C83309","2023-12-15"
"HBA1C","Code","cdc46c26-3c5c-46ab-b65d-54638572a56b","Code_549","http://www.cdisc.org","C64849","2023-12-15"
"Adverse Event Verbatim Description","Code","a45ae34d-526c-4d73-b41a-4916a0b61946","Code_145","http://www.cdisc.org","C78541","2023-12-15"
"Adverse Event Dictionary Derived Term","Code","b70a704d-ac4d-4e75-9fa1-020479ee861c","Code_146","http://www.cdisc.org","C83344","2023-12-15"
"No","Code","15df5761-4645-42ee-81f7-2e1dc669c824","Code_147","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","982bca02-1a70-4476-94dc-4e6967f92656","Code_148","http://www.cdisc.org","C49488","2023-12-15"
"Adverse Event Pre-specified","Code","39154339-53f7-45db-854b-53e1bf3efbe2","Code_149","http://www.cdisc.org","C87840","2023-12-15"
"Adverse Event Location","Code","c78693f6-7d83-495f-bc5c-dc3357cd1763","Code_150","http://www.cdisc.org","C83205","2023-12-15"
"Severity of Adverse Event","Code","dcc2bbce-9441-44e7-8165-9b365950ae5b","Code_151","http://www.cdisc.org","C53253","2023-12-15"
"No","Code","daffd81a-a283-4afe-9683-36bf27cf901e","Code_152","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","c3dd5bb0-9ef0-48bc-8012-7dcd8ffcb0eb","Code_153","http://www.cdisc.org","C49488","2023-12-15"
"Seriousness of Adverse Event","Code","61a0fdbe-b55f-4618-b25d-47fef0d85ba9","Code_154","http://www.cdisc.org","C53252","2023-12-15"
"Adverse Event Action Taken with Study Treatment","Code","3b9b96d9-f875-4c4b-9cfc-a11557f663a8","Code_155","http://www.cdisc.org","C83013","2023-12-15"
"Other Actions taken in Response to Adverse Event","Code","33646fc7-7843-4401-a87b-3ce1ce5ef317","Code_156","http://www.cdisc.org","C83109","2023-12-15"
"Adverse Event Attribution to Product or Procedure","Code","b3b1d308-8ee6-4ea4-92e6-ce79e8d5833f","Code_157","http://www.cdisc.org","C41358","2023-12-15"
"Adverse Event Relationship to Non Study Treatment","Code","7eb52a6f-8034-4247-a248-e244ab332230","Code_158","http://www.cdisc.org","C83210","2023-12-15"
"Adverse Event Pattern","Code","3b0779be-cdc2-4145-adda-31b87cac01a7","Code_159","http://www.cdisc.org","C83208","2023-12-15"
"Adverse Event Outcome","Code","8ace8033-ee49-4efd-a2f7-38155c65a433","Code_160","http://www.cdisc.org","C49489","2023-12-15"
"No","Code","1cba3ff6-9dc5-4f92-9ed3-c0e1d402cf92","Code_161","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","97fc14dc-5cc9-4df4-b9f3-785185c030e2","Code_162","http://www.cdisc.org","C49488","2023-12-15"
"Adverse Event Involves Cancer","Code","ee3bf6ef-1702-41e3-ade3-7f65ce22e775","Code_163","http://www.cdisc.org","C83211","2023-12-15"
"No","Code","9a8ebc50-0f41-4bdc-bb09-eb3f833de1d2","Code_164","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","cb790079-9588-43c2-a776-6a2f9879f683","Code_165","http://www.cdisc.org","C49488","2023-12-15"
"Adverse Event Seriousness Due to Congenital Anomaly","Code","a7d1836a-c702-4788-82e1-83910b73f4f4","Code_166","http://www.cdisc.org","C83117","2023-12-15"
"No","Code","cab6f03e-cd4e-43f5-b754-0f11217af0c6","Code_167","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","830a1f38-2f6e-4b1f-b252-726bbcbcd5a2","Code_168","http://www.cdisc.org","C49488","2023-12-15"
