"label","instanceType","uuid:ID","id","synonyms","reference","name"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","9970b3b0-6e81-4bcf-8ad2-32eb6621764d","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept","5863d311-582f-4d98-a58f-b99a82061ab5","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","b60d685f-9766-40c9-986f-cd49e261fbba","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","8b8b051d-dadf-4309-bb95-65f1b46d99dd","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","BiomedicalConcept","cfd34bba-8d7c-4115-b586-cb892400b1d0","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","BiomedicalConcept","a8dcc1ae-e652-4a2f-8cae-7f587b631ada","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"Sodium Concentration in Urine","BiomedicalConcept","752c518c-f4b9-46cf-9f13-4082ec409a02","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"Systolic Blood Pressure","BiomedicalConcept","1ad7d1e2-48e1-4929-a240-77a36f32fe44","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept","eeaad387-3d0d-4073-a94c-1b4cd113a6d5","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Heart Rate","BiomedicalConcept","362ab656-a00a-4bf4-ad5a-ef6c98e9dad2","BiomedicalConcept_16","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
"Systolic Blood Pressure","BiomedicalConcept","cf5c979f-b230-4f06-a95d-5114e5f3444c","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept","c60933a7-3ff7-4624-9d65-197e123f5482","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Heart Rate","BiomedicalConcept","5aca6b3a-4751-408e-9f1b-26888714bf23","BiomedicalConcept_19","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
