"label","name","instanceType","uuid:ID","reference","synonyms","id"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept","94da16bd-fdc3-432b-8e0f-8c4db65285ff","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30"
"Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept","7e6f47cc-8d84-4698-bf20-93fc9b071e9a","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31"
"Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept","6277d8a5-17e1-4962-bd55-4dc317fd6717","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32"
"Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","02175e35-6ec5-4e97-8e47-eebbf6f4bf31","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33"
"Adverse Event Prespecified","Adverse Event Prespecified","BiomedicalConcept","85aa0493-edde-4635-9dde-fb428a5ab92f","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","7c38e2ef-55da-491a-8ccc-671dd4722b50","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","c2382947-18dd-40ca-9234-9d70b60b9310","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3"
"Temperature","Temperature","BiomedicalConcept","2bdaa473-a357-48ac-9a29-fc39632ef6ba","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_4"
"Weight","Weight","BiomedicalConcept","a0a42379-1d65-4f00-aa97-f85f958462fc","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_5"
"Height","Height","BiomedicalConcept","9c478262-6517-44b4-a92f-d9f1f5dcfda1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_6"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","5f15d79b-6948-485d-9a4a-685fda63212d","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7"
"Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept","ad739230-3eed-4400-bdb8-dbd4ad80a03d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","9702d81c-6ef1-45d8-9a62-cc6764fd86d5","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","3e9e7318-5606-42d6-a846-166199a869d9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept","c213b515-e273-45ff-baf9-76cc125cb1fa","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11"
"Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept","7f7cab67-8af3-475c-a1ed-1223104b6e75","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12"
"Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept","0bdb58ac-cbeb-4ca9-8d9c-0288c3926b30","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","aa1ac526-cc5e-4c64-a01e-94171003bc1d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","51db6f1b-e0bf-4b4a-94c3-6bb285c9b1c9","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15"
"Heart Rate","Heart Rate","BiomedicalConcept","356ed4ce-a5cf-465f-990a-168d89435232","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_16"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","b1346a26-49fe-4fb2-97c4-ad0f59d204a6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","c278d020-9389-4fe0-825c-5e6323da12ca","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18"
"Heart Rate","Heart Rate","BiomedicalConcept","e5ada848-2bdd-4676-a046-dd1c738589f8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_19"
