"name","label","instanceType","uuid:ID","synonyms","id","reference"
"Weight","Weight","BiomedicalConcept","e403f330-82b9-436d-9445-2e4e9cba2825","['Weight', 'Body Weight']","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","Height","BiomedicalConcept","e6eb8a1d-df87-4c2f-95cf-75f49d25f7e6","['Height', 'Body Height']","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","e80bd97d-6dd3-41e5-b8b7-c665f25c1ae2","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept","2d558802-e7b0-4c76-9322-4ffa1b78ae11","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","4ccd62ce-3885-4af1-a771-b00656a270a1","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","705376c6-2702-4d44-baae-6d34392cd425","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept","4568159d-c773-4818-a08b-b968de4fd30a","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept","18ed5000-c8c9-4d05-bdaa-ceb1e52864a1","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept","4ac780ec-1f68-41ba-89b5-348370d71cda","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","912d18ba-af19-4b15-861e-efbc7367b921","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","5b2ae2fa-fe9a-4472-87ef-a29e98a679fc","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","Heart Rate","BiomedicalConcept","ed9d4163-e38e-4030-a026-084c743d6469","['Heart Rate']","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","f363fd0f-0686-4aaa-b1de-211222cfde63","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","5b60514b-8246-49a1-bad6-e347a69fc482","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","Heart Rate","BiomedicalConcept","ddd3bc3b-0906-4820-a030-e5cc63c1851a","['Heart Rate']","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
