"uuid:ID","name","instanceType","label","id","synonyms","reference"
"d096245f-76a2-4a5d-99e9-4eb89f22e7a0","Creatinine Concentration in Urine","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"c646e00c-6503-4079-b49c-775f2a249fce","Potassium Concentration in Urine","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"b1d7192c-d82f-45a7-ba29-f554529fbd58","Sodium Concentration in Urine","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"4630ddf1-39f1-43c7-91bd-804a625e0ff8","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"b29ff6fe-c5d0-495d-b551-a7e25957d242","Adverse Event Prespecified","BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"6224aae2-8dc3-43c9-84da-50721037e2aa","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"44ed5b2b-616c-4056-a16c-7df4dfc39713","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"4ebcb9f3-6361-4747-8dee-6d4bed747513","Temperature","BiomedicalConcept","Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"c220e5d1-5ffb-44fc-89a5-987eb8d75e36","Weight","BiomedicalConcept","Weight","BiomedicalConcept_5","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"e55debf1-cbc2-4fbf-95c3-ab75516f36f1","Height","BiomedicalConcept","Height","BiomedicalConcept_6","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"6934479c-5a70-4bb1-bf5a-0b0d722b6418","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"14a68cd6-49a2-416c-a5bc-cf065f531aa0","Albumin Presence in Urine","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"83bc14e8-d2fc-4ece-979e-01b6099812f6","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"8fac7b04-914b-49a0-99d8-6ed4237f8df7","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"398cd21c-d797-4c9a-8c34-f17f3dbe0b47","Creatinine Concentration in Urine","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"5b837932-4238-4b98-8d24-75c7d2f727c9","Potassium Concentration in Urine","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"90fad71a-3183-4087-833d-7a70906bf82e","Sodium Concentration in Urine","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"f6326837-ba41-48ca-81fd-de120c1cbd30","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"a1e6b0bc-5721-4dde-9aab-3a804c2437a4","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"4fac209d-a6c3-4c5f-8979-ffcbc99a0e1d","Heart Rate","BiomedicalConcept","Heart Rate","BiomedicalConcept_16","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"90246d66-76a9-4a3c-ba7c-3a4e1beb8693","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"80236a23-7c63-46a9-850e-91a849929846","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"86b08c49-e46d-4e3d-b037-6c1e4b1f4a71","Heart Rate","BiomedicalConcept","Heart Rate","BiomedicalConcept_19","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
