"uuid:ID","name","instanceType","label","id","identifier","text","description"
"366a1517-74bb-4175-a3ed-fc51b0dfbf64","EX03","EligibilityCriterion","Serious illness criteria","EligibilityCriterion_11","11","<p>Serious illness which required hospitalization within 3 months of screening.</p>",""
"f7a80b6b-5b09-4fbe-9041-a740c9dfa422","EX04","EligibilityCriterion","Serious neurolocal conditions criteria","EligibilityCriterion_12","12","<p>Diagnosis of serious neurological conditions, including </p>
<ol type=""a"">
<li><p>Stroke or vascular dementia documented by clinical history and/or radiographic findings interpretable by the investigator as indicative of these disorders</p></li>
<li><p>Seizure disorder other than simple childhood febrile seizures</p></li>
<li><p>Severe head trauma resulting in protracted loss of consciousness within the last 5 years, or multiple episodes of head trauma</p></li>
<li><p>Parkinson's disease</p></li>
<li><p>Multiple sclerosis</p></li>
<li><p>Amyotrophic lateral sclerosis</p></li>
<li><p>Myasthenia gravis.</p></li>
</ol>",""
"6d0f8b9d-39a1-4f43-8264-1a7e7451df4d","EX05","EligibilityCriterion","Depression criteria","EligibilityCriterion_13","13","<p>Episode of depression meeting DSM-IV criteria within 3 months of screening.</p>",""
"19c8713f-e984-45dc-8b10-5a93675dccb1","EX06","EligibilityCriterion","Schizophrenia, Bipolar, Ethanol or psychoactive abuse criteria","EligibilityCriterion_14","14","<p>A history within the last 5 years of the following:</p>
<ol type=""a"">
<li><p>Schizophrenia</p></li>
<li><p>Bipolar Disease</p></li>
<li><p>Ethanol or psychoactive drug abuse or dependence. </p></li>
</ol>",""
"cc0a6a0e-92bd-4006-ad4e-46f0627b3989","EX07","EligibilityCriterion","Syncope criteria","EligibilityCriterion_15","15","<p>A history of syncope within the last 5 years.</p>",""
"a08ef0be-cb6b-4639-8064-edbf9d8b8e06","EX08","EligibilityCriterion","ECG Criteria","EligibilityCriterion_16","16b","<p>Evidence from ECG recording at screening of any of the following conditions :</p>
<ol type=""a"">
<li><p>Left bundle branch block</p></li>
<li><p>Bradycardia ≤50 beats per minute</p></li>
<li><p>Sinus pauses &gt;2 seconds</p></li>
<li><p>Second or third degree heart block unless treated with a pacemaker</p></li>
<li><p>Wolff-Parkinson-White syndrome</p></li>
<li><p>Sustained supraventricular tachyarrhythmia including SVT≥10 sec, atrial fibrillation, atrial flutter.</p></li>
<li><p>Ventricular tachycardia at a rate of ≥120 beats per minute lasting≥10 seconds.</p></li>
</ol>",""
"0da2e53d-8f2d-48f4-86ca-9c985335f3fb","EX09","EligibilityCriterion","Cardiovascular criteria","EligibilityCriterion_17","17","<p>A history within the last 5 years of a serious cardiovascular disorder, including</p>
<ol type=""a"">
<li><p>Clinically significant arrhythmia</p></li>
<li><p>Symptomatic sick sinus syndrome not treated with a pacemaker</p></li>
<li><p>Congestive heart failure refractory to treatment</p></li>
<li><p>Angina except angina controlled with PRN nitroglycerin</p></li>
<li><p>Resting heart rate &lt;50 or &gt;100 beats per minute, on physical exam</p></li>
<li><p>Uncontrolled hypertension.</p></li>
</ol>",""
"f6f8c550-5491-4f70-a963-96f0dc26f1d1","EX10","EligibilityCriterion","Gastrointensinal criteria","EligibilityCriterion_18","18","<p>A history within the last 5 years of a serious gastrointestinal disorder, including 
<ol type=""a"">
<li><p>Chronic peptic/duodenal/gastric/esophageal ulcer that are untreated or refractory to treatment</p></li>
<li><p>Symptomatic diverticular disease</p></li>
<li><p>Inflammatory bowel disease</p></li>
<li><p>Pancreatitis</p></li>
<li><p>Hepatitis</p></li>
<li><p>Cirrhosis of the liver.</p></li>
</ol>",""
"7808097a-6382-4077-b645-c0257325b93e","EX11","EligibilityCriterion","Endocrine criteria","EligibilityCriterion_19","19","<p>A history within the last 5 years of a serious endocrine disorder, including</p>
<ol type=""a"">
<li><p>Uncontrolled Insulin Dependent Diabetes Mellitus (IDDM)</p></li>
<li><p>Diabetic ketoacidosis</p></li>
<li><p>Untreated hyperthyroidism</p></li>
<li><p>Untreated hypothyroidism</p></li>
<li><p>Other untreated endocrinological disorder</p></li>
</ol>",""
"7a0f0e05-466a-4c2e-859c-95cea9db11d1","EX12","EligibilityCriterion","Resporatory criteria","EligibilityCriterion_20","20","<p> A history within the last 5 years of a serious respiratory disorder, including</p>
<ol type=""a"">
<li><p>Asthma with bronchospasm refractory to treatment</p></li>
<li><p>Decompensated chronic obstructive pulmonary disease.</p></li>
</ol>",""
"4bb48d3f-baaa-4c5f-af7e-64d6d8cd06a2","EX13","EligibilityCriterion","Genitourinary criteria","EligibilityCriterion_21","21","<p>A history within the last 5 years of a serious genitourinary disorder, including</p>
<ol type=""a"">
<li><p>Renal failure</p></li>
<li><p>Uncontrolled urinary retention.</p></li>
</ol>",""
"79e55453-e2ad-47cf-a187-4d12f9dd3407","EX14","EligibilityCriterion","Rheumatologic criteria","EligibilityCriterion_22","22","<p>A history within the last 5 years of a serious rheumatologic disorder, including</p>
<ol type=""a"">
<li><p>Lupus</p></li>
<li><p>Temporal arteritis</p></li>
<li><p>Severe rheumatoid arthritis.</p></li>
</ol>",""
"b7d66f5d-8145-4115-9698-cf527e5ea167","EX15","EligibilityCriterion","HIV criteria","EligibilityCriterion_23","23","<p>A known history of human immunodeficiency virus (HIV) within the last 5 years.</p>",""
"039e92f4-f911-47c7-97d9-85196b1ac078","EX16","EligibilityCriterion","Neurosyphilis, Meningitis,Encephalitis criteria","EligibilityCriterion_24","24","<p>A history within the last 5 years of a serious infectious disease including</p>
<ol type=""a"">
<li><p>a)  Neurosyphilis</p></li>
<li><p>b)  Meningitis</p></li>
<li><p>c)  Encephalitis.</p></li>
</ol>",""
"04fdf835-f106-4273-8a24-79a4e5c4dd5e","EX17","EligibilityCriterion","Malignant disease criteria","EligibilityCriterion_25","25","<p>A history within the last 5 years of a primary or recurrent malignant disease with the exception of resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or in situ prostate cancer with a normal PSA postresection.</p>",""
"7f545731-e32a-49c4-8ec9-87bee149aef5","EX18","EligibilityCriterion","Ability to participate in study criteria","EligibilityCriterion_26","26","<p>Visual, hearing, or communication disabilities impairing the ability to participate in the study; (for example, inability to speak or understand English, illiteracy).</p>",""
"f90fd2c6-6dce-4c86-9457-c29db1037bee","EX19","EligibilityCriterion","Laboratory values criteria","EligibilityCriterion_27","27b","<p>Laboratory test values exceeding the Lilly Reference Range III for the patient's age in any of the following analytes: ↑ creatinine, ↑ total bilirubin, ↑ SGOT, ↑ SGPT, ↑ alkaline phosphatase, ↑ GGT, ↑↓ hemoglobin, ↑↓ white blood cell count, ↑↓ platelet count, ↑↓ serum sodium, potassium, or calcium.</p>
<p>If values exceed these laboratory reference ranges, clinical significance will be judged by the monitoring physicians. If the monitoring physician determines that the deviation from the reference range is not clinically significant, the patient may be included in the study. This decision will be documented.</p>",""
"7486865a-52f6-47ad-b2b1-dc1d87d33adb","EX20","EligibilityCriterion","Central laboratory values criteria","EligibilityCriterion_28","28b","<p>Central laboratory test values below reference range for folate, and Vitamin B 12 , and outside reference range for thyroid function tests.</p>
<ol type=""a"">
<li><p>Folate reference range 2.0 to 25.0 ng/mL. Patients will be allowed to enroll if their folate levels are above the upper end of the range if patients are taking vitamin supplements.</p>
<li><p>Vitamin B 12 reference range 130 to 900 pg/mL. Patients will be 
allowed to enroll if their B 12 levels are above the upper reference 
range if patients are taking oral vitamin supplements.</p>
<li><p>Thyroid functions</p>
<ol type=""i"">
<li><p>Thyroid Uptake reference range 25 to 38%. Patients will be allowed to enroll with results of 23 to 51% provided the remainder of the thyroid profile is normal and there are no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>TSH reference range 0.32 to 5.0. Patients will be allowed to enroll with results of 0.03 to 6.2 if patients are taking stable doses of exogenous thyroid supplements, with normal free thyroid index, and show no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>Total T4 reference range 4.5 to 12.5. Patients will be allowed to enroll with results of 4.1 to 13.4 if patients are taking stable doses of exogenous thyroid hormone, with normal free thyroid index, and show no clinical signs or symptoms of thyroid 
abnormality.</p></li>
<li><p>Free Thyroid Index reference range 1.1 to 4.6.</p></li>
</ol>
</ol>",""
"c6e723c3-d0ab-4647-94df-6eb9b290fe8e","EX21","EligibilityCriterion","Syphilia criteria","EligibilityCriterion_29","29b","<p>Positive syphilis screening.</p>
<p>Positive syphilis screening. As determined by positive RPR followed up by confirmatory FTA-Abs. Confirmed patients are excluded unless there is a documented medical history of an alternative disease (for example, yaws) which caused the lab abnormality.</p>",""
"35562004-9862-4203-b9f1-cb3ec9e3e9ea","EX22","EligibilityCriterion","Hemoglobin criteria","EligibilityCriterion_30","30b","<p>Glycosylated hemoglobin (A1C). Required only on patients with known diabetes mellitus or random blood sugar &gt;200 on screening labs. Patients will be excluded if levels are &gt;9.5%</p>",""
