"description","instanceType","name","text","uuid:ID","identifier","label","id"
"","EligibilityCriterion","EX11","<p>A history within the last 5 years of a serious endocrine disorder, including</p>
<ol type=""a"">
<li><p>Uncontrolled Insulin Dependent Diabetes Mellitus (IDDM)</p></li>
<li><p>Diabetic ketoacidosis</p></li>
<li><p>Untreated hyperthyroidism</p></li>
<li><p>Untreated hypothyroidism</p></li>
<li><p>Other untreated endocrinological disorder</p></li>
</ol>","80c059b1-26a0-404b-9185-d5c9a88b6508","19","Endocrine criteria","EligibilityCriterion_19"
"","EligibilityCriterion","EX12","<p> A history within the last 5 years of a serious respiratory disorder, including</p>
<ol type=""a"">
<li><p>Asthma with bronchospasm refractory to treatment</p></li>
<li><p>Decompensated chronic obstructive pulmonary disease.</p></li>
</ol>","84e13ae7-fbc2-476e-9757-61d71fc618eb","20","Resporatory criteria","EligibilityCriterion_20"
"","EligibilityCriterion","EX13","<p>A history within the last 5 years of a serious genitourinary disorder, including</p>
<ol type=""a"">
<li><p>Renal failure</p></li>
<li><p>Uncontrolled urinary retention.</p></li>
</ol>","6502402b-a853-4d6e-aa03-4b32ef39a6a6","21","Genitourinary criteria","EligibilityCriterion_21"
"","EligibilityCriterion","EX14","<p>A history within the last 5 years of a serious rheumatologic disorder, including</p>
<ol type=""a"">
<li><p>Lupus</p></li>
<li><p>Temporal arteritis</p></li>
<li><p>Severe rheumatoid arthritis.</p></li>
</ol>","afa4cf1a-15ac-4e54-bad7-31b94bf0920c","22","Rheumatologic criteria","EligibilityCriterion_22"
"","EligibilityCriterion","EX15","<p>A known history of human immunodeficiency virus (HIV) within the last 5 years.</p>","f3efa0d9-95af-468f-abf4-f4cafab27131","23","HIV criteria","EligibilityCriterion_23"
"","EligibilityCriterion","EX16","<p>A history within the last 5 years of a serious infectious disease including</p>
<ol type=""a"">
<li><p>a)  Neurosyphilis</p></li>
<li><p>b)  Meningitis</p></li>
<li><p>c)  Encephalitis.</p></li>
</ol>","435d360f-8d87-4c20-bf39-4c66dc6c13c0","24","Neurosyphilis, Meningitis,Encephalitis criteria","EligibilityCriterion_24"
"","EligibilityCriterion","EX17","<p>A history within the last 5 years of a primary or recurrent malignant disease with the exception of resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or in situ prostate cancer with a normal PSA postresection.</p>","f53fcd30-e799-4186-aa7e-4096df1b8fea","25","Malignant disease criteria","EligibilityCriterion_25"
"","EligibilityCriterion","EX18","<p>Visual, hearing, or communication disabilities impairing the ability to participate in the study; (for example, inability to speak or understand English, illiteracy).</p>","438a2482-3ede-4d45-9900-6ef9e1409f07","26","Ability to participate in study criteria","EligibilityCriterion_26"
"","EligibilityCriterion","EX19","<p>Laboratory test values exceeding the Lilly Reference Range III for the patient's age in any of the following analytes: ↑ creatinine, ↑ total bilirubin, ↑ SGOT, ↑ SGPT, ↑ alkaline phosphatase, ↑ GGT, ↑↓ hemoglobin, ↑↓ white blood cell count, ↑↓ platelet count, ↑↓ serum sodium, potassium, or calcium.</p>
<p>If values exceed these laboratory reference ranges, clinical significance will be judged by the monitoring physicians. If the monitoring physician determines that the deviation from the reference range is not clinically significant, the patient may be included in the study. This decision will be documented.</p>","895a3b39-ce09-457b-bfb1-7b8671554744","27b","Laboratory values criteria","EligibilityCriterion_27"
"","EligibilityCriterion","EX20","<p>Central laboratory test values below reference range for folate, and Vitamin B 12 , and outside reference range for thyroid function tests.</p>
<ol type=""a"">
<li><p>Folate reference range 2.0 to 25.0 ng/mL. Patients will be allowed to enroll if their folate levels are above the upper end of the range if patients are taking vitamin supplements.</p>
<li><p>Vitamin B 12 reference range 130 to 900 pg/mL. Patients will be 
allowed to enroll if their B 12 levels are above the upper reference 
range if patients are taking oral vitamin supplements.</p>
<li><p>Thyroid functions</p>
<ol type=""i"">
<li><p>Thyroid Uptake reference range 25 to 38%. Patients will be allowed to enroll with results of 23 to 51% provided the remainder of the thyroid profile is normal and there are no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>TSH reference range 0.32 to 5.0. Patients will be allowed to enroll with results of 0.03 to 6.2 if patients are taking stable doses of exogenous thyroid supplements, with normal free thyroid index, and show no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>Total T4 reference range 4.5 to 12.5. Patients will be allowed to enroll with results of 4.1 to 13.4 if patients are taking stable doses of exogenous thyroid hormone, with normal free thyroid index, and show no clinical signs or symptoms of thyroid 
abnormality.</p></li>
<li><p>Free Thyroid Index reference range 1.1 to 4.6.</p></li>
</ol>
</ol>","7da72bb2-6065-432a-bbcb-01f58b134238","28b","Central laboratory values criteria","EligibilityCriterion_28"
"","EligibilityCriterion","EX21","<p>Positive syphilis screening.</p>
<p>Positive syphilis screening. As determined by positive RPR followed up by confirmatory FTA-Abs. Confirmed patients are excluded unless there is a documented medical history of an alternative disease (for example, yaws) which caused the lab abnormality.</p>","891b93c2-824c-4736-b29b-509921cb4e53","29b","Syphilia criteria","EligibilityCriterion_29"
"","EligibilityCriterion","EX22","<p>Glycosylated hemoglobin (A1C). Required only on patients with known diabetes mellitus or random blood sugar &gt;200 on screening labs. Patients will be excluded if levels are &gt;9.5%</p>","3bee1a64-7c43-4809-b53c-2e7594302694","30b","Hemoglobin criteria","EligibilityCriterion_30"
