"codeSystemVersion","codeSystem","id","uuid:ID","code","decode","instanceType"
"2023-12-15","http://www.cdisc.org","Code_92","04fd630b-2d68-419d-bd43-d305aeb51c77","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_93","eb8770c5-aa3a-425b-bb60-fd150dff832b","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_94","ae09f217-abff-4a0a-982b-c16dd461cc68","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_95","e0b4e346-130c-4a22-a90c-4bd1f295ba0b","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_96","09f7be6d-2990-4587-bd73-8eb7d64c2b78","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_97","f42cdf8c-7163-4e06-91b2-2d5ac786868f","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_98","1ddcac50-790f-41ce-9156-de12a46cfc0e","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_99","41d19176-cac7-4145-8fb4-47e9016bd5b6","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_100","bba42df8-4274-4947-9263-7d80661ec04a","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_101","5be0c07b-2cf5-474e-9fdb-5675e7ca7421","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_102","4c71163b-6506-415b-99a4-bed35fe064b7","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_103","f7fb08c6-19fa-40fc-b7ee-4ccea93e51b6","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_104","a934f174-7091-4290-8373-dccdcb2f9485","C171537","Telephone Call","Code"
"2023-12-15","http://www.cdisc.org","Code_105","213d2822-8f97-4860-9011-724f4775429c","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_106","8aa7b002-0c21-4204-a4cc-11c0a08cd04a","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_107","8536dac1-0a21-4ac5-8dba-a99f29e8f87b","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_108","70524cd0-395e-4bb1-9d7f-af010b69bd39","C171537","Telephone Call","Code"
"2023-12-15","http://www.cdisc.org","Code_109","93420ccd-ef7b-44b1-9354-abf59d397066","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_110","4822302c-6c8a-49ee-8c86-b70741bf4191","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_111","7bfad415-3add-457a-8956-41f8e49f44b8","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_112","e1596fdd-c31a-419a-8a58-6fc8bfa8ab24","C171537","Telephone Call","Code"
"2023-12-15","http://www.cdisc.org","Code_113","71ce5e65-db3a-437b-b168-e80b1d90da3c","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_114","aa3487ee-74b9-4eb4-ac70-7722e2f6fdef","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_115","7dd5506c-bcd0-48e6-b8a1-78e3a261520a","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_116","6c7175f0-f1de-42bd-8ed1-ba9a97b9526a","C171537","Telephone Call","Code"
"2023-12-15","http://www.cdisc.org","Code_117","cf3876cd-d60f-4002-82e8-48e4e79df35c","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_118","3c9a2dc8-298b-4440-b328-978de9a7ba71","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_119","27258152-7e44-42ef-943c-df44c56305aa","C175574","In Person","Code"
"2023-12-15","http://www.cdisc.org","Code_120","6d065f33-0f0a-40bc-accd-c61d486c2eaa","C25716","Visit","Code"
"2023-12-15","http://www.cdisc.org","Code_121","ffcd24e2-ab71-4e83-96ee-429bdf2629d1","C51282","Clinic","Code"
"2023-12-15","http://www.cdisc.org","Code_122","0bc5abb5-3b52-46d5-bff5-423cba81f15d","C175574","In Person","Code"
"January 31, 2018","SNOMED","Code_80","569ec3d3-f5f4-405e-9113-dd933182f2fc","383371000119108","CT of head without contrast","Code"
"12","SPONSOR","Code_81","4c5d5139-361b-4fb0-b105-81ae09a78ba3","123","Subject Supine","Code"
"12","SPONSOR","Code_82","cc4fc179-32a4-47e9-9f88-945628909282","124","Subject Standing","Code"
"2023-12-15","http://www.cdisc.org","Code_429","fd60a702-a79d-4e85-86e3-adda77e06df7","C82977","Dictionary-derived Term","Code"
"2023-12-15","http://www.cdisc.org","Code_430","b3ddfb5b-a0c1-439c-a576-881d2e1fbc41","C82571","Reported Event Term","Code"
"2023-12-15","http://www.cdisc.org","Code_431","ef6ed449-197a-48ed-955f-2136e37c4966","C82517","Observation Start Date Time","Code"
"2023-12-15","http://www.cdisc.org","Code_432","e0f08280-6731-4264-8f2e-383445a187c1","C16735","Informed Consent","Code"
"2023-12-15","http://www.cdisc.org","Code_433","7535615c-6abe-427e-ab42-de3e9f92297b","C20197","Male","Code"
"2023-12-15","http://www.cdisc.org","Code_434","7f92fce5-e54d-4687-a3f1-24df46d88424","C16576","Female","Code"
"2023-12-15","http://www.cdisc.org","Code_435","ea71d632-9388-403c-9c7a-7c1b05c5b06e","C28421","Sex","Code"
"2023-12-15","http://www.cdisc.org","Code_436","629a3987-57e9-434f-93b9-06cab8b23783","C28421","Sex","Code"
"2023-12-15","http://www.cdisc.org","Code_437","c23748c3-f64f-432c-9e96-d0b0bd33f1f8","C17049","Race","Code"
"2023-12-15","http://www.cdisc.org","Code_438","9cee7d26-a1d9-4e76-b009-5a5e63ba52aa","C17049","Race","Code"
"2023-12-15","http://www.cdisc.org","Code_439","fc7fda02-54a5-4eaa-8864-43cb34d5be3c","C174446","TEMP","Code"
"2023-12-15","http://www.cdisc.org","Code_440","e7d702df-86a5-4143-9200-b9160fcfbb0b","C77140","Clinical Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_441","58d3f3c2-7dbf-4c3c-8d48-56d4e0858233","C42559","Degree Celsius","Code"
"2023-12-15","http://www.cdisc.org","Code_442","12903cff-421e-4978-ad62-ff531b123642","C44277","Degree Fahrenheit","Code"
"2023-12-15","http://www.cdisc.org","Code_443","6c8f61ae-39c3-4a08-9378-f7586ae8a311","C42537","Kelvin","Code"
"2023-12-15","http://www.cdisc.org","Code_444","99c6406d-9e67-41ae-8db5-8af36fb3041f","C44276","Unit of Temperature","Code"
"2023-12-15","http://www.cdisc.org","Code_445","b393a1d9-17d2-4ea4-8b95-661cf70d218e","C12674","Axilla","Code"
"2023-12-15","http://www.cdisc.org","Code_446","9b6c4543-91f9-46d1-911f-2fed60c8fddd","C12394","Ear","Code"
"2023-12-15","http://www.cdisc.org","Code_447","1b3c58a4-6ea9-4b7d-b96c-19b0b88c9aaa","C89803","Forehead","Code"
"2023-12-15","http://www.cdisc.org","Code_448","a288a88f-817c-4179-854c-94622d0c83ff","C12421","Oral Cavity","Code"
"2023-12-15","http://www.cdisc.org","Code_449","4daeb0da-0e9b-4cf7-b16d-3a3bcdec9994","C12390","Rectum","Code"
"2023-12-15","http://www.cdisc.org","Code_450","347bafc6-a404-4c09-b491-d658bc741195","C13717","Anatomic Site","Code"
"2023-12-15","http://www.cdisc.org","Code_451","38b23757-63a9-4bc9-8b52-fc7b0b457977","C174446","TEMP","Code"
"2023-12-15","http://www.cdisc.org","Code_452","658671a1-09ff-4f2c-a821-976483bfca48","C25208","WEIGHT","Code"
"2023-12-15","http://www.cdisc.org","Code_453","666b6dc5-e9f3-4c59-a08e-ccbe80900136","C77140","Clinical Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_454","4c71eb3e-f7f6-4c80-9dc3-1378abc99479","C48531","Pound","Code"
"2023-12-15","http://www.cdisc.org","Code_455","d61b1685-6ca8-4e6d-a303-8dd0eb096d17","C48155","Gram","Code"
"2023-12-15","http://www.cdisc.org","Code_456","c3325e0b-526d-411e-9df9-b93d839370d8","C28252","Kilogram","Code"
"2023-12-15","http://www.cdisc.org","Code_457","f62fedb3-8ca5-4459-9606-8452c6ef179f","C48208","Unit of Weight","Code"
"2023-12-15","http://www.cdisc.org","Code_458","2a38373c-7a5d-49e8-bfad-1313cbf42c0d","C25208","WEIGHT","Code"
"2023-12-15","http://www.cdisc.org","Code_459","8bed8366-bc77-4008-aa26-8d0882eea841","C25347","HEIGHT","Code"
"2023-12-15","http://www.cdisc.org","Code_460","724f60e9-1ae9-47da-b820-e53d3451589a","C77140","Clinical Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_461","c9a4b869-d788-49bf-9ab6-272f4d0e5f86","C49668","Centimeter","Code"
"2023-12-15","http://www.cdisc.org","Code_462","687a0b99-262a-4f1f-8888-11107abb7e1b","C48500","Inch","Code"
"2023-12-15","http://www.cdisc.org","Code_463","4271a4ef-a6b1-47f0-a2f3-bb1e8085f4b6","C41139","Meter","Code"
"2023-12-15","http://www.cdisc.org","Code_464","8112818f-7094-457f-b765-f1625be62eb0","C168688","Unit of Height","Code"
"2023-12-15","http://www.cdisc.org","Code_465","20dba619-9d2c-4b5a-8c02-33854381ccad","C25347","HEIGHT","Code"
"2023-12-15","http://www.cdisc.org","Code_466","ed4d5a50-5411-4235-a07f-d809a5da0f18","C64433","ALT","Code"
"2023-12-15","http://www.cdisc.org","Code_467","113dc9a3-1b67-408e-ad3d-60a1328940ad","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_468","7c2071b7-7f72-494e-a1dd-2986c616e18c","C67456","Unit per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_469","61976856-c2af-458b-b268-90feb6f9a6c7","C67397","Microkatal per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_470","e29bff52-bbe7-40d3-963e-36f8781fc235","C67376","International Unit per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_471","be889737-ed19-406a-8f3e-a2fd8e64265a","C70510","Nanokatal per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_472","a3fd8339-86b6-48dd-b51a-9bf38f365394","C67365","Unit of Catalytic Activity Concentration","Code"
"2023-12-15","http://www.cdisc.org","Code_473","a66593f9-953b-4983-b1e5-be7ca29d02b1","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_474","07f8a51f-7944-4cb6-b653-5fde53e6e3b6","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_475","55dc7523-0857-4305-acfb-328af683a20f","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_476","f9578745-5549-4ab4-b5f1-f626951a29f0","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_477","4e27ad51-690c-4d6f-8be0-874824398754","C64433","ALT","Code"
"2023-12-15","http://www.cdisc.org","Code_478","b10d98fe-992a-45c2-9577-7d7ab654b067","C64431","ALB","Code"
"2023-12-15","http://www.cdisc.org","Code_479","1472f334-3dbd-4ddc-a2cb-749ca4b7dc4a","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_480","69be8567-6cc2-4ab0-b622-89b791e9addc","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_481","c3db65dc-565f-41fa-acb9-29b4d2ebca7c","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_482","58d2b70b-488f-464a-a4ee-6f1820ddd573","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_483","3b543494-0b7e-4630-a012-a57d67ec38fa","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_484","17df75cb-9517-41b6-b2b3-893a37623baf","C64431","ALB","Code"
"2023-12-15","http://www.cdisc.org","Code_485","5d147b72-d397-4a3d-8f6d-f63b643497ce","C64432","ALP","Code"
"2023-12-15","http://www.cdisc.org","Code_486","a8c8c25f-5227-4421-9ab6-72a8d4ad0c9c","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_487","0797103b-cbe1-453b-a870-aa1fa3163ec4","C67456","Unit per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_488","99d0249f-a740-44ba-a377-989483435728","C67397","Microkatal per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_489","88897acb-0a21-4b00-8886-ffb87b9ca1f3","C67376","International Unit per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_490","98d34766-b447-4273-b0ed-7f38342e6ba4","C67365","Unit of Catalytic Activity Concentration","Code"
"2023-12-15","http://www.cdisc.org","Code_491","dc9eb009-295d-4360-a069-a6b6973c151d","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_492","d724ff83-0993-45ad-9d39-7255f46fc9b2","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_493","e9229229-3150-427e-b3e2-acb9347d6805","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_494","ea3b9ed5-dac1-4a2e-b9e3-0561888adfd0","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_495","b0d86ba6-5f7c-42f9-99f7-3aa491752e47","C64432","ALP","Code"
"2023-12-15","http://www.cdisc.org","Code_496","1a9fcef5-b8f2-4bdc-bad8-9b4b82edaa02","C64467","AST","Code"
"2023-12-15","http://www.cdisc.org","Code_497","178ddb6a-2e50-45cf-8ae7-611154076053","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_498","8a033e9c-510f-4bfb-b0b3-a238804def5e","C67456","Unit per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_499","660b5353-a101-465e-979b-6bbef2f318ef","C67397","Microkatal per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_500","b388abcf-7957-471c-ab31-68900101c7cb","C67376","International Unit per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_501","8f61d6d6-d3bc-479a-8aae-5b40d28ceebc","C67365","Unit of Catalytic Activity Concentration","Code"
"2023-12-15","http://www.cdisc.org","Code_502","ab896e9b-a8d4-48ac-8a99-5335e318d5db","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_503","840061ec-0a7f-4139-85f5-bb59debbaa96","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_504","b48888bd-3076-4433-8ccb-954add68e878","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_505","b1f241e4-f756-45de-9580-2a9aee457585","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_506","512127cf-cff7-4e8f-8a89-34e6bcd7e45c","C64467","AST","Code"
"2023-12-15","http://www.cdisc.org","Code_507","91425422-0dfd-4230-9077-3ed40c0e022d","C64547","CREAT","Code"
"2023-12-15","http://www.cdisc.org","Code_508","f24c8bad-b844-45ed-8f2b-3514e9c25b8f","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_509","2be3d48b-4763-4c32-ba6f-911f92b01f41","C67015","Milligram per Deciliter","Code"
"2023-12-15","http://www.cdisc.org","Code_510","359b6922-0a02-41aa-b751-7c26699c3dd7","C64572","Microgram per Milliliter","Code"
"2023-12-15","http://www.cdisc.org","Code_511","91392d1e-3cd7-4cf7-b056-5c2ad0548a50","C64387","Millimole per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_512","dc0211f1-c589-4608-b6f8-096558c0a6f8","C48508","Micromole per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_513","240ecc72-622b-4b55-870e-08e399bc866e","C48207","Unit of Concentration","Code"
"2023-12-15","http://www.cdisc.org","Code_514","af968170-3f12-4f4d-97b6-86c4fc8bbff2","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_515","32b567ea-fc64-4063-80f7-56413c38396d","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_516","4d76b428-0cfd-498e-8ea7-11f961cc6137","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_517","6291f18f-e0f7-45c8-9575-35321b39abf1","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_518","99cb41cc-6712-42c8-b6c3-1f160807e536","C64547","CREAT","Code"
"2023-12-15","http://www.cdisc.org","Code_519","4bfb9ac8-0532-47df-a608-ad9b79b51f8d","C64853","K","Code"
"2023-12-15","http://www.cdisc.org","Code_520","3c03e495-6032-4e5e-bbc9-c8c5f4ef3d7c","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_521","6cb41ed1-2976-452e-a222-9f53a7df1ad3","C67474","Milliequivalent per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_522","52122b09-cf54-4282-aa21-bd15914f9ff8","C67473","Milliequivalent per Deciliter","Code"
"2023-12-15","http://www.cdisc.org","Code_523","be0445d1-f307-4c89-8e7a-f31e858e02f3","C64387","Millimole per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_524","7a68ec20-47f9-402a-8dba-631bc70126b1","C64567","Molarity Unit","Code"
"2023-12-15","http://www.cdisc.org","Code_525","99611d69-12ad-4351-a8e4-b9dbabeaae4c","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_526","4a548566-dd5e-4ccf-8bd2-b5929ce8c055","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_527","89fb83b3-c7d3-4239-a744-99338e28823c","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_528","b3872851-72e6-43a3-9ef9-64ab0e4bfa3a","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_529","a8934a52-28fd-4b19-a887-41e26560ae2d","C64853","K","Code"
"2023-12-15","http://www.cdisc.org","Code_530","a8e532d0-00c0-4dcc-8cbd-c4c9ac3b55fe","C64809","SODIUM","Code"
"2023-12-15","http://www.cdisc.org","Code_531","3195efc6-8f80-4f9b-8371-4efa087fa0bc","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_532","391fb23c-f89f-4cdb-8b9a-29e599e32ecf","C67474","Milliequivalent per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_533","741cca7f-7f84-4d02-bef2-ca6d4b94ef2d","C67473","Milliequivalent per Deciliter","Code"
"2023-12-15","http://www.cdisc.org","Code_534","441a8b47-68dd-4f92-9662-b7c00caaf317","C64387","Millimole per Liter","Code"
"2023-12-15","http://www.cdisc.org","Code_535","130ab97f-e906-4c1c-b3fc-0167b5d89682","C64567","Molarity Unit","Code"
"2023-12-15","http://www.cdisc.org","Code_536","06e983cc-9104-4500-9fc2-83d0bbece9a6","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_537","d428f232-d216-4fec-8e20-e5befdd11d36","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_538","518e66ae-6677-4737-8b92-9c21d17673f2","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_539","e599e068-f352-426d-81c8-626e936c354e","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_540","9ae3b7f5-e57f-4301-bd4c-77edbaf94ab9","C64809","SODIUM","Code"
"2023-12-15","http://www.cdisc.org","Code_541","96889405-e062-47da-ab7e-c52b3e31f382","C64849","HBA1C","Code"
"2023-12-15","http://www.cdisc.org","Code_542","03b2a671-7b46-4f94-bef2-7a5696c0d0e6","C36292","Laboratory Test Result","Code"
"2023-12-15","http://www.cdisc.org","Code_543","1497a693-bac4-44db-b2e8-90aef9c36135","C64783","Gram per Deciliter","Code"
"2023-12-15","http://www.cdisc.org","Code_544","af9469b2-c043-49ec-957f-3b76a3143d37","No Concept Code","LBORRESU","Code"
"2023-12-15","http://www.cdisc.org","Code_545","7dc5ecdb-9881-4fe4-a428-c42d7faa4a2f","C70713","Biospecimen Type","Code"
"2023-12-15","http://www.cdisc.org","Code_546","6296d8df-850b-4120-ab79-3a1260fdcb0b","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_547","d1aea2f0-4e09-4fa1-84b5-5bb2ae5cb3c4","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_548","526fd4e7-1260-4c0e-8068-57757dcfd515","C83309","Laboratory Test Fasting Status","Code"
"2023-12-15","http://www.cdisc.org","Code_549","2aae839e-6bda-4703-8f65-96cd6fed0325","C64849","HBA1C","Code"
"2023-12-15","http://www.cdisc.org","Code_145","edeaf031-4e57-400c-9d2a-5279ee09e641","C78541","Adverse Event Verbatim Description","Code"
"2023-12-15","http://www.cdisc.org","Code_146","1e26e9f5-2427-4ea5-95d5-dbcd6397babc","C83344","Adverse Event Dictionary Derived Term","Code"
"2023-12-15","http://www.cdisc.org","Code_147","d0c68865-3d12-4843-bbed-ace9e1cb60ae","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_148","fded7e5b-526a-494d-b894-8118c5c98520","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_149","b7a6f5e2-94f6-47de-a26b-9e648b3ecc2f","C87840","Adverse Event Pre-specified","Code"
"2023-12-15","http://www.cdisc.org","Code_150","30452a57-f0bd-41d0-916a-30be96496645","C83205","Adverse Event Location","Code"
"2023-12-15","http://www.cdisc.org","Code_151","0bb48ed9-cc27-46bc-babd-9941a744a419","C53253","Severity of Adverse Event","Code"
"2023-12-15","http://www.cdisc.org","Code_152","90b67f44-bdef-48bf-a637-150072f2fc94","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_153","abd61e70-9bb0-4b14-920a-81562e0c6c3f","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_154","9fd124f4-64c8-4278-91d9-94cf2aa68338","C53252","Seriousness of Adverse Event","Code"
"2023-12-15","http://www.cdisc.org","Code_155","16d4daba-d885-43d9-a23b-fce95ff735e5","C83013","Adverse Event Action Taken with Study Treatment","Code"
"2023-12-15","http://www.cdisc.org","Code_156","c9cfd39f-0f12-490e-a0a8-67fffc40a76b","C83109","Other Actions taken in Response to Adverse Event","Code"
"2023-12-15","http://www.cdisc.org","Code_157","4688b80b-d13b-4697-905c-20aadfde0799","C41358","Adverse Event Attribution to Product or Procedure","Code"
"2023-12-15","http://www.cdisc.org","Code_158","f0642580-6272-48b2-b03c-8dfddcb9d0d3","C83210","Adverse Event Relationship to Non Study Treatment","Code"
"2023-12-15","http://www.cdisc.org","Code_159","b1b133c5-e48e-4da9-9c9e-5c9429ad1d84","C83208","Adverse Event Pattern","Code"
"2023-12-15","http://www.cdisc.org","Code_160","1e8fe536-625f-4331-876c-d8140f1ede28","C49489","Adverse Event Outcome","Code"
"2023-12-15","http://www.cdisc.org","Code_161","bdae5936-7036-4b4d-9c60-236b0949043c","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_162","0e08fd13-43b7-45b7-a9ad-6d78b835d1c7","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_163","e4919cbc-e47b-4c33-8ca1-65d04577cbb3","C83211","Adverse Event Involves Cancer","Code"
"2023-12-15","http://www.cdisc.org","Code_164","d5239755-a297-4721-9e8b-b103507c0181","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_165","316cda0c-0663-4275-aec7-938477269da7","C49488","Yes","Code"
"2023-12-15","http://www.cdisc.org","Code_166","fb0e3096-4606-430a-9b7e-08c51b628f62","C83117","Adverse Event Seriousness Due to Congenital Anomaly","Code"
"2023-12-15","http://www.cdisc.org","Code_167","76c423a0-37b1-40b4-9839-0ffbe314c87c","C49487","No","Code"
"2023-12-15","http://www.cdisc.org","Code_168","459e9689-2ec4-4f69-9cff-9feba724c168","C49488","Yes","Code"
