"name","reference","synonyms","id","uuid:ID","label","instanceType"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","36372693-ffd9-478b-bce4-3b5fba46d26c","Creatinine Concentration in Urine","BiomedicalConcept"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","cf739e99-af42-4f52-9655-bb68dc57b980","Potassium Concentration in Urine","BiomedicalConcept"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","b21f27c5-3e7d-47be-b719-8ce508f13cd1","Sodium Concentration in Urine","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","24d9c518-9b56-4e7a-9d89-bd55d460a2de","Hemoglobin A1C Concentration in Blood","BiomedicalConcept"
"Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","39947b69-8304-444a-9af9-c88651a80b1c","Adverse Event Prespecified","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","414f5204-d269-470e-931a-34f0ce767eb3","Systolic Blood Pressure","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","d3e18548-f51a-44f0-afa3-038798dacc3c","Diastolic Blood Pressure","BiomedicalConcept"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_4","9540d89c-1f21-48bd-89e4-ac582935d22c","Temperature","BiomedicalConcept"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_5","466204bb-09c4-4064-ab29-7469c5c74fa1","Weight","BiomedicalConcept"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_6","7045ff39-0b99-4af5-ba73-8f3f1a0b88b7","Height","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","1202c380-c7fa-46b6-87f1-7038c10be371","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","58a96297-394b-416a-9825-d3a3f12c983f","Albumin Presence in Urine","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","cd0655f3-473e-4fb7-9664-ae3e63641581","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","eaeeecd1-fcc8-4ab9-bf38-f587483c6464","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","5896918d-d34a-4766-9039-03ba5d6065fe","Creatinine Concentration in Urine","BiomedicalConcept"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","6113100a-2639-44c1-bd4e-ffe6325bb9d4","Potassium Concentration in Urine","BiomedicalConcept"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","31b96857-7236-4d07-9567-de96a56f54d8","Sodium Concentration in Urine","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","2ecf555f-f35d-4af7-b0a2-279ad31acc71","Systolic Blood Pressure","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","890b8c40-7b11-41e5-86a6-c60c4b2f6a29","Diastolic Blood Pressure","BiomedicalConcept"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_16","5db48e61-c1ed-46c9-8690-58b9e3dcf7ff","Heart Rate","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","1d23cdcc-02a6-48c0-8dd8-df1f3bbfac1d","Systolic Blood Pressure","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","2d691d12-2b36-4e78-896a-1005b549381f","Diastolic Blood Pressure","BiomedicalConcept"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_19","1bd1cb95-6c68-4d54-941d-78f61f6b639a","Heart Rate","BiomedicalConcept"
