"decode","instanceType","uuid:ID","id","codeSystem","code","codeSystemVersion"
"EXTENSION","Code","efec1ef8-a081-4d2b-9cfc-57802c40e796","Code_143","http://www.cdisc.org","C99907x1","2023-12-15"
"ADAPTIVE","Code","4665c9f0-2fc1-4e87-85bc-4fbf4598334f","Code_144","http://www.cdisc.org","C98704","2023-12-15"
"Parallel Study","Code","8f690d7e-a6ed-4248-a52b-efebc9612de7","Code_141","http://www.cdisc.org","C82639","2023-12-15"
"Visit","Code","c1efcdff-3e6e-4c92-994d-f766eec0537a","Code_83","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","5a153a63-e58c-492c-8fb3-dd30fc4a0f31","Code_84","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","33ca5f42-cf99-4005-97cd-d231802993eb","Code_85","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","fabd9038-c624-454a-96c7-33e38819a627","Code_86","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","b5c1c8ac-e107-4934-a76f-b0d22fc20596","Code_87","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","c48ef808-809f-4d2d-947c-441db26829f3","Code_88","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","1f7f28aa-77bc-4b00-be30-eca5196796c6","Code_89","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","e6d158da-04e1-4623-925f-3999d4d0ded5","Code_90","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","c1f66a65-14fe-4964-9a42-08b1f8d89a95","Code_91","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","20537d53-f95b-48f0-8e3c-2c177c412da0","Code_92","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","6a374172-a420-4f50-b78a-099e5371d9bd","Code_93","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","19a477c9-0e83-45dd-a392-10c1e084d705","Code_94","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","5eca3320-1adf-450e-a90a-880bf48f587f","Code_95","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","7789e257-0752-4592-9b49-1e15e4a17cb8","Code_96","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","568021bf-440f-4c59-8ae4-1ea9b01471f1","Code_97","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","fdb22328-02ff-4eb1-839b-0a6f393d84e5","Code_98","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","b23ddcd5-7c47-4b67-95e6-0d755e602e70","Code_99","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","f94432b1-0b3d-4a21-94ad-e6b93c9b6560","Code_100","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","945855d4-ef9a-40ce-b69e-8b514159b326","Code_101","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","1cd4f7e8-df1a-4a0e-a5ac-430dfe943dfd","Code_102","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","b969594a-2387-4d8f-9aa1-810a5c34896c","Code_103","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","7196ba0b-2e47-4133-ab5b-4188323ab278","Code_104","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","02bf7b4f-183d-429f-954e-44e2be509a46","Code_105","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","4670afcb-6bcc-40e9-9d75-841f7c7deebc","Code_106","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","dce2eccd-d442-4e76-92cc-4050b8f2f1cf","Code_107","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","14a68b96-ea90-43c4-a7ee-394bacadd93d","Code_108","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","119e891c-db8f-49f7-9eec-4ef90dbd4bdf","Code_109","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","903d88b5-2288-4a0f-aaa3-8b607951e816","Code_110","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","cccc7612-4891-49a2-8958-22945859168e","Code_111","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","a6c0d248-d0f9-491b-92a3-1ebfbf52b475","Code_112","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","d7604df8-f6f4-4338-bd0b-3e46ec214af5","Code_113","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","5c5a91f6-4cbf-40b9-a685-25a4c4db2ed5","Code_114","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","5112c5d7-8a23-4dfb-b98b-ac9e2b25ebb7","Code_115","http://www.cdisc.org","C175574","2023-12-15"
"Telephone Call","Code","faa6f09c-3b48-4a8c-ad53-8a9a6a31da53","Code_116","http://www.cdisc.org","C171537","2023-12-15"
"Visit","Code","256e039b-e44a-4150-a03d-848f1ce6111d","Code_117","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","f39fc16d-4e78-4ed5-a979-7e12b4ee19cf","Code_118","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","543e8eff-ca77-4727-beaa-b7aa5325a9c6","Code_119","http://www.cdisc.org","C175574","2023-12-15"
"Visit","Code","5fd76870-520a-4239-aaf2-09a9bed2e2e5","Code_120","http://www.cdisc.org","C25716","2023-12-15"
"Clinic","Code","893e17ab-cd0d-435b-bb15-9efb1d5ca984","Code_121","http://www.cdisc.org","C51282","2023-12-15"
"In Person","Code","15ed0f4d-4b87-48ed-a7a7-2545750f1011","Code_122","http://www.cdisc.org","C175574","2023-12-15"
"CT of head without contrast","Code","85a1e454-166c-470c-8bf3-293425760244","Code_80","SNOMED","383371000119108","January 31, 2018"
"Subject Supine","Code","7eb3ca1f-b512-4d6d-b22f-41bfcff6cd29","Code_81","SPONSOR","123","12"
"Subject Standing","Code","92f3537d-2950-4ab0-bbcb-8736b707f7e7","Code_82","SPONSOR","124","12"
"Dictionary-derived Term","Code","592c2b19-c967-45bd-8d3b-84ee2548e484","Code_429","http://www.cdisc.org","C82977","2023-12-15"
"Reported Event Term","Code","f95a1125-56f6-4125-bb68-02873c6edb53","Code_430","http://www.cdisc.org","C82571","2023-12-15"
"Observation Start Date Time","Code","685b4838-a986-4553-bd1d-5f6a8515da7a","Code_431","http://www.cdisc.org","C82517","2023-12-15"
"Informed Consent","Code","03d19b25-b632-4722-9703-13bd809b0d17","Code_432","http://www.cdisc.org","C16735","2023-12-15"
"Male","Code","df2c30e0-85cb-4d14-a2bc-455bfc7abcc0","Code_433","http://www.cdisc.org","C20197","2023-12-15"
"Female","Code","155a7044-8331-4cd0-b428-a808fdc19419","Code_434","http://www.cdisc.org","C16576","2023-12-15"
"Sex","Code","c5e18d8b-859c-4558-82a9-f96dd3e92843","Code_435","http://www.cdisc.org","C28421","2023-12-15"
"Sex","Code","044c143f-5ee2-47fc-99aa-003b9d94c386","Code_436","http://www.cdisc.org","C28421","2023-12-15"
"Race","Code","8888cf43-097f-4810-9f5f-8f3c64c740fd","Code_437","http://www.cdisc.org","C17049","2023-12-15"
"Race","Code","91e04213-3f3e-490e-92e6-837aa2c0673b","Code_438","http://www.cdisc.org","C17049","2023-12-15"
"TEMP","Code","b9e5c4e1-0ab7-473a-9427-e94dbd113d98","Code_439","http://www.cdisc.org","C174446","2023-12-15"
"Clinical Test Result","Code","d52d4fc1-209b-4895-bf77-f912dc1f91b0","Code_440","http://www.cdisc.org","C77140","2023-12-15"
"Degree Celsius","Code","d46dfb92-77c0-4f9a-bf38-09dc846c7de9","Code_441","http://www.cdisc.org","C42559","2023-12-15"
"Degree Fahrenheit","Code","fa28ae5c-6952-404a-b957-bfb80a7f5a93","Code_442","http://www.cdisc.org","C44277","2023-12-15"
"Kelvin","Code","4c23cbf8-77b0-4884-a0ee-ef5ee4ed74c9","Code_443","http://www.cdisc.org","C42537","2023-12-15"
"Unit of Temperature","Code","cbd51463-224a-4fdb-bde4-5e8d1dcac1bd","Code_444","http://www.cdisc.org","C44276","2023-12-15"
"Axilla","Code","6f173160-22cb-4dbb-81c4-ac804ccd670f","Code_445","http://www.cdisc.org","C12674","2023-12-15"
"Ear","Code","30eee4ae-f6d3-4a12-a487-91fe4259bae3","Code_446","http://www.cdisc.org","C12394","2023-12-15"
"Forehead","Code","6b31357f-d219-4d3c-8713-65588d800b80","Code_447","http://www.cdisc.org","C89803","2023-12-15"
"Oral Cavity","Code","ba01e220-aad5-4f5c-bd94-cb032df1745f","Code_448","http://www.cdisc.org","C12421","2023-12-15"
"Rectum","Code","6b2728c6-c487-4c5e-a46f-9c96226c8ed2","Code_449","http://www.cdisc.org","C12390","2023-12-15"
"Anatomic Site","Code","469c683e-dcac-473a-9cfc-e1e7d524945e","Code_450","http://www.cdisc.org","C13717","2023-12-15"
"TEMP","Code","70ca1f0b-60ad-40bc-b22f-f5ba0d795645","Code_451","http://www.cdisc.org","C174446","2023-12-15"
"WEIGHT","Code","5b2baee6-f915-4c79-9e0b-d822cf03dcf6","Code_452","http://www.cdisc.org","C25208","2023-12-15"
"Clinical Test Result","Code","c983bc0b-8400-4f4e-a0e3-ff5503785435","Code_453","http://www.cdisc.org","C77140","2023-12-15"
"Pound","Code","0f2a7403-74b9-4b48-8f38-293c5d6abd5e","Code_454","http://www.cdisc.org","C48531","2023-12-15"
"Gram","Code","fbf96252-038d-4083-bc90-469a1357b748","Code_455","http://www.cdisc.org","C48155","2023-12-15"
"Kilogram","Code","ddf9789d-b892-4101-974b-e880fe21cc6e","Code_456","http://www.cdisc.org","C28252","2023-12-15"
"Unit of Weight","Code","12e67cb2-7a73-48f2-b516-d85a558deeb8","Code_457","http://www.cdisc.org","C48208","2023-12-15"
"WEIGHT","Code","e2abafb0-0563-490e-818c-45124f1e419d","Code_458","http://www.cdisc.org","C25208","2023-12-15"
"HEIGHT","Code","92187073-84cb-4f7e-ad60-e4a1cc007245","Code_459","http://www.cdisc.org","C25347","2023-12-15"
"Clinical Test Result","Code","c2e77215-6a5d-4a51-a642-ce2142756951","Code_460","http://www.cdisc.org","C77140","2023-12-15"
"Centimeter","Code","fc8b971a-a47b-4d7a-9134-dcfe89692769","Code_461","http://www.cdisc.org","C49668","2023-12-15"
"Inch","Code","3f407597-e38d-457c-b47e-40aee9b37a3a","Code_462","http://www.cdisc.org","C48500","2023-12-15"
"Meter","Code","7a7d34b7-c7a6-44ae-805d-7de29823766c","Code_463","http://www.cdisc.org","C41139","2023-12-15"
"Unit of Height","Code","20e22ada-7bc5-4c40-8c83-54c4f6a5a579","Code_464","http://www.cdisc.org","C168688","2023-12-15"
"HEIGHT","Code","251ded1a-f3b7-41f4-a867-4ff3e12ed1c7","Code_465","http://www.cdisc.org","C25347","2023-12-15"
"ALT","Code","7c72493b-0309-4b8d-894f-9ce556a69878","Code_466","http://www.cdisc.org","C64433","2023-12-15"
"Laboratory Test Result","Code","0dbe2a06-2011-4d10-a178-5ce0bd34c411","Code_467","http://www.cdisc.org","C36292","2023-12-15"
"Unit per Liter","Code","842cdd8e-3b16-4cf9-aaba-b04e9f4e4f27","Code_468","http://www.cdisc.org","C67456","2023-12-15"
"Microkatal per Liter","Code","a8025413-703e-4fa0-95f5-e56de0b968fa","Code_469","http://www.cdisc.org","C67397","2023-12-15"
"International Unit per Liter","Code","7e8169f3-d877-4c9d-98f7-8e0f2227c319","Code_470","http://www.cdisc.org","C67376","2023-12-15"
"Nanokatal per Liter","Code","e917b150-b2ae-484a-91e6-d48892f2521b","Code_471","http://www.cdisc.org","C70510","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","ee25074e-44b3-47f7-89a2-3f1a5bac1d46","Code_472","http://www.cdisc.org","C67365","2023-12-15"
"Biospecimen Type","Code","ea3d87b6-d80e-4448-9d9a-9393617c0322","Code_473","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","39d09923-396e-4432-b669-e103bd99581d","Code_474","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","07f26cc4-3fd6-4483-9be6-0405b06960ea","Code_475","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","e19875fc-f84b-4f4b-8cc2-9f459fbc34c6","Code_476","http://www.cdisc.org","C83309","2023-12-15"
"ALT","Code","6bad1ee7-2095-452e-873a-4cdce8f05ba4","Code_477","http://www.cdisc.org","C64433","2023-12-15"
"ALB","Code","82f9b3f6-ebf3-49c1-8ac4-c31bf75da9a4","Code_478","http://www.cdisc.org","C64431","2023-12-15"
"Laboratory Test Result","Code","3f6d2773-eb0c-4093-8b25-91ed3bc1d918","Code_479","http://www.cdisc.org","C36292","2023-12-15"
"Biospecimen Type","Code","aa584fd2-ab6d-4a6c-8528-1dd0317cfba0","Code_480","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","c34c9516-ce22-4c5f-8129-e715a9825ee4","Code_481","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","e4f9dc26-1d42-41f1-8245-04db34494476","Code_482","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","4f9610dd-34b9-4018-ab86-3e03d3f7b305","Code_483","http://www.cdisc.org","C83309","2023-12-15"
"ALB","Code","0864fcfe-2022-4162-b09d-f95c6423f98d","Code_484","http://www.cdisc.org","C64431","2023-12-15"
"ALP","Code","4a5163bd-164b-4865-a8d1-baa3fffffeb6","Code_485","http://www.cdisc.org","C64432","2023-12-15"
"Laboratory Test Result","Code","8bd1c9f1-aaa6-4c2a-b949-1674f91b4a81","Code_486","http://www.cdisc.org","C36292","2023-12-15"
"Unit per Liter","Code","9abc5943-3df3-4c66-bfb2-fb9043e5525f","Code_487","http://www.cdisc.org","C67456","2023-12-15"
"Microkatal per Liter","Code","d756875c-1f14-4b03-953b-fae4ef26085e","Code_488","http://www.cdisc.org","C67397","2023-12-15"
"International Unit per Liter","Code","982a6d57-a92c-4cd9-bde9-290ee43a0fc1","Code_489","http://www.cdisc.org","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","4b84c632-6a33-4b2b-aa89-fe9c00e6ccd0","Code_490","http://www.cdisc.org","C67365","2023-12-15"
"Biospecimen Type","Code","3eacfdb5-950f-43fa-9799-4d1d2f83d124","Code_491","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","1caa6617-b9ae-47f8-8a48-496bf7b54501","Code_492","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","b997ec21-a0e1-4f4f-937c-8b6bd42aacd4","Code_493","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","85d3883f-43e7-4de4-a704-91396006553f","Code_494","http://www.cdisc.org","C83309","2023-12-15"
"ALP","Code","016ee194-66bd-46e1-8e65-04d4a116ca67","Code_495","http://www.cdisc.org","C64432","2023-12-15"
"AST","Code","b5126ad0-eaff-4fd5-9b44-9ccd347d5a3f","Code_496","http://www.cdisc.org","C64467","2023-12-15"
"Laboratory Test Result","Code","856d1b67-9d69-4225-9656-d709b256095c","Code_497","http://www.cdisc.org","C36292","2023-12-15"
"Unit per Liter","Code","adea66e8-482d-44a8-a0d5-e3586588b3f4","Code_498","http://www.cdisc.org","C67456","2023-12-15"
"Microkatal per Liter","Code","8ac0f442-fb4b-48d6-a7be-28b214e50a10","Code_499","http://www.cdisc.org","C67397","2023-12-15"
"International Unit per Liter","Code","76829528-6f04-478e-a467-d847252f47dc","Code_500","http://www.cdisc.org","C67376","2023-12-15"
"Unit of Catalytic Activity Concentration","Code","b761a3b2-457b-4d29-a0cb-b3480628c4bf","Code_501","http://www.cdisc.org","C67365","2023-12-15"
"Biospecimen Type","Code","8c82b6ba-a341-4ac7-95e9-930dc0fa98d4","Code_502","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","6581a48e-b7e6-46d9-a297-c25aa85139f7","Code_503","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","b4bc8904-3506-454f-a598-68313f3a4923","Code_504","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","a764d4a4-a7c7-475d-b0f7-2c4f496d4c8f","Code_505","http://www.cdisc.org","C83309","2023-12-15"
"AST","Code","c88c950e-cc03-4e3f-9e28-8cb78e46b111","Code_506","http://www.cdisc.org","C64467","2023-12-15"
"CREAT","Code","e91a4004-52a2-4cee-bc9b-98336c5d1ec5","Code_507","http://www.cdisc.org","C64547","2023-12-15"
"Laboratory Test Result","Code","3beb8bee-5129-46d2-b5bd-96a3af082f68","Code_508","http://www.cdisc.org","C36292","2023-12-15"
"Milligram per Deciliter","Code","f735a81c-6793-4a43-af12-e82e270c93f4","Code_509","http://www.cdisc.org","C67015","2023-12-15"
"Microgram per Milliliter","Code","27e097c0-e704-46f3-aeff-4d9759723282","Code_510","http://www.cdisc.org","C64572","2023-12-15"
"Millimole per Liter","Code","6a5c1744-0f53-4fe6-b1c4-e3a9de21a0ed","Code_511","http://www.cdisc.org","C64387","2023-12-15"
"Micromole per Liter","Code","7c8cd720-b465-4e8a-9161-176164edc55e","Code_512","http://www.cdisc.org","C48508","2023-12-15"
"Unit of Concentration","Code","ffc90711-ead9-4d30-9fbd-aa7d0c1a621d","Code_513","http://www.cdisc.org","C48207","2023-12-15"
"Biospecimen Type","Code","fca1cf76-650c-4561-8b25-c11ee00329f7","Code_514","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","ac4631ba-1988-4a8e-bc6d-d2b8c68b5b99","Code_515","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","cace279f-8c3a-4e38-be0f-de4764543aa6","Code_516","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","1f1e528d-267c-4ac6-83dd-f8e059a75497","Code_517","http://www.cdisc.org","C83309","2023-12-15"
"CREAT","Code","36e38448-4595-4853-8882-8c747893bbdd","Code_518","http://www.cdisc.org","C64547","2023-12-15"
"K","Code","a40f0bc8-b777-43a3-8211-8cbce8f5bfca","Code_519","http://www.cdisc.org","C64853","2023-12-15"
"Laboratory Test Result","Code","9e68d1d9-411d-4a06-ba14-763cbfbe8a65","Code_520","http://www.cdisc.org","C36292","2023-12-15"
"Milliequivalent per Liter","Code","70042b1c-5981-432a-9034-e67a5c03e09b","Code_521","http://www.cdisc.org","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","3304df9b-a6bb-4636-865d-57a4bbd7bb85","Code_522","http://www.cdisc.org","C67473","2023-12-15"
"Millimole per Liter","Code","b654a38e-765f-48f2-ad47-e19b0caa9f5a","Code_523","http://www.cdisc.org","C64387","2023-12-15"
"Molarity Unit","Code","9d2c6de5-17d0-46ad-a09f-5c811d665603","Code_524","http://www.cdisc.org","C64567","2023-12-15"
"Biospecimen Type","Code","92abd393-f12d-40fb-93ac-db5a4faaa085","Code_525","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","38fc9677-9d56-4661-9c59-44ffa3e99d90","Code_526","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","fd0a1b05-12f8-4c3f-ba36-957cc56d88a1","Code_527","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","3c09d185-7f74-435b-b630-f4314da42404","Code_528","http://www.cdisc.org","C83309","2023-12-15"
"K","Code","1dbec3bc-cf73-443e-a51a-386269587cf4","Code_529","http://www.cdisc.org","C64853","2023-12-15"
"SODIUM","Code","f3c634dc-cc0d-471b-bcde-8613bd6d38bd","Code_530","http://www.cdisc.org","C64809","2023-12-15"
"Laboratory Test Result","Code","825f7160-619d-4297-913f-63e07a620cf1","Code_531","http://www.cdisc.org","C36292","2023-12-15"
"Milliequivalent per Liter","Code","06a9b309-c128-41fb-a96b-8b7b1b402db6","Code_532","http://www.cdisc.org","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","22ad8e01-8cbf-4d28-bb96-7098f5481489","Code_533","http://www.cdisc.org","C67473","2023-12-15"
"Millimole per Liter","Code","05b089a7-4f6d-407b-b429-64b64cb60f95","Code_534","http://www.cdisc.org","C64387","2023-12-15"
"Molarity Unit","Code","1a6c9f2c-8cfe-4ebc-a966-ebbd73a78d8b","Code_535","http://www.cdisc.org","C64567","2023-12-15"
"Biospecimen Type","Code","297e4de5-71c1-43bb-b9ce-0c8a1ee5f1d8","Code_536","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","15531b81-c9d1-4dcc-af1d-52a86ec18510","Code_537","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","a9c36603-d608-405d-af13-4bb5b17c3370","Code_538","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","e6eab657-a73a-4789-9c65-8bba98f0e884","Code_539","http://www.cdisc.org","C83309","2023-12-15"
"SODIUM","Code","8152be6f-cda1-4e69-a6d6-f6f7f69221d7","Code_540","http://www.cdisc.org","C64809","2023-12-15"
"HBA1C","Code","9f09d2a6-aac4-493b-a287-1e5d9e1f29f1","Code_541","http://www.cdisc.org","C64849","2023-12-15"
"Laboratory Test Result","Code","d5e52f8d-c059-49ef-9f6a-1cabf2f27467","Code_542","http://www.cdisc.org","C36292","2023-12-15"
"Gram per Deciliter","Code","e62efca2-6a85-4785-b691-30ce603917d1","Code_543","http://www.cdisc.org","C64783","2023-12-15"
"LBORRESU","Code","39000782-6417-4775-b8a9-cf076b2b1189","Code_544","http://www.cdisc.org","No Concept Code","2023-12-15"
"Biospecimen Type","Code","7bd6468e-3edf-4cd3-818c-14b19956b78e","Code_545","http://www.cdisc.org","C70713","2023-12-15"
"No","Code","deef3d5d-1e90-48b6-8f34-e6aac966236b","Code_546","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","7c95b1fa-5ddc-4ddd-9a11-b413db785c8d","Code_547","http://www.cdisc.org","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","5b1083ed-575f-4a44-aa1c-3e904f9a58ca","Code_548","http://www.cdisc.org","C83309","2023-12-15"
"HBA1C","Code","feb41ff4-5f19-4111-b199-8d05048b8eff","Code_549","http://www.cdisc.org","C64849","2023-12-15"
"Adverse Event Verbatim Description","Code","1c4f6d4e-c528-484d-ba6e-35dd9a304a74","Code_145","http://www.cdisc.org","C78541","2023-12-15"
"Adverse Event Dictionary Derived Term","Code","fff5692e-ed14-4102-90da-cabc9363200c","Code_146","http://www.cdisc.org","C83344","2023-12-15"
"No","Code","b4130d06-3666-497c-b9c7-0bd300a6b146","Code_147","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","2b1e837d-a121-4fb0-b69e-11e035edc1cc","Code_148","http://www.cdisc.org","C49488","2023-12-15"
"Adverse Event Pre-specified","Code","912e5618-a75a-4cea-b1e0-273078025c08","Code_149","http://www.cdisc.org","C87840","2023-12-15"
"Adverse Event Location","Code","94a55890-6752-4813-b78e-54bfbd8bb3cf","Code_150","http://www.cdisc.org","C83205","2023-12-15"
"Severity of Adverse Event","Code","26b07025-ba59-4e2f-8d38-8733d3bce36a","Code_151","http://www.cdisc.org","C53253","2023-12-15"
"No","Code","c71117fb-22f0-4dd8-8130-8f799a003303","Code_152","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","9be75b77-b8cc-4a37-9cb0-7adb661d9e4f","Code_153","http://www.cdisc.org","C49488","2023-12-15"
"Seriousness of Adverse Event","Code","5304449e-518f-4dd5-8d83-012de79b2131","Code_154","http://www.cdisc.org","C53252","2023-12-15"
"Adverse Event Action Taken with Study Treatment","Code","32e72e47-551f-4258-9d53-f4af26b8e675","Code_155","http://www.cdisc.org","C83013","2023-12-15"
"Other Actions taken in Response to Adverse Event","Code","df9300f6-8469-4c07-ab7f-91eff62090a3","Code_156","http://www.cdisc.org","C83109","2023-12-15"
"Adverse Event Attribution to Product or Procedure","Code","575e70d0-170f-4fbf-9a30-9d47269f2ae5","Code_157","http://www.cdisc.org","C41358","2023-12-15"
"Adverse Event Relationship to Non Study Treatment","Code","86cf486e-92c3-40b9-b41a-4feece271397","Code_158","http://www.cdisc.org","C83210","2023-12-15"
"Adverse Event Pattern","Code","2b8615d5-6458-4483-b762-eb4b3edd00e9","Code_159","http://www.cdisc.org","C83208","2023-12-15"
"Adverse Event Outcome","Code","3b84b7d2-9b41-467e-8313-f865e00f9bde","Code_160","http://www.cdisc.org","C49489","2023-12-15"
"No","Code","4963047b-b9d8-45a9-8d3a-d3c5a2512351","Code_161","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","c996dec5-ffab-4386-8d5c-10ebd4506391","Code_162","http://www.cdisc.org","C49488","2023-12-15"
"Adverse Event Involves Cancer","Code","2c7c9a51-8b64-4834-8731-fe158d80d221","Code_163","http://www.cdisc.org","C83211","2023-12-15"
"No","Code","1d78d894-c185-470f-bb3e-76282b3d8506","Code_164","http://www.cdisc.org","C49487","2023-12-15"
"Yes","Code","a992259e-1eab-435e-98af-4ba75049b077","Code_165","http://www.cdisc.org","C49488","2023-12-15"
"Adverse Event Seriousness Due to Congenital Anomaly","Code","1e9a82d6-9eb3-4c74-83e8-e32c5cf789a3","Code_166","http://www.cdisc.org","C83117","2023-12-15"
"No","Code","29f1e61a-d889-4647-82d6-e7e376964e91","Code_167","http://www.cdisc.org","C49487","2023-12-15"
