"codeSystem","code","id","instanceType","codeSystemVersion","decode","uuid:ID"
"http://www.cdisc.org","C51282","Code_90","Code","2023-12-15","Clinic","c61d5dcf-05a0-480e-8329-b5262c5a075a"
"http://www.cdisc.org","C175574","Code_91","Code","2023-12-15","In Person","da6c2f46-20d6-4882-99ee-4cb368554f9b"
"http://www.cdisc.org","C25716","Code_92","Code","2023-12-15","Visit","6690476d-79a7-446c-87bf-11e158ea95c5"
"http://www.cdisc.org","C51282","Code_93","Code","2023-12-15","Clinic","37d8132d-a5c1-428f-82a3-99d10fb63b38"
"http://www.cdisc.org","C175574","Code_94","Code","2023-12-15","In Person","cea53c13-7a56-4f95-b399-1a1c56f5319b"
"http://www.cdisc.org","C25716","Code_95","Code","2023-12-15","Visit","f3c4bb0c-4241-49a6-b221-18d3790c61f9"
"http://www.cdisc.org","C51282","Code_96","Code","2023-12-15","Clinic","b296b682-5592-46fe-b47c-40ac154e039e"
"http://www.cdisc.org","C175574","Code_97","Code","2023-12-15","In Person","583a27a8-54a3-4350-a7e3-44ea3bc20b5a"
"http://www.cdisc.org","C25716","Code_98","Code","2023-12-15","Visit","859a1927-6cf1-49c3-a2b0-1e03dcae9abd"
"http://www.cdisc.org","C51282","Code_99","Code","2023-12-15","Clinic","cbf27779-46c3-4969-9760-2c2908aeb20a"
"http://www.cdisc.org","C175574","Code_100","Code","2023-12-15","In Person","611af918-af8a-4313-b413-94ec74732588"
"http://www.cdisc.org","C25716","Code_101","Code","2023-12-15","Visit","742fb9ef-35e3-47af-9ed7-15353b8e8fb7"
"http://www.cdisc.org","C51282","Code_102","Code","2023-12-15","Clinic","3b634022-e34f-4170-94a5-e59c55981fb2"
"http://www.cdisc.org","C175574","Code_103","Code","2023-12-15","In Person","d77c756b-58bc-4b37-ab3f-5217f397d282"
"http://www.cdisc.org","C171537","Code_104","Code","2023-12-15","Telephone Call","1866e626-0947-445d-9e96-bf21899b3e02"
"http://www.cdisc.org","C25716","Code_105","Code","2023-12-15","Visit","14343bbe-97b0-416e-be5a-8b00978a36cd"
"http://www.cdisc.org","C51282","Code_106","Code","2023-12-15","Clinic","64777253-b7bc-4014-a265-672c36fa1dc6"
"http://www.cdisc.org","C175574","Code_107","Code","2023-12-15","In Person","a7cff8a1-d2bb-4f19-9495-262cf9f64303"
"http://www.cdisc.org","C171537","Code_108","Code","2023-12-15","Telephone Call","60c6e9f0-5bc6-4829-b372-b9de6ab45ef4"
"http://www.cdisc.org","C25716","Code_109","Code","2023-12-15","Visit","2e0cbe26-d819-4fe8-8dfc-f0090dc8b767"
"http://www.cdisc.org","C51282","Code_110","Code","2023-12-15","Clinic","344e5045-0f78-4bb6-aff7-e977f6b0f758"
"http://www.cdisc.org","C175574","Code_111","Code","2023-12-15","In Person","64f4d8c7-c63f-41fd-92b4-d89630a9669a"
"http://www.cdisc.org","C171537","Code_112","Code","2023-12-15","Telephone Call","5d3b77af-1555-4a37-8b8b-f4a7ffe31677"
"http://www.cdisc.org","C25716","Code_113","Code","2023-12-15","Visit","c1fc4ed0-3871-43d6-acf2-b24c387e669c"
"http://www.cdisc.org","C51282","Code_114","Code","2023-12-15","Clinic","bbaf46c4-a13b-4531-8b63-2c88ff52ab0a"
"http://www.cdisc.org","C175574","Code_115","Code","2023-12-15","In Person","01758f70-9b96-49f4-a608-c41f796b9f9d"
"http://www.cdisc.org","C171537","Code_116","Code","2023-12-15","Telephone Call","87a983a8-41f5-4fe4-afdc-d44ca696fcdf"
"http://www.cdisc.org","C25716","Code_117","Code","2023-12-15","Visit","da48787e-e55c-4ded-a32d-d29805f1e21b"
"http://www.cdisc.org","C51282","Code_118","Code","2023-12-15","Clinic","ff674295-010f-4bec-8a31-ed26da3cdc1a"
"http://www.cdisc.org","C175574","Code_119","Code","2023-12-15","In Person","5462b75a-932a-4c39-9054-fa6c4d77129c"
"http://www.cdisc.org","C25716","Code_120","Code","2023-12-15","Visit","ce17ccd6-1dac-426a-9383-3aecb1e07d90"
"http://www.cdisc.org","C51282","Code_121","Code","2023-12-15","Clinic","2ccecfe1-a606-48e7-b681-9ee15b4e47e6"
"http://www.cdisc.org","C175574","Code_122","Code","2023-12-15","In Person","4b6de874-1641-472a-ad87-4931c77414e3"
"SNOMED","383371000119108","Code_80","Code","January 31, 2018","CT of head without contrast","59826c3e-1bfd-4326-b5bc-079b3e61bcf8"
"SPONSOR","123","Code_81","Code","12","Subject Supine","62171895-f75c-4b6e-8948-049277c5f5d5"
"SPONSOR","124","Code_82","Code","12","Subject Standing","d1efe670-19c4-450c-b36d-a08c6f467cb2"
"http://www.cdisc.org","C82977","Code_429","Code","2023-12-15","Dictionary-derived Term","5d036f61-2dec-47cb-bfa0-b37575c0350e"
"http://www.cdisc.org","C82571","Code_430","Code","2023-12-15","Reported Event Term","68e6b7fa-9f00-4a21-a262-b0af09d0094c"
"http://www.cdisc.org","C82517","Code_431","Code","2023-12-15","Observation Start Date Time","ee8b375f-4f64-44a7-afc4-0269a5d4dac9"
"http://www.cdisc.org","C16735","Code_432","Code","2023-12-15","Informed Consent","6f58bb2e-89c2-43d0-98b1-bed15f9d7e5b"
"http://www.cdisc.org","C20197","Code_433","Code","2023-12-15","Male","746433a6-8585-425c-9cea-670cb7fd0a7a"
"http://www.cdisc.org","C16576","Code_434","Code","2023-12-15","Female","6134d330-cc3c-4420-96e3-56c401d1dd1a"
"http://www.cdisc.org","C28421","Code_435","Code","2023-12-15","Sex","4d367895-027e-46a1-9e6b-c8219fdc3d0c"
"http://www.cdisc.org","C28421","Code_436","Code","2023-12-15","Sex","31f152f7-3758-4d3a-8d2c-e30aca191439"
"http://www.cdisc.org","C17049","Code_437","Code","2023-12-15","Race","64caec92-3387-4a10-8adf-bf2ee3a7c9b1"
"http://www.cdisc.org","C17049","Code_438","Code","2023-12-15","Race","e56d0515-bf9d-4937-bf35-b631da08c6a8"
"http://www.cdisc.org","C174446","Code_439","Code","2023-12-15","TEMP","b5f36153-a406-4649-a2fd-e289322738a2"
"http://www.cdisc.org","C77140","Code_440","Code","2023-12-15","Clinical Test Result","81df1beb-41bb-44cc-b86c-b60f8c212d3e"
"http://www.cdisc.org","C42559","Code_441","Code","2023-12-15","Degree Celsius","a9efce29-aced-4898-af41-ed65b8656070"
"http://www.cdisc.org","C44277","Code_442","Code","2023-12-15","Degree Fahrenheit","86eb07b1-9ef2-46d1-8538-b698f05fbd9e"
"http://www.cdisc.org","C42537","Code_443","Code","2023-12-15","Kelvin","e68b73a0-3454-48c8-9b17-40a95cfe6234"
"http://www.cdisc.org","C44276","Code_444","Code","2023-12-15","Unit of Temperature","2274e325-5085-42c1-a812-61c2398aac34"
"http://www.cdisc.org","C12674","Code_445","Code","2023-12-15","Axilla","09318d9b-6267-4480-a153-2eb40dfc9811"
"http://www.cdisc.org","C12394","Code_446","Code","2023-12-15","Ear","983dbf94-ebc9-4406-87a0-4d60221be0a7"
"http://www.cdisc.org","C89803","Code_447","Code","2023-12-15","Forehead","5970b737-1904-4b9c-b41c-3d26a50e18dc"
"http://www.cdisc.org","C12421","Code_448","Code","2023-12-15","Oral Cavity","b9f7305a-6b65-4cd5-bd77-e9c39bc2f940"
"http://www.cdisc.org","C12390","Code_449","Code","2023-12-15","Rectum","bffe7189-1316-4287-913b-17192a92f49c"
"http://www.cdisc.org","C13717","Code_450","Code","2023-12-15","Anatomic Site","1bbc9ab8-9d0d-4bf3-bb78-a86d446df9bb"
"http://www.cdisc.org","C174446","Code_451","Code","2023-12-15","TEMP","dcb9c884-259d-44e6-8fe5-9ed756dd936d"
"http://www.cdisc.org","C25208","Code_452","Code","2023-12-15","WEIGHT","244e1fb2-ccff-4bff-9324-426257fc6201"
"http://www.cdisc.org","C77140","Code_453","Code","2023-12-15","Clinical Test Result","f2b73d74-fd42-44fd-ae2e-f204ff9b1faf"
"http://www.cdisc.org","C48531","Code_454","Code","2023-12-15","Pound","e5b2dbfc-4cdc-42b4-9cbc-b91d86d10724"
"http://www.cdisc.org","C48155","Code_455","Code","2023-12-15","Gram","b09daefd-7fe3-4c6f-8d50-214db57d4a56"
"http://www.cdisc.org","C28252","Code_456","Code","2023-12-15","Kilogram","a37a7b05-a5ae-4d20-924e-24a198147801"
"http://www.cdisc.org","C48208","Code_457","Code","2023-12-15","Unit of Weight","3e811237-c1a6-46a5-a14c-f71b3aac7362"
"http://www.cdisc.org","C25208","Code_458","Code","2023-12-15","WEIGHT","b5e36c8f-4add-4ce7-bdbb-d7a68a775f9d"
"http://www.cdisc.org","C25347","Code_459","Code","2023-12-15","HEIGHT","23327c5c-1666-48cf-b88c-3f056c17d8ef"
"http://www.cdisc.org","C77140","Code_460","Code","2023-12-15","Clinical Test Result","9908f734-b969-4fbd-a73a-d79897cc33d7"
"http://www.cdisc.org","C49668","Code_461","Code","2023-12-15","Centimeter","76125f85-a38f-44b2-877b-961451874735"
"http://www.cdisc.org","C48500","Code_462","Code","2023-12-15","Inch","687d33c6-e7f3-4901-a809-ea20fdbcf420"
"http://www.cdisc.org","C41139","Code_463","Code","2023-12-15","Meter","d3325a05-b639-4e9b-af0c-4bfe936f6047"
"http://www.cdisc.org","C168688","Code_464","Code","2023-12-15","Unit of Height","3292d1df-dcf2-4836-a803-1fcad38a9e78"
"http://www.cdisc.org","C25347","Code_465","Code","2023-12-15","HEIGHT","e4b6c14e-368b-403f-b57e-0c8fca877c98"
"http://www.cdisc.org","C64433","Code_466","Code","2023-12-15","ALT","0a5b411d-ed94-4fd8-93c2-bcee9fb70609"
"http://www.cdisc.org","C36292","Code_467","Code","2023-12-15","Laboratory Test Result","1bffd205-f2c8-46fe-b59e-589be9ca99e0"
"http://www.cdisc.org","C67456","Code_468","Code","2023-12-15","Unit per Liter","752b9bad-ab60-4197-bf5a-8e37c9dd8dde"
"http://www.cdisc.org","C67397","Code_469","Code","2023-12-15","Microkatal per Liter","7bf7679f-5444-44f8-ad0c-57d4b5515f82"
"http://www.cdisc.org","C67376","Code_470","Code","2023-12-15","International Unit per Liter","929cf273-a243-4e3e-8cd7-687186f26c84"
"http://www.cdisc.org","C70510","Code_471","Code","2023-12-15","Nanokatal per Liter","b7a2e844-9c27-4a09-910c-7172dc426907"
"http://www.cdisc.org","C67365","Code_472","Code","2023-12-15","Unit of Catalytic Activity Concentration","ba497e93-e299-477e-9550-ca029a9d79bd"
"http://www.cdisc.org","C70713","Code_473","Code","2023-12-15","Biospecimen Type","3b4316f8-6e47-4da7-9090-dd24e8273ffa"
"http://www.cdisc.org","C49487","Code_474","Code","2023-12-15","No","67141301-4497-4f2f-9ea6-65ca81482205"
"http://www.cdisc.org","C49488","Code_475","Code","2023-12-15","Yes","7969b954-1f79-4ede-b55b-e22571baf01f"
"http://www.cdisc.org","C83309","Code_476","Code","2023-12-15","Laboratory Test Fasting Status","90639aa3-467a-4d79-999f-8ff3fe3d62c1"
"http://www.cdisc.org","C64433","Code_477","Code","2023-12-15","ALT","018b18bb-b5c2-4675-890c-badb5c766184"
"http://www.cdisc.org","C64431","Code_478","Code","2023-12-15","ALB","da23263b-ccdd-4c6d-bca8-eb7975716344"
"http://www.cdisc.org","C36292","Code_479","Code","2023-12-15","Laboratory Test Result","6c70c7fb-208c-43ee-a5e9-953c9520983a"
"http://www.cdisc.org","C70713","Code_480","Code","2023-12-15","Biospecimen Type","f5e7dee0-1690-483a-b993-30fec2e3d040"
"http://www.cdisc.org","C49487","Code_481","Code","2023-12-15","No","b49cb112-50cf-4691-b255-13d80eca4233"
"http://www.cdisc.org","C49488","Code_482","Code","2023-12-15","Yes","d62b79c3-09ea-49e2-934a-7591e64d577e"
"http://www.cdisc.org","C83309","Code_483","Code","2023-12-15","Laboratory Test Fasting Status","d107b9cf-70cf-4a73-aaa3-2e7468221621"
"http://www.cdisc.org","C64431","Code_484","Code","2023-12-15","ALB","5a6de23d-1f57-41b3-8593-f87afcaae130"
"http://www.cdisc.org","C64432","Code_485","Code","2023-12-15","ALP","3d1dab32-759f-4b53-a969-ff828e707042"
"http://www.cdisc.org","C36292","Code_486","Code","2023-12-15","Laboratory Test Result","81099ac5-344a-4aa5-9848-856ae22a6b86"
"http://www.cdisc.org","C67456","Code_487","Code","2023-12-15","Unit per Liter","ae6be99b-8d09-423f-8fc4-c30a10c3afeb"
"http://www.cdisc.org","C67397","Code_488","Code","2023-12-15","Microkatal per Liter","a248256c-1372-4b5f-aad1-3e2d304db668"
"http://www.cdisc.org","C67376","Code_489","Code","2023-12-15","International Unit per Liter","77a21aba-892b-40bd-851d-11babf941c1c"
"http://www.cdisc.org","C67365","Code_490","Code","2023-12-15","Unit of Catalytic Activity Concentration","70444f75-dc2e-4d6c-83eb-8496c199f289"
"http://www.cdisc.org","C70713","Code_491","Code","2023-12-15","Biospecimen Type","826e17d3-cb8a-4907-8ac5-71b99744c9aa"
"http://www.cdisc.org","C49487","Code_492","Code","2023-12-15","No","27e7bef7-0898-4eab-b9e5-469e540227d7"
"http://www.cdisc.org","C49488","Code_493","Code","2023-12-15","Yes","b28df777-8791-4dc1-a8ed-9c2fdbc5f7c1"
"http://www.cdisc.org","C83309","Code_494","Code","2023-12-15","Laboratory Test Fasting Status","e88cf57d-cdd1-4209-8f0b-3ea5f0245a28"
"http://www.cdisc.org","C64432","Code_495","Code","2023-12-15","ALP","77cf9033-b6c3-4bee-801c-c4762764a188"
"http://www.cdisc.org","C64467","Code_496","Code","2023-12-15","AST","0a3d60a1-b69a-44b9-b4b4-b5cb1105bf0d"
"http://www.cdisc.org","C36292","Code_497","Code","2023-12-15","Laboratory Test Result","dd4644fd-09f7-4477-a075-a2a5603a6ad8"
"http://www.cdisc.org","C67456","Code_498","Code","2023-12-15","Unit per Liter","108de01d-2659-4da6-911e-b59f95ee6fc2"
"http://www.cdisc.org","C67397","Code_499","Code","2023-12-15","Microkatal per Liter","4f558a88-261f-4c30-934e-1548130494aa"
"http://www.cdisc.org","C67376","Code_500","Code","2023-12-15","International Unit per Liter","157392d7-fcb7-431a-9855-e8e25b6f1461"
"http://www.cdisc.org","C67365","Code_501","Code","2023-12-15","Unit of Catalytic Activity Concentration","4d7cf48a-d6f8-44d0-8cad-bd16c4094e63"
"http://www.cdisc.org","C70713","Code_502","Code","2023-12-15","Biospecimen Type","fdf21b64-eaa3-4de6-a48c-91e36b38bd0b"
"http://www.cdisc.org","C49487","Code_503","Code","2023-12-15","No","fcb876df-7c2c-4e5a-b153-7980f33c1112"
"http://www.cdisc.org","C49488","Code_504","Code","2023-12-15","Yes","0950c3ab-1299-487c-bb42-3c0100f9bb71"
"http://www.cdisc.org","C83309","Code_505","Code","2023-12-15","Laboratory Test Fasting Status","9c0986b6-a53c-44f0-a95c-719e3ec3bd47"
"http://www.cdisc.org","C64467","Code_506","Code","2023-12-15","AST","b6b0abc5-9f34-4d09-a854-af2b0eb69c91"
"http://www.cdisc.org","C64547","Code_507","Code","2023-12-15","CREAT","7f03c234-73b3-42aa-9736-68dd45130afc"
"http://www.cdisc.org","C36292","Code_508","Code","2023-12-15","Laboratory Test Result","c7719f20-ab06-4a20-bdc4-a6e4918f0fd5"
"http://www.cdisc.org","C67015","Code_509","Code","2023-12-15","Milligram per Deciliter","53119849-82ba-404f-99af-5d8a216571ed"
"http://www.cdisc.org","C64572","Code_510","Code","2023-12-15","Microgram per Milliliter","40fc3f9f-6487-46bf-8c30-825d1f307062"
"http://www.cdisc.org","C64387","Code_511","Code","2023-12-15","Millimole per Liter","6c98716e-30d7-467c-a442-be390f7224a0"
"http://www.cdisc.org","C48508","Code_512","Code","2023-12-15","Micromole per Liter","f1696cab-fb94-4261-8e66-2c19b7f9d85d"
"http://www.cdisc.org","C48207","Code_513","Code","2023-12-15","Unit of Concentration","2b8f04b2-fb74-4812-b173-30d2691f3917"
"http://www.cdisc.org","C70713","Code_514","Code","2023-12-15","Biospecimen Type","12f36126-614d-4d03-950f-8f0a83d7a83f"
"http://www.cdisc.org","C49487","Code_515","Code","2023-12-15","No","a27cea92-ea22-4cc5-b899-02f5092c3817"
"http://www.cdisc.org","C49488","Code_516","Code","2023-12-15","Yes","a8ce3927-b6c7-49a2-a854-57aa39b1cea3"
"http://www.cdisc.org","C83309","Code_517","Code","2023-12-15","Laboratory Test Fasting Status","14af1d61-aad2-4066-8348-281236c7c127"
"http://www.cdisc.org","C64547","Code_518","Code","2023-12-15","CREAT","1aa0b792-9ad7-4538-898b-03b91a10d992"
"http://www.cdisc.org","C64853","Code_519","Code","2023-12-15","K","2f56490b-93b4-4f3b-a117-f1186cebebfa"
"http://www.cdisc.org","C36292","Code_520","Code","2023-12-15","Laboratory Test Result","bcffe82c-e4e4-4ce5-a38e-740fd3428f86"
"http://www.cdisc.org","C67474","Code_521","Code","2023-12-15","Milliequivalent per Liter","6db33d57-cbfa-4681-a5d2-d8ad53078598"
"http://www.cdisc.org","C67473","Code_522","Code","2023-12-15","Milliequivalent per Deciliter","2b80e5d7-ff75-409f-b8d8-ff8ea939ed76"
"http://www.cdisc.org","C64387","Code_523","Code","2023-12-15","Millimole per Liter","68ef49c0-2fd2-4951-8d37-313ace2036e2"
"http://www.cdisc.org","C64567","Code_524","Code","2023-12-15","Molarity Unit","3c9b57a9-8586-4880-b5b2-1830a6704df6"
"http://www.cdisc.org","C70713","Code_525","Code","2023-12-15","Biospecimen Type","d471aa27-c1c8-439c-9f2f-b8da84ee3e47"
"http://www.cdisc.org","C49487","Code_526","Code","2023-12-15","No","484484da-23d0-4cec-82f0-83f268d9f2cd"
"http://www.cdisc.org","C49488","Code_527","Code","2023-12-15","Yes","9fc0d0c8-e1ee-49cc-9951-d10217753722"
"http://www.cdisc.org","C83309","Code_528","Code","2023-12-15","Laboratory Test Fasting Status","2c443440-2f0f-46ec-98d0-dcf07c40f3c0"
"http://www.cdisc.org","C64853","Code_529","Code","2023-12-15","K","e2b98031-6df0-4940-8e7c-992f8050daa4"
"http://www.cdisc.org","C64809","Code_530","Code","2023-12-15","SODIUM","9de23d34-971a-45e1-bb8d-327f939eb52f"
"http://www.cdisc.org","C36292","Code_531","Code","2023-12-15","Laboratory Test Result","a7c89379-db79-4e98-b0de-d6d77ad53345"
"http://www.cdisc.org","C67474","Code_532","Code","2023-12-15","Milliequivalent per Liter","ef4230ee-bc14-4a60-b96e-2e5a2e4eda33"
"http://www.cdisc.org","C67473","Code_533","Code","2023-12-15","Milliequivalent per Deciliter","38301807-f2ae-4b4e-9504-06686ef0dfd4"
"http://www.cdisc.org","C64387","Code_534","Code","2023-12-15","Millimole per Liter","157b6a91-76e9-4676-ac80-d1b33da079fd"
"http://www.cdisc.org","C64567","Code_535","Code","2023-12-15","Molarity Unit","d7ad8fde-96e0-4a47-8b2c-e1636dfa2fad"
"http://www.cdisc.org","C70713","Code_536","Code","2023-12-15","Biospecimen Type","f90650a3-6f6e-4e0b-8213-940f45ccde4b"
"http://www.cdisc.org","C49487","Code_537","Code","2023-12-15","No","2c41655d-c5d1-4fa4-bdc4-d0d8002be02d"
"http://www.cdisc.org","C49488","Code_538","Code","2023-12-15","Yes","5c02a032-5b7f-4964-9096-86f8c293d628"
"http://www.cdisc.org","C83309","Code_539","Code","2023-12-15","Laboratory Test Fasting Status","88be7a17-c2e8-4b85-91be-982f569d74b1"
"http://www.cdisc.org","C64809","Code_540","Code","2023-12-15","SODIUM","4ca1f7b3-d561-40cd-8482-282592624f57"
"http://www.cdisc.org","C64849","Code_541","Code","2023-12-15","HBA1C","7c88d620-44ee-46b2-9743-71bdae569ba6"
"http://www.cdisc.org","C36292","Code_542","Code","2023-12-15","Laboratory Test Result","bf9e043b-feb3-4c44-b4a7-6c75c7631014"
"http://www.cdisc.org","C64783","Code_543","Code","2023-12-15","Gram per Deciliter","d63556ab-3865-46ac-9ecf-a88e372e0573"
"http://www.cdisc.org","No Concept Code","Code_544","Code","2023-12-15","LBORRESU","16a7f840-1e72-4938-b7a7-ddf052f04e8b"
"http://www.cdisc.org","C70713","Code_545","Code","2023-12-15","Biospecimen Type","7fabb3ed-7850-4377-acc6-233f2aa210b5"
"http://www.cdisc.org","C49487","Code_546","Code","2023-12-15","No","4a3f196c-86b9-4132-be20-0b0b324e3ef2"
"http://www.cdisc.org","C49488","Code_547","Code","2023-12-15","Yes","5930a7e5-e623-4f32-9dfc-c5198e065ea3"
"http://www.cdisc.org","C83309","Code_548","Code","2023-12-15","Laboratory Test Fasting Status","c46290d3-2878-4f93-b64d-4400d2c51bda"
"http://www.cdisc.org","C64849","Code_549","Code","2023-12-15","HBA1C","d8666623-3d37-4fb7-ba2a-8cf06a57ecff"
"http://www.cdisc.org","C78541","Code_145","Code","2023-12-15","Adverse Event Verbatim Description","1b87c885-ce9e-4dd6-969a-e9aea43c92c5"
"http://www.cdisc.org","C83344","Code_146","Code","2023-12-15","Adverse Event Dictionary Derived Term","50d0843b-4fe0-44a8-83ed-8c0ad2cbb474"
"http://www.cdisc.org","C49487","Code_147","Code","2023-12-15","No","103f0ad1-49ba-4ac7-bf57-7e88a865d127"
"http://www.cdisc.org","C49488","Code_148","Code","2023-12-15","Yes","cd17fe9f-83c2-446a-b581-165b8cfdf976"
"http://www.cdisc.org","C87840","Code_149","Code","2023-12-15","Adverse Event Pre-specified","5cfe71f8-7e86-4097-9543-f3dd595ebdb2"
"http://www.cdisc.org","C83205","Code_150","Code","2023-12-15","Adverse Event Location","b637b437-e6ea-40a9-a5a6-8a3eac0ef976"
"http://www.cdisc.org","C53253","Code_151","Code","2023-12-15","Severity of Adverse Event","5cb66886-9f0a-4815-a1b3-0df888f47bca"
"http://www.cdisc.org","C49487","Code_152","Code","2023-12-15","No","7043e4ad-e7a5-436a-a020-f412483799f9"
"http://www.cdisc.org","C49488","Code_153","Code","2023-12-15","Yes","71a813da-1194-4092-af04-fe56a92799c3"
"http://www.cdisc.org","C53252","Code_154","Code","2023-12-15","Seriousness of Adverse Event","d40f7e5e-70ca-431a-abfc-71d9a0c0e347"
"http://www.cdisc.org","C83013","Code_155","Code","2023-12-15","Adverse Event Action Taken with Study Treatment","3259f29b-399f-4a2d-a9c5-2e1e164d211f"
"http://www.cdisc.org","C83109","Code_156","Code","2023-12-15","Other Actions taken in Response to Adverse Event","0559dbf4-74b6-4204-8547-53cfe8c415a2"
"http://www.cdisc.org","C41358","Code_157","Code","2023-12-15","Adverse Event Attribution to Product or Procedure","a55d1e60-0cfc-446b-ba02-637857df497b"
"http://www.cdisc.org","C83210","Code_158","Code","2023-12-15","Adverse Event Relationship to Non Study Treatment","c4c11def-d9e9-4508-b9ec-9154ddeb7de8"
"http://www.cdisc.org","C83208","Code_159","Code","2023-12-15","Adverse Event Pattern","f6633204-074d-4351-bbd0-32adc4be2eff"
"http://www.cdisc.org","C49489","Code_160","Code","2023-12-15","Adverse Event Outcome","b7351834-fa5e-4468-9de7-642e5a85d0cc"
"http://www.cdisc.org","C49487","Code_161","Code","2023-12-15","No","838b8cf8-1a9e-47bd-ab72-dd42292addfd"
"http://www.cdisc.org","C49488","Code_162","Code","2023-12-15","Yes","f7b705b2-dbf4-4600-8927-a12c380fe782"
"http://www.cdisc.org","C83211","Code_163","Code","2023-12-15","Adverse Event Involves Cancer","c228d28f-f853-445c-bb14-729b23ebd9ab"
"http://www.cdisc.org","C49487","Code_164","Code","2023-12-15","No","095eab70-7466-4961-9f1f-36cd80e178f5"
"http://www.cdisc.org","C49488","Code_165","Code","2023-12-15","Yes","4baa6302-d5a4-4083-ab36-5ea298a0d8e7"
"http://www.cdisc.org","C83117","Code_166","Code","2023-12-15","Adverse Event Seriousness Due to Congenital Anomaly","554af7fc-93ab-47ff-b011-e976acad5ebb"
"http://www.cdisc.org","C49487","Code_167","Code","2023-12-15","No","2349299f-5cf8-4aaa-9e4e-f5a3c1dee9c9"
"http://www.cdisc.org","C49488","Code_168","Code","2023-12-15","Yes","45733cd9-ab3e-4563-b0ee-5f16f12b0b19"
