"id","sectionTitle","name","instanceType","sectionNumber","text","uuid:ID"
"NarrativeContent_11","Final Report Signature","SECTION 3.3.1.","NarrativeContent","3.3.1.","<div><p>The final report coordinating investigator will sign the final clinical study report for this study, indicating agreement with the analyses, results, and conclusions of the report.</p>
<p>The investigator who will serve as the final report coordinating investigator will be an individual that is involved with the design and analysis of the study. This final report coordinating investigator will be named by the sponsor of the study.</p></div>","aa6ec745-b87a-4afb-98c2-41b079366354"
"NarrativeContent_12","Study Population","SECTION 3.4.","NarrativeContent","3.4.","<div></div>","803036a7-d4b3-469c-8aa6-92c590b32591"
"NarrativeContent_13","Entry Procedures","SECTION 3.4.1.","NarrativeContent","3.4.1.","<div><p>An Ethical Review Board (ERB) approved informed consent will be signed by the patient (and/or legal representative) and caregiver after the nature of the study is explained.</p></div>","fddd7479-4866-407e-b649-1f31d12255ee"
"NarrativeContent_14","Criteria for Enrollment","SECTION 3.4.2.","NarrativeContent","3.4.2.","<div><p>For Lilly studies, the following definitions are used:</p>
<div class=""row"">
<div class=""col-2""><strong>Screen</strong></div>
<div class=""col"">
<p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
<p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
</div>
</div>
<div class=""row"">
<div class=""col-2"">To <strong>enter</strong></div>
<div class=""col"">
<p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p>
</div>
</div>
<div class=""row"">
<div class=""col-2"">To <strong>enroll</strong></div>
<div class=""col"">
<p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p>
</div>
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","bb19eff5-bf89-4cbc-b785-8ae5d2c67f09"
"NarrativeContent_15","Inclusion Criteria","SECTION 3.4.2.1.","NarrativeContent","3.4.2.1.","<div><p>Patients may be included in the study only if they meet <b>all</b> the following criteria:</p>
<table class=""table""><tr><td>01</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_1"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>02</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_2"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>03</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_3"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>04</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_4"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>05</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_5"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>06</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_6"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>07</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_7"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>08</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_8"" klass=""EligibilityCriterion""></usdm:ref></td></tr></table></div>","2317e5d0-f202-486f-a8e0-ecbd780da6e7"
"NarrativeContent_16","Exclusion Criteria","SECTION 3.4.2.2.","NarrativeContent","3.4.2.2.","<div><p>Patients will be excluded from the study for <b>any</b> of the following reasons:</p>
<table class=""table""><tr><td>09</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_9"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>10</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_10"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>11</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_11"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>12</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_12"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>13</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_13"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>14</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_14"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>15</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_15"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>16b</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_16"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>17</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_17"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>18</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_18"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>19</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_19"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>20</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_20"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>21</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_21"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>22</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_22"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>23</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_23"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>24</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_24"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>25</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_25"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>26</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_26"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>27b</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_27"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>28b</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_28"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>29b</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_29"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>30b</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_30"" klass=""EligibilityCriterion""></usdm:ref></td></tr><tr><td>31b</td><td><usdm:ref attribute=""text"" id=""EligibilityCriterion_31"" klass=""EligibilityCriterion""></usdm:ref></td></tr></table></div>","db5c93bb-a792-4156-8843-a87ed8374057"
"NarrativeContent_17","Violation of Criteria for Enrollment","SECTION 3.4.2.3","NarrativeContent","3.4.2.3","<div><p>The criteria for enrollment must be followed explicitly. If there is inadvertent enrollment of individuals who do not meet enrollment criteria, these individuals should be discontinued from the study. Such individuals can remain in the study only if there are ethical reasons to have them continue. In these cases, the investigator must obtain approval from the Lilly research physician for the study participant to continue in the study (even if the study is being conducted through a contract research organization).</p></div>","411f5231-b5f2-4219-a52c-b71d52b60826"
"NarrativeContent_18","Disease Diagnostic Criteria","SECTION 3.4.3.","NarrativeContent","3.4.3.","<div><p>Probable AD will be defined clinically by NINCDS/ADRDA guidelines as follows:</p>
<ul>
<li><p>Diagnosis of probable AD as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines.</p></li>
<li><p>Mild to moderate severity of AD will be defined by the Mini-Mental State Exam as follows:</p></li>
<li><p>Mini-Mental State Examination (MMSE) score of 10 to 23.</p></li>
<li><p>The absence of other causes of dementia will be performed by clinical opinion and by the following:</p></li>
<li><p>Hachinski Ischemic Scale score of ≤4.</p></li>
<li><p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year (see Section 3.4.2.1).</p></li>
</ul></div>","4f042820-79b0-400c-8e3b-63983dac85b3"
"NarrativeContent_19","Sample Size","SECTION 3.4.4.","NarrativeContent","3.4.4.","<div><p>Approximately 100 patients will be randomized to each of the 3 treatment groups. Previous experience with the oral formulation of xanomeline suggests that this sample size has 90% power to detect a 3.0 mean treatment difference in ADAS-Cog (p&lt;.05, two-sided), based on a standard deviation of 6.5. Furthermore, this sample size has 80% power to detect a 0.36 mean treatment difference in CIBIC+ (p&lt;.05, two-sided), based on a standard deviation of 0.9.</p></div>","cfe993c5-8918-4771-a3ff-fe93bad7d6d9"
"NarrativeContent_20","Patient Assignment","SECTION 3.5.","NarrativeContent","3.5.","<div><p>Commencing at Visit 1, all patients will be assigned an identification number. This identification number and the patient's three initials must appear on all patient-related documents submitted to Lilly.</p>
<p>When qualified for enrollment at Visit 3 the patient will be randomized to 1 of 3 treatment arms.</p></div>","48ed1e13-a0a4-4f06-8d00-c4c9a7a09e8e"
"NarrativeContent_21","Dosage and Administration","SECTION 3.6.","NarrativeContent","3.6.","<div></div>","6bde1212-20f0-4dad-96ef-bde72b756c22"
"NarrativeContent_22","Materials and Supplies","SECTION 3.6.1.","NarrativeContent","3.6.1.","<div><table class=""table small"">
<tr>
<td><p>Primary Study Material:</p></td><td><p>Xanomeline</p></td><td><p>TTS (adhesive patches)</p></td><td><p>50 cm 2 , 54 mg* 25 cm 2 , 27 mg<sup>*</sup></p></td>
</tr>
<tr>
<td><p>Comparator Material:</p></td><td><p>Placebo</p></td><td><p>TTS</p></td><td><p>Identical in appearance to primary study material</p></td>
</tr>
</table>
<p class=""small""><sup>*</sup>All doses are measured in terms of the xanomeline base.</p>
<p>Patches should be stored at controlled room temperature, and all used patches must be handled and disposed of as biohazardous waste.</p>
<p>For a detailed description of the composition of these formulations please refer to Part II, Section 14 of the Xanomeline (LY246708) Clinical Investigator's Brochure.</p></div>","f45776f5-4515-4297-a1ab-c3624fb820a0"
"NarrativeContent_23","TTS Administration Procedures","SECTION 3.6.2.","NarrativeContent","3.6.2.","<div><p>To test acute tolerance of transdermal formulation, patients will have a TTS (placebo) administered at the start of Visit 1, and removed at the conclusion of Visit 1. The patient's and caregiver's willingness to comply with 26 weeks of transdermal therapy should be elicited, and those patients/caregivers unwilling to comply should be excluded.</p>
<p>Upon enrollment at Visit 3, and on the morning of each subsequent day of therapy , xanomeline or placebo will be administered with the application of 2 adhesive patches, one 50 cm2 in area, the other 25 cm2 in area. Each morning, prior to the application of the patches, hydrocortisone cream (1%) should be applied to the skin at the intended site of administration, rubbed in, and allowed to penetrate for approximately 30 minutes. Thereafter, excess cream should be wiped away and the patches applied.</p>
<p>The patches are to be worn continuously throughout the day, for a period of approximately 12 to 14 hours, and removed in the evening. After removal of the patches, hydrocortisone cream (1%) should be applied locally to the site of administration.</p>
<p>Patches should be applied to a dry, intact, non-hairy area. Applying the patch to a shaved area is not recommended. The application site of the patches should be rotated according to the following schedule:</p>
<table class=""table"">
<tr>
<th><p>Day</p></th><th><p>Patch Location</p></th>
</tr>
<tr>
<td><p>Sunday </p></td><td><p>right or left upper arm </p></td>
</tr>
<tr>
<td><p>Monday </p></td><td><p>right or left upper back </p></td>
</tr>
<tr>
<td><p>Tuesday </p></td><td><p>right or left lower back (above belt line) </p></td>
</tr>
<tr>
<td><p>Wednesday </p></td><td><p>right or left buttocks </p></td>
</tr>
<tr>
<td><p>Thursday </p></td><td><p>right or left mid-axillary region </p></td>
</tr>
<tr>
<td><p>Friday </p></td><td><p>right or left upper thigh </p></td>
</tr>
<tr>
<td><p>Saturday</p></td><td><p>right or left upper chest</p></td>
</tr>
</table>
<p>Patients and caregivers are free to select either the left or right site within the constraints of the rotation schedule noted above. Patches should be applied at approximately the same time each day. For patients who habitually bathe in the morning, the patient should bathe prior to application of new patches. Every effort should be taken to allow for morning administration of the patches. Exceptions allowing administration of TTS patches at night instead of in the morning will be made on a case-by-case basis by the CRO medical monitor. In the event that some adhesive remains on the patient's skin and cannot be removed with normal bathing, a special solution will be provided to remove the adhesive.</p>
<p>Following randomization at Visit 3, patients will be instructed to call the site if they have difficulty with application or wearing of patches. In the event that a patch becomes detached, a new patch of the same size should be applied (at earliest convenience) to an area of the dermis adjacent to the detachment site, and the rotation schedule should be resumed the following morning. If needed, the edges of the patch may be secured with a special adhesive tape that will be provided. If daily doses are reduced, improperly administered, or if a patch becomes detached and requires application of a new patch on three or more days in any 30-day period, the CRO research physician will be notified.</p>
<p>If the daily dose is reduced or improperly administered in the 24 hours prior to any scheduled clinic visit, the visit should be rescheduled (except for early termination and retrieval visits).</p>
<p>Patients must be instructed to return all used and unused study drug to the investigator at each visit for proper disposal and CT reconciliation by the investigator.</p></div>","dba14b36-3e83-4804-adf0-c99ff7400e60"
"NarrativeContent_24","Blinding","SECTION 3.7.","NarrativeContent","3.7.","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient's therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient's therapy assignment. If a patient's therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","8dff045b-3adb-448c-8268-d1e5506100ec"
"NarrativeContent_25","Concomitant Therapy","SECTION 3.8.","NarrativeContent","3.8.","<div><p>Intermittent use of chloral hydrate, zolpidem, or lorazepam is permitted during this clinical trial as indicated for agitation or sleep. If medication is required for agitation for a period exceeding 1 week, a review of the patient's status should be made in consultation with the CRO research physician. Caregivers and patients should be reminded that these medications should not be taken within 24 hours of a clinic visit (including the enrollment visit), and administration of efficacy measures should be deferred if the patient has been treated with these medications within the previous 24 hours.</p>
<p>If an antihistamine is required during the study, Claritin® (loratadine) or Allegra® (fexofenadine hydrochloride) are the preferred agents, but should not be taken within 24 hours of a clinic visit. Intermittent use (per package insert) of antitussives (containing antihistamines or codeine) and select narcotic analgesics (acetaminophen with oxycodone, acetaminophen with codeine) are permitted during the trial. Caregivers and patients should be reminded that antihistamines and narcotics should not be taken within 3 days of a clinic efficacy visit (including enrollment visit). If an H 2 blocker is required during the study, Axid® (nizatidine) will be permitted on a case-by-case basis by the CRO medical monitor. For prostatic hypertrophy, small doses (2 mg per day) of Hytrin® (terazosin) or Cardura® (doxazosin) will be permitted on a case-by-case basis. Please consult the medical monitor. The calcium channel blockers Cardene® (nicardipine),</p>
<p>Norvasc® (amlodipine), and DynaCirc® (isradipine) are allowed during the study. If a patient has been treated with any medication within disallowed time periods prior to the clinic visit, efficacy measures should be deferred.</p>
<p>Other classes of medications not stated in Exclusion Criteria, Section 3.4.2.2, will be permitted. Patients who require treatment with an excluded medication (Section 3.4.2.2) will be discontinued from the study following consultation with the CRO research physician.</p></div>","97d2cca8-6414-4a5b-9843-0284d4098d7f"
"NarrativeContent_26","Efficacy, Pharmacokinetic, and Safety Evaluations","SECTION 3.9.","NarrativeContent","3.9.","<div></div>","6f011842-1b7c-4837-bd9b-73b9168ae136"
"NarrativeContent_27","Efficacy","SECTION 3.9.1.","NarrativeContent","3.9.1.","<div><p>See Schedule of Events, Attachment LZZT.1 for the times of the study at which efficacy data will be collected.</p></div>","bfb4be5c-e5e1-473f-8319-f94c535aa796"
