"name","description","label","identifier","instanceType","uuid:ID","id","text"
"EX04","","Serious neurolocal conditions criteria","12","EligibilityCriterion","1a1ec39c-edee-4719-8dc7-bdb85880632d","EligibilityCriterion_12","<p>Diagnosis of serious neurological conditions, including </p>
<ol type=""a"">
<li><p>Stroke or vascular dementia documented by clinical history and/or radiographic findings interpretable by the investigator as indicative of these disorders</p></li>
<li><p>Seizure disorder other than simple childhood febrile seizures</p></li>
<li><p>Severe head trauma resulting in protracted loss of consciousness within the last 5 years, or multiple episodes of head trauma</p></li>
<li><p>Parkinson's disease</p></li>
<li><p>Multiple sclerosis</p></li>
<li><p>Amyotrophic lateral sclerosis</p></li>
<li><p>Myasthenia gravis.</p></li>
</ol>"
"EX05","","Depression criteria","13","EligibilityCriterion","1232bbdc-04b5-4ab6-92ab-ba44c218f398","EligibilityCriterion_13","<p>Episode of depression meeting DSM-IV criteria within 3 months of screening.</p>"
"EX06","","Schizophrenia, Bipolar, Ethanol or psychoactive abuse criteria","14","EligibilityCriterion","45777341-ebf2-470a-8c4b-8d2ee3d3842d","EligibilityCriterion_14","<p>A history within the last 5 years of the following:</p>
<ol type=""a"">
<li><p>Schizophrenia</p></li>
<li><p>Bipolar Disease</p></li>
<li><p>Ethanol or psychoactive drug abuse or dependence. </p></li>
</ol>"
"EX07","","Syncope criteria","15","EligibilityCriterion","c60be329-f82f-46c2-a42f-c9e51a975cf1","EligibilityCriterion_15","<p>A history of syncope within the last 5 years.</p>"
"EX08","","ECG Criteria","16b","EligibilityCriterion","3a9695fa-8d78-4db5-9c7d-2f95fc57bb19","EligibilityCriterion_16","<p>Evidence from ECG recording at screening of any of the following conditions :</p>
<ol type=""a"">
<li><p>Left bundle branch block</p></li>
<li><p>Bradycardia ≤50 beats per minute</p></li>
<li><p>Sinus pauses &gt;2 seconds</p></li>
<li><p>Second or third degree heart block unless treated with a pacemaker</p></li>
<li><p>Wolff-Parkinson-White syndrome</p></li>
<li><p>Sustained supraventricular tachyarrhythmia including SVT≥10 sec, atrial fibrillation, atrial flutter.</p></li>
<li><p>Ventricular tachycardia at a rate of ≥120 beats per minute lasting≥10 seconds.</p></li>
</ol>"
"EX09","","Cardiovascular criteria","17","EligibilityCriterion","5d8b7e8e-9282-46de-83c2-2c7aa82c6430","EligibilityCriterion_17","<p>A history within the last 5 years of a serious cardiovascular disorder, including</p>
<ol type=""a"">
<li><p>Clinically significant arrhythmia</p></li>
<li><p>Symptomatic sick sinus syndrome not treated with a pacemaker</p></li>
<li><p>Congestive heart failure refractory to treatment</p></li>
<li><p>Angina except angina controlled with PRN nitroglycerin</p></li>
<li><p>Resting heart rate &lt;50 or &gt;100 beats per minute, on physical exam</p></li>
<li><p>Uncontrolled hypertension.</p></li>
</ol>"
"EX10","","Gastrointensinal criteria","18","EligibilityCriterion","248ac5d5-533c-460a-aee1-c758cd363ecb","EligibilityCriterion_18","<p>A history within the last 5 years of a serious gastrointestinal disorder, including 
<ol type=""a"">
<li><p>Chronic peptic/duodenal/gastric/esophageal ulcer that are untreated or refractory to treatment</p></li>
<li><p>Symptomatic diverticular disease</p></li>
<li><p>Inflammatory bowel disease</p></li>
<li><p>Pancreatitis</p></li>
<li><p>Hepatitis</p></li>
<li><p>Cirrhosis of the liver.</p></li>
</ol>"
"EX11","","Endocrine criteria","19","EligibilityCriterion","81d4a8fa-7f48-442a-a532-43eeb7a8fc12","EligibilityCriterion_19","<p>A history within the last 5 years of a serious endocrine disorder, including</p>
<ol type=""a"">
<li><p>Uncontrolled Insulin Dependent Diabetes Mellitus (IDDM)</p></li>
<li><p>Diabetic ketoacidosis</p></li>
<li><p>Untreated hyperthyroidism</p></li>
<li><p>Untreated hypothyroidism</p></li>
<li><p>Other untreated endocrinological disorder</p></li>
</ol>"
"EX12","","Resporatory criteria","20","EligibilityCriterion","a1385b21-f0da-4cb6-9e51-097976fb401e","EligibilityCriterion_20","<p> A history within the last 5 years of a serious respiratory disorder, including</p>
<ol type=""a"">
<li><p>Asthma with bronchospasm refractory to treatment</p></li>
<li><p>Decompensated chronic obstructive pulmonary disease.</p></li>
</ol>"
"EX13","","Genitourinary criteria","21","EligibilityCriterion","71e8c78d-13c5-4340-8855-f649a794bcfb","EligibilityCriterion_21","<p>A history within the last 5 years of a serious genitourinary disorder, including</p>
<ol type=""a"">
<li><p>Renal failure</p></li>
<li><p>Uncontrolled urinary retention.</p></li>
</ol>"
"EX14","","Rheumatologic criteria","22","EligibilityCriterion","84282ac9-2f85-4807-a9e0-6c514a53affd","EligibilityCriterion_22","<p>A history within the last 5 years of a serious rheumatologic disorder, including</p>
<ol type=""a"">
<li><p>Lupus</p></li>
<li><p>Temporal arteritis</p></li>
<li><p>Severe rheumatoid arthritis.</p></li>
</ol>"
"EX15","","HIV criteria","23","EligibilityCriterion","c2cad69e-0fdc-4194-80bd-a0972d7b7411","EligibilityCriterion_23","<p>A known history of human immunodeficiency virus (HIV) within the last 5 years.</p>"
"EX16","","Neurosyphilis, Meningitis,Encephalitis criteria","24","EligibilityCriterion","6e57bc7d-656d-49f7-ae69-7bf562ea2be2","EligibilityCriterion_24","<p>A history within the last 5 years of a serious infectious disease including</p>
<ol type=""a"">
<li><p>a)  Neurosyphilis</p></li>
<li><p>b)  Meningitis</p></li>
<li><p>c)  Encephalitis.</p></li>
</ol>"
"EX17","","Malignant disease criteria","25","EligibilityCriterion","ad9118c8-e01b-4138-a635-7bb376c17be4","EligibilityCriterion_25","<p>A history within the last 5 years of a primary or recurrent malignant disease with the exception of resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or in situ prostate cancer with a normal PSA postresection.</p>"
"EX18","","Ability to participate in study criteria","26","EligibilityCriterion","52326272-da7f-45fc-96b9-a1d2a4820bbb","EligibilityCriterion_26","<p>Visual, hearing, or communication disabilities impairing the ability to participate in the study; (for example, inability to speak or understand English, illiteracy).</p>"
"EX19","","Laboratory values criteria","27b","EligibilityCriterion","5ea3d232-423b-4f99-949e-bda6d35ea7b6","EligibilityCriterion_27","<p>Laboratory test values exceeding the Lilly Reference Range III for the patient's age in any of the following analytes: ↑ creatinine, ↑ total bilirubin, ↑ SGOT, ↑ SGPT, ↑ alkaline phosphatase, ↑ GGT, ↑↓ hemoglobin, ↑↓ white blood cell count, ↑↓ platelet count, ↑↓ serum sodium, potassium, or calcium.</p>
<p>If values exceed these laboratory reference ranges, clinical significance will be judged by the monitoring physicians. If the monitoring physician determines that the deviation from the reference range is not clinically significant, the patient may be included in the study. This decision will be documented.</p>"
"EX20","","Central laboratory values criteria","28b","EligibilityCriterion","6f50d301-8398-4e6c-8192-b50167513c77","EligibilityCriterion_28","<p>Central laboratory test values below reference range for folate, and Vitamin B 12 , and outside reference range for thyroid function tests.</p>
<ol type=""a"">
<li><p>Folate reference range 2.0 to 25.0 ng/mL. Patients will be allowed to enroll if their folate levels are above the upper end of the range if patients are taking vitamin supplements.</p>
<li><p>Vitamin B 12 reference range 130 to 900 pg/mL. Patients will be 
allowed to enroll if their B 12 levels are above the upper reference 
range if patients are taking oral vitamin supplements.</p>
<li><p>Thyroid functions</p>
<ol type=""i"">
<li><p>Thyroid Uptake reference range 25 to 38%. Patients will be allowed to enroll with results of 23 to 51% provided the remainder of the thyroid profile is normal and there are no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>TSH reference range 0.32 to 5.0. Patients will be allowed to enroll with results of 0.03 to 6.2 if patients are taking stable doses of exogenous thyroid supplements, with normal free thyroid index, and show no clinical signs or symptoms of thyroid abnormality.</p></li>
<li><p>Total T4 reference range 4.5 to 12.5. Patients will be allowed to enroll with results of 4.1 to 13.4 if patients are taking stable doses of exogenous thyroid hormone, with normal free thyroid index, and show no clinical signs or symptoms of thyroid 
abnormality.</p></li>
<li><p>Free Thyroid Index reference range 1.1 to 4.6.</p></li>
</ol>
</ol>"
"EX21","","Syphilia criteria","29b","EligibilityCriterion","c6010f26-1e15-44e9-8a1f-bae5e36c9f35","EligibilityCriterion_29","<p>Positive syphilis screening.</p>
<p>Positive syphilis screening. As determined by positive RPR followed up by confirmatory FTA-Abs. Confirmed patients are excluded unless there is a documented medical history of an alternative disease (for example, yaws) which caused the lab abnormality.</p>"
"EX22","","Hemoglobin criteria","30b","EligibilityCriterion","6428e31f-5bf5-4529-bd92-380296a321c3","EligibilityCriterion_30","<p>Glycosylated hemoglobin (A1C). Required only on patients with known diabetes mellitus or random blood sugar &gt;200 on screening labs. Patients will be excluded if levels are &gt;9.5%</p>"
