"reference","id","name","label","instanceType","synonyms","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_30","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","d62fef86-4040-4fc9-8e32-617615a4697d"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_31","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","9479a5a4-3591-478e-831e-b1ec47ab10ef"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_32","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","f981ea71-2f23-41c4-abbe-498c644915f4"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","8be97c26-e5c5-4111-b40d-ccc550f05484"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept_1","Adverse Event Prespecified","Adverse Event Prespecified","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","bfd18476-83a0-47ac-8993-b79794c82b8b"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","11e89b7b-3b1b-4631-a2de-fb295cff8bab"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","d6b13637-de08-4f7f-a883-1b776e79e8a2"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_4","Temperature","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","f53e0e53-94f9-454e-905b-7e6517508d1d"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_5","Weight","Weight","BiomedicalConcept","['Weight', 'Body Weight']","54b2f883-3ff7-4ddc-85b7-81bef4bfd195"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_6","Height","Height","BiomedicalConcept","['Height', 'Body Height']","f2ec76ab-3719-4c73-925f-83311b7516c6"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","9d9e1fef-eb92-4dff-be2f-92230f25087d"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_8","Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","79d518bc-4f60-4541-b0d1-8b8e0e6af10e"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","592bd6c3-d0d0-4cb1-ae34-d1ce36b48c8f"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","e2993c22-4770-4892-a0aa-0292f58a1096"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_11","Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","dc600f37-9c2b-4ef8-82a0-ef397f9b5548"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_12","Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","9108a7e3-7aa6-46a9-8e7d-66c3674b735c"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_13","Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","f8d5985c-09ac-4ec9-8fd3-5c175715e0ac"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_14","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","69d7093c-0f89-4810-92d0-029379e56ebd"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_15","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","71676c0b-9bb6-458e-a5dc-b7f3561b028e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_16","Heart Rate","Heart Rate","BiomedicalConcept","['Heart Rate']","1802d693-bdd5-40e1-aa44-8a8e03022c54"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_17","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","428198d4-0aac-4699-ba9b-11399842bae5"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_18","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","d3f66660-579a-495f-b9b3-248467459839"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_19","Heart Rate","Heart Rate","BiomedicalConcept","['Heart Rate']","6c80f909-b43c-44e9-bd7c-a5c9d8536109"
