"codeSystem","id","code","decode","instanceType","codeSystemVersion","uuid:ID"
"http://www.cdisc.org","Code_144","C98704","ADAPTIVE","Code","2023-12-15","7cafd27b-0f73-48b9-b38f-3de856fdd3bc"
"http://www.cdisc.org","Code_141","C82639","Parallel Study","Code","2023-12-15","8e60ee5b-531f-438c-bfb4-df0e79ce5021"
"http://www.cdisc.org","Code_83","C25716","Visit","Code","2023-12-15","40ff46fc-bcb2-4ac8-9dd8-5c049d7b9f9b"
"http://www.cdisc.org","Code_84","C51282","Clinic","Code","2023-12-15","98295f58-c4b3-4fd8-b031-ddfa97c4d895"
"http://www.cdisc.org","Code_85","C175574","In Person","Code","2023-12-15","d89ab3fe-c96e-4b04-95c4-3494cff00535"
"http://www.cdisc.org","Code_86","C25716","Visit","Code","2023-12-15","56f8571a-ebc4-42fe-8b4f-843d28ef9495"
"http://www.cdisc.org","Code_87","C51282","Clinic","Code","2023-12-15","80007d00-5818-4e11-9e05-e57f10d17422"
"http://www.cdisc.org","Code_88","C175574","In Person","Code","2023-12-15","ab19bbfd-1601-4131-860e-999034505edc"
"http://www.cdisc.org","Code_89","C25716","Visit","Code","2023-12-15","0a669076-2cee-4a3e-9a9d-a4b7a5b2c3cd"
"http://www.cdisc.org","Code_90","C51282","Clinic","Code","2023-12-15","017152ac-a9bf-403d-9c9d-837dfb5f29da"
"http://www.cdisc.org","Code_91","C175574","In Person","Code","2023-12-15","89065479-d161-4f90-ba15-85324cb6fc04"
"http://www.cdisc.org","Code_92","C25716","Visit","Code","2023-12-15","1abb809f-a1fd-4547-ac8b-d0d2d96b88b8"
"http://www.cdisc.org","Code_93","C51282","Clinic","Code","2023-12-15","b14b480d-6a1f-490e-9074-b07bfcfc017a"
"http://www.cdisc.org","Code_94","C175574","In Person","Code","2023-12-15","b1a4f792-ce73-4d2a-930e-5810242585d4"
"http://www.cdisc.org","Code_95","C25716","Visit","Code","2023-12-15","8826074c-4773-423f-9d9e-48a620aa0152"
"http://www.cdisc.org","Code_96","C51282","Clinic","Code","2023-12-15","2f55af00-44ed-47b9-b28d-bd01a1058ae7"
"http://www.cdisc.org","Code_97","C175574","In Person","Code","2023-12-15","c65cd3ea-c2ca-4798-8bb9-3374c8894f15"
"http://www.cdisc.org","Code_98","C25716","Visit","Code","2023-12-15","15d439f9-7df3-40bb-9c45-db2a6c008e32"
"http://www.cdisc.org","Code_99","C51282","Clinic","Code","2023-12-15","5741ba29-73ec-4987-b398-984cee597d00"
"http://www.cdisc.org","Code_100","C175574","In Person","Code","2023-12-15","53097161-25bd-4d43-947c-da265caa83b0"
"http://www.cdisc.org","Code_101","C25716","Visit","Code","2023-12-15","97691cfc-410d-47ae-b906-472f20cf414e"
"http://www.cdisc.org","Code_102","C51282","Clinic","Code","2023-12-15","8f7cf0f3-8da2-484b-b338-9a3076f0f24e"
"http://www.cdisc.org","Code_103","C175574","In Person","Code","2023-12-15","b8404391-df24-4e07-abc7-7e41f0f3718c"
"http://www.cdisc.org","Code_104","C171537","Telephone Call","Code","2023-12-15","5a5aeae1-ba30-458a-b495-b26ce9a09492"
"http://www.cdisc.org","Code_105","C25716","Visit","Code","2023-12-15","e301daa1-e64c-431b-a285-defe5270807c"
"http://www.cdisc.org","Code_106","C51282","Clinic","Code","2023-12-15","df682a1c-3410-48d6-9261-b5b6f22cc35b"
"http://www.cdisc.org","Code_107","C175574","In Person","Code","2023-12-15","9d7b519c-ff54-4228-a953-8e06f6c82905"
"http://www.cdisc.org","Code_108","C171537","Telephone Call","Code","2023-12-15","31f944b7-f6f9-4108-8e65-17fa44f5943d"
"http://www.cdisc.org","Code_109","C25716","Visit","Code","2023-12-15","8c12e7be-7e2d-46d4-b68d-fa91847762fd"
"http://www.cdisc.org","Code_110","C51282","Clinic","Code","2023-12-15","6410aea0-417b-4604-a047-dc84ab62d982"
"http://www.cdisc.org","Code_111","C175574","In Person","Code","2023-12-15","8235791f-bf18-467d-aecf-5921827ef3af"
"http://www.cdisc.org","Code_112","C171537","Telephone Call","Code","2023-12-15","5c51eb1f-47be-43fc-b664-4d039f3ba2ac"
"http://www.cdisc.org","Code_113","C25716","Visit","Code","2023-12-15","8dccf003-31f2-4fce-bcd1-8173eca8e5e8"
"http://www.cdisc.org","Code_114","C51282","Clinic","Code","2023-12-15","957e75f9-67c4-4179-a185-635e987cc870"
"http://www.cdisc.org","Code_115","C175574","In Person","Code","2023-12-15","15aedb7e-2872-480c-9193-eee7b0f6915a"
"http://www.cdisc.org","Code_116","C171537","Telephone Call","Code","2023-12-15","55fbccb5-6d64-4378-ac3a-46b8beaad95f"
"http://www.cdisc.org","Code_117","C25716","Visit","Code","2023-12-15","e1c3ec40-43a3-4fc8-9cbf-fc8d09448619"
"http://www.cdisc.org","Code_118","C51282","Clinic","Code","2023-12-15","4e99aba3-40df-4c6b-94fc-224ca542d049"
"http://www.cdisc.org","Code_119","C175574","In Person","Code","2023-12-15","b9b4639e-8edb-405a-b910-9f9489c68702"
"http://www.cdisc.org","Code_120","C25716","Visit","Code","2023-12-15","c96f79e2-45ea-4181-bfa5-bc4631ef2f03"
"http://www.cdisc.org","Code_121","C51282","Clinic","Code","2023-12-15","93f42d0b-2abe-417f-8a65-cdf9dd4a84aa"
"http://www.cdisc.org","Code_122","C175574","In Person","Code","2023-12-15","546ecf79-846c-4bc4-b615-32e83bfdb3c5"
"SNOMED","Code_80","383371000119108","CT of head without contrast","Code","January 31, 2018","f6751a10-8e0c-446b-8105-ac7314f9acbe"
"SPONSOR","Code_81","123","Subject Supine","Code","12","65558c2e-11a7-4f44-82ba-10873ee79ebc"
"SPONSOR","Code_82","124","Subject Standing","Code","12","3e4f780f-8818-4419-a7e6-731a4135acee"
"http://www.cdisc.org","Code_429","C82977","Dictionary-derived Term","Code","2023-12-15","8c60ffe4-4304-4a49-9e42-1a52b2362dff"
"http://www.cdisc.org","Code_430","C82571","Reported Event Term","Code","2023-12-15","a8dfbb0d-538d-4e6d-8e44-c249a030325e"
"http://www.cdisc.org","Code_431","C82517","Observation Start Date Time","Code","2023-12-15","3b1e202d-7a7d-458f-a1e7-b283f271c691"
"http://www.cdisc.org","Code_432","C16735","Informed Consent","Code","2023-12-15","e44844ba-aa36-454f-97e4-d4bff6a00ec6"
"http://www.cdisc.org","Code_433","C20197","Male","Code","2023-12-15","8ee409a8-2b97-4213-a64a-cbb469557957"
"http://www.cdisc.org","Code_434","C16576","Female","Code","2023-12-15","a8d52f95-36f1-4e76-9ae7-9090b133ec45"
"http://www.cdisc.org","Code_435","C28421","Sex","Code","2023-12-15","293cf3ae-54b4-40af-9688-f25fd0cd86cf"
"http://www.cdisc.org","Code_436","C28421","Sex","Code","2023-12-15","4ca35605-e2a1-4d0e-8d6b-9423ff574f2c"
"http://www.cdisc.org","Code_437","C17049","Race","Code","2023-12-15","aaf98b18-7457-441a-b063-820872e54ec3"
"http://www.cdisc.org","Code_438","C17049","Race","Code","2023-12-15","95295b67-edb1-4501-833f-007af9f33ecd"
"http://www.cdisc.org","Code_439","C174446","TEMP","Code","2023-12-15","b637526f-d2a9-4210-971e-5b786233a530"
"http://www.cdisc.org","Code_440","C77140","Clinical Test Result","Code","2023-12-15","e7c99bd1-9a88-483b-94ea-99174a98bb3e"
"http://www.cdisc.org","Code_441","C42559","Degree Celsius","Code","2023-12-15","4f706679-4aed-4144-9cbd-f51ca5835d30"
"http://www.cdisc.org","Code_442","C44277","Degree Fahrenheit","Code","2023-12-15","03f7d67a-b6ea-4114-b056-be094623dbce"
"http://www.cdisc.org","Code_443","C42537","Kelvin","Code","2023-12-15","b978d1e7-af05-4438-841b-208af12257c6"
"http://www.cdisc.org","Code_444","C44276","Unit of Temperature","Code","2023-12-15","1f31c352-f52e-4814-80b4-209fa32dfda8"
"http://www.cdisc.org","Code_445","C12674","Axilla","Code","2023-12-15","a7d88ffa-5597-433b-ade5-bcdf9499bc23"
"http://www.cdisc.org","Code_446","C12394","Ear","Code","2023-12-15","4601d1ec-1d97-49cd-b779-3a5a2c739580"
"http://www.cdisc.org","Code_447","C89803","Forehead","Code","2023-12-15","ba0503bd-3569-4887-a306-7d72dbc742ab"
"http://www.cdisc.org","Code_448","C12421","Oral Cavity","Code","2023-12-15","fed87da5-b214-4b41-8ffd-3df117aabec6"
"http://www.cdisc.org","Code_449","C12390","Rectum","Code","2023-12-15","e2022f32-222e-48bf-a3ac-30aa4a9e8e69"
"http://www.cdisc.org","Code_450","C13717","Anatomic Site","Code","2023-12-15","8b1a094a-efe0-43c8-a6cd-4910ec524a9c"
"http://www.cdisc.org","Code_451","C174446","TEMP","Code","2023-12-15","a899033a-93ae-46c4-bc0b-787dd0656416"
"http://www.cdisc.org","Code_452","C25208","WEIGHT","Code","2023-12-15","ef0f3448-1e09-4d52-b9d4-314b6714abbc"
"http://www.cdisc.org","Code_453","C77140","Clinical Test Result","Code","2023-12-15","25487a70-14f8-40bf-9844-0d64d873279c"
"http://www.cdisc.org","Code_454","C48531","Pound","Code","2023-12-15","f5bbfe0a-4ab8-4c6e-a779-49895a6b320b"
"http://www.cdisc.org","Code_455","C48155","Gram","Code","2023-12-15","18a730bc-1184-432c-99c2-0c590f32c762"
"http://www.cdisc.org","Code_456","C28252","Kilogram","Code","2023-12-15","89a5f5c9-837c-4363-a960-3075e55dd489"
"http://www.cdisc.org","Code_457","C48208","Unit of Weight","Code","2023-12-15","c9ec3248-b325-407a-9e89-8344ecfbacc8"
"http://www.cdisc.org","Code_458","C25208","WEIGHT","Code","2023-12-15","cb7403ff-70b6-4d56-84c7-3e6493703159"
"http://www.cdisc.org","Code_459","C25347","HEIGHT","Code","2023-12-15","708c23d1-c0bf-4efc-acec-1a6f16bdad08"
"http://www.cdisc.org","Code_460","C77140","Clinical Test Result","Code","2023-12-15","61708c4a-9415-4aab-bd28-94f937d25bca"
"http://www.cdisc.org","Code_461","C49668","Centimeter","Code","2023-12-15","13fca37f-79fa-4123-9068-817fb57ecb8c"
"http://www.cdisc.org","Code_462","C48500","Inch","Code","2023-12-15","5f0c379a-b93f-434e-b598-51edb2fd5ac4"
"http://www.cdisc.org","Code_463","C41139","Meter","Code","2023-12-15","d24e2e92-0f6e-4ff2-9191-5e6237a5fe11"
"http://www.cdisc.org","Code_464","C168688","Unit of Height","Code","2023-12-15","ce64abe5-dc2e-4034-8d3c-e5adaf169287"
"http://www.cdisc.org","Code_465","C25347","HEIGHT","Code","2023-12-15","6c474a0d-1e7a-47a0-b703-e2dee46221c6"
"http://www.cdisc.org","Code_466","C64433","ALT","Code","2023-12-15","2a498be7-84e4-4e44-bd06-c8d4f5ecd853"
"http://www.cdisc.org","Code_467","C36292","Laboratory Test Result","Code","2023-12-15","28414773-158f-45a9-8999-59e2d25060e2"
"http://www.cdisc.org","Code_468","C67456","Unit per Liter","Code","2023-12-15","7506fe49-b266-4938-90e2-fb5eff05e6c1"
"http://www.cdisc.org","Code_469","C67397","Microkatal per Liter","Code","2023-12-15","08ebc62a-546b-492e-a8e4-73f30cabda3c"
"http://www.cdisc.org","Code_470","C67376","International Unit per Liter","Code","2023-12-15","0af5dacc-b0d7-41b2-8996-4fa7e675351e"
"http://www.cdisc.org","Code_471","C70510","Nanokatal per Liter","Code","2023-12-15","7b630990-55d0-4ff7-9cba-2e5947fd20ac"
"http://www.cdisc.org","Code_472","C67365","Unit of Catalytic Activity Concentration","Code","2023-12-15","d581c338-3a78-4960-8d7e-f5b95e63e59e"
"http://www.cdisc.org","Code_473","C70713","Biospecimen Type","Code","2023-12-15","dff3228e-4f53-4d19-a3e4-3554fbfc8b05"
"http://www.cdisc.org","Code_474","C49487","No","Code","2023-12-15","6d2fc668-f5b3-4d8a-ae36-18faa0d4e680"
"http://www.cdisc.org","Code_475","C49488","Yes","Code","2023-12-15","c6b5ce6e-2c6d-45b1-8fdf-b6a74994efab"
"http://www.cdisc.org","Code_476","C83309","Laboratory Test Fasting Status","Code","2023-12-15","2834a380-7a23-41f6-a767-3f8d0e1b716a"
"http://www.cdisc.org","Code_477","C64433","ALT","Code","2023-12-15","b13e1a64-c9e2-41f9-887f-4228752f8639"
"http://www.cdisc.org","Code_478","C64431","ALB","Code","2023-12-15","cef39943-4c34-44fd-b5ce-a94174db5bac"
"http://www.cdisc.org","Code_479","C36292","Laboratory Test Result","Code","2023-12-15","937d82ec-f1d0-4af2-84b0-70841f1b679a"
"http://www.cdisc.org","Code_480","C70713","Biospecimen Type","Code","2023-12-15","a015b6ae-b625-4d62-acb4-c8a704b5aacc"
"http://www.cdisc.org","Code_481","C49487","No","Code","2023-12-15","e0fb2266-975a-4f5f-a9d0-003f94dabfed"
"http://www.cdisc.org","Code_482","C49488","Yes","Code","2023-12-15","38f49591-3c62-4723-94b9-470ac359cb94"
"http://www.cdisc.org","Code_483","C83309","Laboratory Test Fasting Status","Code","2023-12-15","bf59ce7c-6b40-4cb8-8dd0-c2791cff1eff"
"http://www.cdisc.org","Code_484","C64431","ALB","Code","2023-12-15","28afdd9d-bebb-4fc9-b275-3b4c2eacf2a6"
"http://www.cdisc.org","Code_485","C64432","ALP","Code","2023-12-15","e6c5a212-525e-452e-8660-2d2f843d10e7"
"http://www.cdisc.org","Code_486","C36292","Laboratory Test Result","Code","2023-12-15","bc4812d0-9517-4949-ba55-46b8fd17ef2d"
"http://www.cdisc.org","Code_487","C67456","Unit per Liter","Code","2023-12-15","b40312f1-487a-48ba-88fb-5e021230b62a"
"http://www.cdisc.org","Code_488","C67397","Microkatal per Liter","Code","2023-12-15","9c4d7ea8-d06f-482b-b38b-c2d945d0ff3a"
"http://www.cdisc.org","Code_489","C67376","International Unit per Liter","Code","2023-12-15","d13d7e6c-b72a-4f3c-8d32-0709012550b7"
"http://www.cdisc.org","Code_490","C67365","Unit of Catalytic Activity Concentration","Code","2023-12-15","dde076bf-3b84-43d1-9aea-bb6a444c97c6"
"http://www.cdisc.org","Code_491","C70713","Biospecimen Type","Code","2023-12-15","bab413d1-c253-450f-a7b7-65135c0f2724"
"http://www.cdisc.org","Code_492","C49487","No","Code","2023-12-15","5675fd4c-4764-4582-b2cb-a6c3b8602b53"
"http://www.cdisc.org","Code_493","C49488","Yes","Code","2023-12-15","9926feac-f79c-4888-a704-866f77817618"
"http://www.cdisc.org","Code_494","C83309","Laboratory Test Fasting Status","Code","2023-12-15","b91b0134-eb80-4215-9117-ce0c71dd82fe"
"http://www.cdisc.org","Code_495","C64432","ALP","Code","2023-12-15","f859d02f-fd80-454c-b5d7-ae285d66cb43"
"http://www.cdisc.org","Code_496","C64467","AST","Code","2023-12-15","12266fe8-19c6-4b19-9107-f53431729c24"
"http://www.cdisc.org","Code_497","C36292","Laboratory Test Result","Code","2023-12-15","c00a8062-3704-4efb-b810-0c4af5caf8d7"
"http://www.cdisc.org","Code_498","C67456","Unit per Liter","Code","2023-12-15","7b9c34a6-e896-4ff8-9864-a8f8f8ddba8e"
"http://www.cdisc.org","Code_499","C67397","Microkatal per Liter","Code","2023-12-15","21c7439e-f5e2-4ce1-8ec1-32bceba16464"
"http://www.cdisc.org","Code_500","C67376","International Unit per Liter","Code","2023-12-15","d65a0c47-ed2f-40f1-9202-690615b49919"
"http://www.cdisc.org","Code_501","C67365","Unit of Catalytic Activity Concentration","Code","2023-12-15","ff839fda-bcf1-4c37-910e-38a50da589b1"
"http://www.cdisc.org","Code_502","C70713","Biospecimen Type","Code","2023-12-15","5171e5c4-a571-4a6d-9c10-c678d34799c1"
"http://www.cdisc.org","Code_503","C49487","No","Code","2023-12-15","f65349f5-742c-4b2a-aea8-a058a7d21fe3"
"http://www.cdisc.org","Code_504","C49488","Yes","Code","2023-12-15","425ac9a6-e3c4-4356-ab95-d2c74258548d"
"http://www.cdisc.org","Code_505","C83309","Laboratory Test Fasting Status","Code","2023-12-15","1a30aac8-225f-4f92-b743-aee46dc7fb56"
"http://www.cdisc.org","Code_506","C64467","AST","Code","2023-12-15","1fdd513a-b90d-4068-8067-4a4ad678dca3"
"http://www.cdisc.org","Code_507","C64547","CREAT","Code","2023-12-15","f6f0b30f-355d-4a57-9a72-c1de6a4dc3e7"
"http://www.cdisc.org","Code_508","C36292","Laboratory Test Result","Code","2023-12-15","3e7ca030-f159-42dc-affd-dbd5dab842ec"
"http://www.cdisc.org","Code_509","C67015","Milligram per Deciliter","Code","2023-12-15","c941820d-eb9c-419d-93d7-7a2fd33d12ac"
"http://www.cdisc.org","Code_510","C64572","Microgram per Milliliter","Code","2023-12-15","d5eeab89-7310-41f7-8556-ce87c33c8174"
"http://www.cdisc.org","Code_511","C64387","Millimole per Liter","Code","2023-12-15","270346aa-4c38-469f-b2c3-388354430660"
"http://www.cdisc.org","Code_512","C48508","Micromole per Liter","Code","2023-12-15","d08d669c-d592-413e-8861-5dccb7463237"
"http://www.cdisc.org","Code_513","C48207","Unit of Concentration","Code","2023-12-15","ec259455-67a1-496f-b233-ad7198f003a0"
"http://www.cdisc.org","Code_514","C70713","Biospecimen Type","Code","2023-12-15","3f6b18df-de06-4c38-bd76-a9a5c9b53174"
"http://www.cdisc.org","Code_515","C49487","No","Code","2023-12-15","25f551f1-048d-4947-a722-0436ce9fe0a0"
"http://www.cdisc.org","Code_516","C49488","Yes","Code","2023-12-15","d77ebeef-ec13-4c57-9033-e086822f444c"
"http://www.cdisc.org","Code_517","C83309","Laboratory Test Fasting Status","Code","2023-12-15","32513bdc-6d24-4bcf-8ffc-1890974ca87a"
"http://www.cdisc.org","Code_518","C64547","CREAT","Code","2023-12-15","16065379-5f0f-40b0-8a45-dce48e40e776"
"http://www.cdisc.org","Code_519","C64853","K","Code","2023-12-15","fe0ef7d3-bf2a-4004-a347-12d0a88492ca"
"http://www.cdisc.org","Code_520","C36292","Laboratory Test Result","Code","2023-12-15","54e2640e-f97e-446e-80b3-f11eca328266"
"http://www.cdisc.org","Code_521","C67474","Milliequivalent per Liter","Code","2023-12-15","e6419f0a-de56-4beb-82db-2380c7acfb55"
"http://www.cdisc.org","Code_522","C67473","Milliequivalent per Deciliter","Code","2023-12-15","e846c223-2a85-44ae-aa9c-558f3ccee44d"
"http://www.cdisc.org","Code_523","C64387","Millimole per Liter","Code","2023-12-15","b138850b-6810-45e5-9450-427bd09b6c4f"
"http://www.cdisc.org","Code_524","C64567","Molarity Unit","Code","2023-12-15","ca49e2b5-01f3-400c-9bdd-780965aaabb4"
"http://www.cdisc.org","Code_525","C70713","Biospecimen Type","Code","2023-12-15","88173f68-3ee9-49a4-867d-8e1fe3b81dcc"
"http://www.cdisc.org","Code_526","C49487","No","Code","2023-12-15","d5fd2e9c-1b29-44f2-a932-a1435df57359"
"http://www.cdisc.org","Code_527","C49488","Yes","Code","2023-12-15","9af3709a-78d7-45ce-ae7a-40bdecef55b3"
"http://www.cdisc.org","Code_528","C83309","Laboratory Test Fasting Status","Code","2023-12-15","59ecff3e-0a0d-4e9d-9b4a-dd895f1772b4"
"http://www.cdisc.org","Code_529","C64853","K","Code","2023-12-15","ab8f42f2-5624-41c9-a0a8-70db28bece9c"
"http://www.cdisc.org","Code_530","C64809","SODIUM","Code","2023-12-15","29b262ac-dcf2-40d9-9372-d3892ee7a207"
"http://www.cdisc.org","Code_531","C36292","Laboratory Test Result","Code","2023-12-15","4375ac8f-41fd-4887-9d50-5cb7cb8b6ff0"
"http://www.cdisc.org","Code_532","C67474","Milliequivalent per Liter","Code","2023-12-15","7eedba91-aa80-4673-8897-585df0dc3c7f"
"http://www.cdisc.org","Code_533","C67473","Milliequivalent per Deciliter","Code","2023-12-15","3e716230-f770-41d5-aa19-b57a8520e580"
"http://www.cdisc.org","Code_534","C64387","Millimole per Liter","Code","2023-12-15","6134f0b7-39b1-4df1-8cd5-0bbd67961c6b"
"http://www.cdisc.org","Code_535","C64567","Molarity Unit","Code","2023-12-15","f433795c-9aa5-4fee-920b-baa7706f29be"
"http://www.cdisc.org","Code_536","C70713","Biospecimen Type","Code","2023-12-15","373c1110-4633-4144-b0d8-06f41292b45e"
"http://www.cdisc.org","Code_537","C49487","No","Code","2023-12-15","c662afb0-4582-433e-a9ac-c8f2c69e92f0"
"http://www.cdisc.org","Code_538","C49488","Yes","Code","2023-12-15","13bcffaa-4fc4-4989-a838-485c184a8677"
"http://www.cdisc.org","Code_539","C83309","Laboratory Test Fasting Status","Code","2023-12-15","cce64bf1-a8c0-492d-88cb-fbe98e4b470f"
"http://www.cdisc.org","Code_540","C64809","SODIUM","Code","2023-12-15","7973ae15-97f6-44bd-9cce-c5f86a34d42b"
"http://www.cdisc.org","Code_541","C64849","HBA1C","Code","2023-12-15","14e69250-09ea-4348-a970-ceac48cb2e6b"
"http://www.cdisc.org","Code_542","C36292","Laboratory Test Result","Code","2023-12-15","523ecb3b-47fc-4b50-970a-cff5496924d7"
"http://www.cdisc.org","Code_543","C64783","Gram per Deciliter","Code","2023-12-15","455b9f7c-000d-4377-ab22-c3d112bca385"
"http://www.cdisc.org","Code_544","No Concept Code","LBORRESU","Code","2023-12-15","d886ec3e-5539-4be9-a402-8313a424471a"
"http://www.cdisc.org","Code_545","C70713","Biospecimen Type","Code","2023-12-15","3413975a-4d40-48ae-86d8-817a32b1e697"
"http://www.cdisc.org","Code_546","C49487","No","Code","2023-12-15","37b3add3-d319-4a9d-af3c-fe0a2e9e4dfc"
"http://www.cdisc.org","Code_547","C49488","Yes","Code","2023-12-15","b1d2fe6c-b7bd-4937-a3ff-23169fc7fa3a"
"http://www.cdisc.org","Code_548","C83309","Laboratory Test Fasting Status","Code","2023-12-15","5230a9e2-58f9-423c-8840-4613638be2e1"
"http://www.cdisc.org","Code_549","C64849","HBA1C","Code","2023-12-15","534c2491-367f-4fe0-a361-e8b6d3a7a35d"
"http://www.cdisc.org","Code_145","C78541","Adverse Event Verbatim Description","Code","2023-12-15","bf96ddb2-5d88-4bd0-bc38-f478c8fb1a07"
"http://www.cdisc.org","Code_146","C83344","Adverse Event Dictionary Derived Term","Code","2023-12-15","786d7c10-8376-4344-a12b-a37fa13950f3"
"http://www.cdisc.org","Code_147","C49487","No","Code","2023-12-15","d992bbc2-e243-49ac-9ad6-887e0e10840b"
"http://www.cdisc.org","Code_148","C49488","Yes","Code","2023-12-15","d4c6f43f-841f-4b80-a06b-513927848e95"
"http://www.cdisc.org","Code_149","C87840","Adverse Event Pre-specified","Code","2023-12-15","72dcf677-6897-4aea-b91d-b59411ecc3b8"
"http://www.cdisc.org","Code_150","C83205","Adverse Event Location","Code","2023-12-15","0c96c4fe-79fb-4156-b917-ddcca24ccb91"
"http://www.cdisc.org","Code_151","C53253","Severity of Adverse Event","Code","2023-12-15","88961f28-5c21-4f9f-a210-61d045c182c7"
"http://www.cdisc.org","Code_152","C49487","No","Code","2023-12-15","dce4c14d-85b1-485a-8127-ad623b693fd3"
"http://www.cdisc.org","Code_153","C49488","Yes","Code","2023-12-15","13742b39-ab4d-4c59-8d8b-e493a25862d3"
"http://www.cdisc.org","Code_154","C53252","Seriousness of Adverse Event","Code","2023-12-15","bc6f3e6e-a03e-435a-8cd5-df794d823717"
"http://www.cdisc.org","Code_155","C83013","Adverse Event Action Taken with Study Treatment","Code","2023-12-15","683e31ff-a4c6-4dad-b47c-d880633824bc"
"http://www.cdisc.org","Code_156","C83109","Other Actions taken in Response to Adverse Event","Code","2023-12-15","036011a6-3ef9-4394-8e7b-9a649483fca0"
"http://www.cdisc.org","Code_157","C41358","Adverse Event Attribution to Product or Procedure","Code","2023-12-15","4b916dde-ae81-408c-85a4-520170218064"
"http://www.cdisc.org","Code_158","C83210","Adverse Event Relationship to Non Study Treatment","Code","2023-12-15","f18d18fc-0789-46c7-ba53-f17c4de7c78b"
"http://www.cdisc.org","Code_159","C83208","Adverse Event Pattern","Code","2023-12-15","80795fa4-5e68-498a-8fd4-9d8b709e599f"
"http://www.cdisc.org","Code_160","C49489","Adverse Event Outcome","Code","2023-12-15","0dd227d5-7d9d-47c3-8baa-b5b27246cdc5"
"http://www.cdisc.org","Code_161","C49487","No","Code","2023-12-15","85c78cbd-7424-424b-a864-35630ee4f45d"
"http://www.cdisc.org","Code_162","C49488","Yes","Code","2023-12-15","05da8c23-8552-4329-b376-1ba7a2f93784"
"http://www.cdisc.org","Code_163","C83211","Adverse Event Involves Cancer","Code","2023-12-15","36815e42-06a9-47da-ae92-36ab01f20791"
"http://www.cdisc.org","Code_164","C49487","No","Code","2023-12-15","6e7fac07-8528-4532-b2e2-9695fe830c78"
"http://www.cdisc.org","Code_165","C49488","Yes","Code","2023-12-15","25edc5cc-9ec5-4dc4-8de2-cc91e042ee44"
"http://www.cdisc.org","Code_166","C83117","Adverse Event Seriousness Due to Congenital Anomaly","Code","2023-12-15","8748b78c-98d4-4bc4-b5e5-32630486819c"
"http://www.cdisc.org","Code_167","C49487","No","Code","2023-12-15","4f5a968c-c65f-4128-8f9c-d64cc262572d"
"http://www.cdisc.org","Code_168","C49488","Yes","Code","2023-12-15","4b4c3631-36ed-4ca7-ba88-4898567d692c"
