"name","synonyms","label","uuid:ID","instanceType","id","reference"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","7bc15830-47d5-4f56-b6fb-b2165608e552","BiomedicalConcept","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","8973e7e7-ce66-4bcf-8740-1f62c8c60f3d","BiomedicalConcept","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","7ad70967-1ded-43ca-8e95-2b0e66f70beb","BiomedicalConcept","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","6c87745f-2544-4ec5-82b1-7782fa208267","BiomedicalConcept","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","6687fcb6-4413-42bd-816a-8338597e92d0","BiomedicalConcept","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","9b3203ce-1ae6-42f0-99af-78506ba4f60b","BiomedicalConcept","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","d53934fe-6886-4792-85bd-9b6eab13ee9a","BiomedicalConcept","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","['Heart Rate']","Heart Rate","63df90e6-ec5c-4a5e-b7ca-2efdf8b5b05d","BiomedicalConcept","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","d9da3890-5fa8-43fc-a039-e4eb8f636d25","BiomedicalConcept","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","e0670578-14ac-41fb-9668-a7ca9fe0fb3f","BiomedicalConcept","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","['Heart Rate']","Heart Rate","788ed95a-3fda-4b68-b90a-7161a8c94edc","BiomedicalConcept","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
